%m vratio
7.32822 0.0014375
7.413077 0.001375
7.498916 0.00135
7.58575 0.0013625
7.673588 0.00131875
7.762444 0.0014
7.852329 0.0013375
7.943254 0.001375
8.035233 0.00131875
8.128277 0.0013625
8.222398 0.0012875
8.317608 0.001325
8.413921 0.001275
8.51135 0.0012625
8.609907 0.0012125
8.709605 0.0012
8.810457 0.0012375
8.912477 0.001175
9.015678 0.00123125
9.120075 0.001125
9.22568 0.001125
9.332509 0.00111875
9.440575 0.0011125
9.549891 0.00105
9.660473 0.0011125
9.772336 0.00105
9.885494 0.0010125
