#g P
0.6025586 0.00394375
0.6095359 0.00385
0.6165939 0.0039
0.6237338 0.00385625
0.6309562 0.00403125
0.6382623 0.004325
0.6456531 0.004325
0.6531294 0.00434375
0.6606923 0.00444375
0.6683427 0.004625
0.6760817 0.004725
0.6839104 0.00498125
0.6918297 0.00500625
0.6998407 0.00529375
0.7079445 0.00549375
0.7161421 0.00578125
0.7244346 0.00603125
0.7328231 0.00668125
0.7413088 0.00699375
0.7498928 0.0071375
0.7585762 0.00749375
0.76736 0.0075
0.7762457 0.0076
0.7852342 0.00779375
0.7943267 0.0078625
0.8035246 0.0079
0.812829 0.008125
0.8222411 0.00811875
0.8317622 0.0082375
0.8413936 0.0083625
0.8511364 0.00839375
0.8609921 0.00890625
0.870962 0.00893125
0.8810472 0.00888125
0.8912493 0.00908125
0.9015695 0.0090125
0.9120091 0.00890625
0.9225697 0.00901875
0.9332526 0.00934375
0.9440591 0.009525
0.9549908 0.009925
0.9660491 0.01036875
0.9772354 0.01094375
0.9885513 0.01150625
0.9999982 0.0121375
1.011578 0.01241875
1.023291 0.0130875
1.03514 0.0137125
1.047127 0.0143625
1.059252 0.0150375
1.071517 0.0158125
1.083925 0.016425
1.096476 0.017475
1.109173 0.01838125
1.122016 0.01880625
1.135009 0.01996875
1.148151 0.02069375
1.161446 0.021825
1.174895 0.02323125
1.1885 0.02336875
1.202262 0.0233625
1.216184 0.02315
1.230266 0.022925
1.244512 0.0220875
1.258923 0.02205
1.273501 0.020975
1.288247 0.02003125
1.303164 0.0190625
1.318254 0.0180375
1.333519 0.0174125
1.34896 0.01611875
1.364581 0.015175
1.380382 0.0147
1.396366 0.0144875
1.412535 0.01419375
1.428891 0.01326875
1.445437 0.0128625
1.462174 0.01236875
1.479106 0.01191875
1.496233 0.01140625
1.513558 0.01130625
1.531085 0.01081875
1.548814 0.01061875
1.566748 0.01035625
1.58489 0.01024375
1.603242 0.01020625
1.621807 0.010225
1.640586 0.01006875
1.659584 0.01005625
1.678801 0.00993125
1.69824 0.00969375
1.717905 0.0096125
1.737797 0.00953125
1.75792 0.00946875
1.778276 0.00959375
1.798867 0.00960625
1.819697 0.01019375
1.840768 0.01063125
1.862083 0.01083125
1.883645 0.011
1.905457 0.01124375
1.927521 0.0111125
1.94984 0.0111625
1.972418 0.01135625
1.995258 0.0110875
2.018362 0.01120625
2.041734 0.01125
2.065376 0.0112
2.089291 0.0112375
2.113484 0.0113875
2.137957 0.01166875
2.162714 0.011475
2.187757 0.01184375
2.21309 0.01165
2.238716 0.011975
2.264639 0.01196875
2.290862 0.01204375
2.317389 0.0122125
2.344223 0.0123125
2.371368 0.0124125
2.398827 0.01254375
2.426604 0.0127
2.454703 0.01260625
2.483127 0.01245625
2.51188 0.01224375
2.540967 0.0121
2.57039 0.01206875
2.600153 0.01161875
2.630262 0.0115
2.660718 0.0113
2.691528 0.011075
2.722695 0.010875
2.754222 0.010575
2.786114 0.0103375
2.818376 0.0101625
2.851011 0.0099625
2.884024 0.0097125
2.91742 0.00959375
2.951202 0.00954375
2.985375 0.0093375
3.019944 0.0090875
3.054913 0.0088375
3.090287 0.00866875
3.126071 0.00831875
3.162269 0.00809375
3.198887 0.007825
3.235928 0.00765625
3.273398 0.0073625
3.311302 0.00708125
3.349646 0.00684375
3.388433 0.00656875
3.427669 0.0063875
3.467359 0.006075
3.507509 0.00589375
3.548124 0.00558125
3.58921 0.00525
3.630771 0.00506875
3.672813 0.00473125
3.715342 0.00450625
3.758364 0.00428125
3.801883 0.00401875
3.845907 0.003825
3.890441 0.00354375
3.93549 0.00331875
3.981061 0.0030875
4.027159 0.00281875
4.073791 0.00254375
4.120964 0.0023
4.168682 0.00215
4.216953 0.0019125
4.265783 0.0017
4.315178 0.00148125
4.365146 0.00135625
4.415691 0.00124375
4.466823 0.00111875
4.518546 0.001075
4.570868 0.000975
4.623796 0.0009
4.677338 0.00083125
4.731498 0.0008125
4.786287 0.000675
4.841709 0.00061875
4.897773 0.00054375
4.954487 0.0004875
5.011857 0.00045
5.069891 0.0003875
5.128598 0.000325
5.187984 0.0003
5.248058 0.00029375
5.308828 0.0002375
5.370301 0.0002
5.432486 0.00018125
5.495392 0.00015
5.559025 0.00011875
5.623395 9.375e-05
5.688511 7.5e-05
5.754381 4.375e-05
5.821013 5e-05
5.888418 3.125e-05
5.956603 2.5e-05
6.025576 1.25e-05
6.095349 2.5e-05
6.16593 1.25e-05
6.237328 6.25e-06
6.309553 6.25e-06
6.382614 0.0
6.456521 0.0
6.531284 0.0
6.606913 0.0
6.683417 0.0
6.760808 0.0
6.839094 0.0
6.918286 0.0
6.998397 0.0
7.079434 0.0
7.16141 0.0
7.244335 0.0
7.32822 0.0
7.413077 0.0
7.498917 0.0
7.585749 0.0
7.673588 0.0
7.762445 0.0
7.852328 0.0
7.943254 0.0
8.035233 0.0
8.128276 0.0
8.222398 0.0
8.317609 0.0
8.41392 0.0
8.51135 0.0
8.609907 0.0
8.709604 0.0
8.810457 0.0
8.912478 0.0
9.015678 0.0
9.120075 0.0
9.225681 0.0
9.332508 0.0
9.440575 0.0
9.549891 0.00079375
9.660473 0.0
9.772336 0.0
9.885495 0.0
