#m p_L p_-L p_2L
7.031676e-01 8.082141e-05 0.000000e+00 1.589036e-06
7.224762e-01 6.892175e-05 0.000000e+00 1.321906e-06
7.423150e-01 5.856221e-05 0.000000e+00 1.095323e-06
7.626986e-01 4.957592e-05 0.000000e+00 9.038968e-07
7.836419e-01 4.180968e-05 0.000000e+00 7.428262e-07
8.051603e-01 3.512323e-05 0.000000e+00 6.078614e-07
8.272696e-01 2.938880e-05 0.000000e+00 4.952530e-07
8.499860e-01 2.449039e-05 0.000000e+00 4.017069e-07
8.733262e-01 2.032319e-05 0.000000e+00 3.243429e-07
8.973072e-01 1.679287e-05 0.000000e+00 2.606544e-07
9.219468e-01 1.381491e-05 0.000000e+00 2.084692e-07
9.472630e-01 1.131396e-05 0.000000e+00 1.659149e-07
9.732744e-01 9.223042e-06 0.000000e+00 1.313844e-07
