#./double_integration --dev=0 --block=256 --domainz=-10:20:1024 --domaint=-5:2:1024 --domaineps=-1:3:256:1 --lambda=5.0 --zeta=0.2 --second=3.14 --skew=0.99>> integrate_5.0_0.2_-1:3:256:1.dat
#eps <v_r> <v>/v_0 
2.942727e+00 8.530544e-02 1.426527e+00 
3.050528e+00 8.750228e-02 1.437511e+00 
3.162278e+00 8.972373e-02 1.448619e+00 
3.278121e+00 9.196841e-02 1.459842e+00 
3.398208e+00 9.423489e-02 1.471174e+00 
3.522695e+00 9.652168e-02 1.482608e+00 
3.651741e+00 9.882727e-02 1.494136e+00 
3.785515e+00 1.011501e-01 1.505750e+00 
3.924190e+00 1.034884e-01 1.517442e+00 
4.067944e+00 1.058408e-01 1.529204e+00 
4.216965e+00 1.082053e-01 1.541027e+00 
4.371445e+00 1.105804e-01 1.552902e+00 
4.531584e+00 1.129643e-01 1.564822e+00 
4.697589e+00 1.153553e-01 1.576777e+00 
4.869675e+00 1.177516e-01 1.588758e+00 
5.048066e+00 1.201514e-01 1.600757e+00 
5.232991e+00 1.225531e-01 1.612765e+00 
5.424691e+00 1.249547e-01 1.624774e+00 
5.623413e+00 1.273547e-01 1.636773e+00 
5.829415e+00 1.297512e-01 1.648756e+00 
6.042964e+00 1.321426e-01 1.660713e+00 
6.264335e+00 1.345272e-01 1.672636e+00 
6.493816e+00 1.369033e-01 1.684516e+00 
6.731704e+00 1.392692e-01 1.696346e+00 
6.978306e+00 1.416236e-01 1.708118e+00 
7.233942e+00 1.439647e-01 1.719823e+00 
7.498942e+00 1.462911e-01 1.731455e+00 
7.773650e+00 1.486013e-01 1.743006e+00 
8.058422e+00 1.508940e-01 1.754470e+00 
8.353625e+00 1.531677e-01 1.765839e+00 
8.659643e+00 1.554213e-01 1.777106e+00 
8.976871e+00 1.576534e-01 1.788267e+00 
9.305720e+00 1.598629e-01 1.799314e+00 
9.646616e+00 1.620486e-01 1.810243e+00 
1.000000e+01 1.642096e-01 1.821048e+00 
1.036633e+01 1.663448e-01 1.831724e+00 
1.074608e+01 1.684533e-01 1.842266e+00 
1.113974e+01 1.705341e-01 1.852671e+00 
1.154782e+01 1.725866e-01 1.862933e+00 
1.197085e+01 1.746099e-01 1.873050e+00 
1.240938e+01 1.766034e-01 1.883017e+00 
1.286397e+01 1.785664e-01 1.892832e+00 
1.333521e+01 1.804984e-01 1.902492e+00 
1.382372e+01 1.823989e-01 1.911995e+00 
1.433013e+01 1.842674e-01 1.921337e+00 
1.485508e+01 1.861036e-01 1.930518e+00 
1.539927e+01 1.879071e-01 1.939536e+00 
1.596339e+01 1.896777e-01 1.948388e+00 
1.654817e+01 1.914150e-01 1.957075e+00 
1.715438e+01 1.931190e-01 1.965595e+00 
1.778279e+01 1.947896e-01 1.973948e+00 
1.843423e+01 1.964266e-01 1.982133e+00 
1.910953e+01 1.980301e-01 1.990150e+00 
1.980957e+01 1.996000e-01 1.998000e+00 
2.053525e+01 2.011364e-01 2.005682e+00 
2.128752e+01 2.026395e-01 2.013197e+00 
2.206734e+01 2.041093e-01 2.020546e+00 
2.287573e+01 2.055460e-01 2.027730e+00 
2.371374e+01 2.069498e-01 2.034749e+00 
2.458244e+01 2.083211e-01 2.041605e+00 
2.548297e+01 2.096599e-01 2.048300e+00 
2.641648e+01 2.109668e-01 2.054834e+00 
2.738420e+01 2.122419e-01 2.061209e+00 
2.838736e+01 2.134856e-01 2.067428e+00 
2.942727e+01 2.146983e-01 2.073492e+00 
3.050528e+01 2.158804e-01 2.079402e+00 
3.162278e+01 2.170323e-01 2.085162e+00 
3.278121e+01 2.181545e-01 2.090772e+00 
3.398208e+01 2.192473e-01 2.096236e+00 
3.522695e+01 2.203112e-01 2.101556e+00 
3.651741e+01 2.213467e-01 2.106734e+00 
3.785515e+01 2.223544e-01 2.111772e+00 
3.924190e+01 2.233345e-01 2.116673e+00 
4.067944e+01 2.242878e-01 2.121439e+00 
4.216965e+01 2.252146e-01 2.126073e+00 
4.371445e+01 2.261155e-01 2.130578e+00 
4.531584e+01 2.269911e-01 2.134955e+00 
4.697589e+01 2.278417e-01 2.139208e+00 
4.869675e+01 2.286680e-01 2.143340e+00 
5.048066e+01 2.294704e-01 2.147352e+00 
5.232991e+01 2.302495e-01 2.151248e+00 
5.424691e+01 2.310058e-01 2.155029e+00 
5.623413e+01 2.317399e-01 2.158699e+00 
5.829415e+01 2.324521e-01 2.162261e+00 
6.042964e+01 2.331432e-01 2.165716e+00 
6.264335e+01 2.338135e-01 2.169067e+00 
6.493816e+01 2.344635e-01 2.172318e+00 
6.731704e+01 2.350938e-01 2.175469e+00 
6.978306e+01 2.357049e-01 2.178525e+00 
7.233942e+01 2.362973e-01 2.181486e+00 
7.498942e+01 2.368714e-01 2.184357e+00 
7.773650e+01 2.374277e-01 2.187138e+00 
8.058422e+01 2.379666e-01 2.189833e+00 
8.353625e+01 2.384888e-01 2.192444e+00 
8.659643e+01 2.389945e-01 2.194973e+00 
8.976871e+01 2.394843e-01 2.197422e+00 
9.305720e+01 2.399586e-01 2.199793e+00 
9.646616e+01 2.404179e-01 2.202089e+00 
1.000000e+02 2.408624e-01 2.204312e+00 
1.036633e+02 2.412928e-01 2.206464e+00 
1.074608e+02 2.417093e-01 2.208547e+00 
1.113974e+02 2.421124e-01 2.210562e+00 
1.154782e+02 2.425025e-01 2.212512e+00 
1.197085e+02 2.428799e-01 2.214399e+00 
1.240938e+02 2.432450e-01 2.216225e+00 
1.286397e+02 2.435982e-01 2.217991e+00 
1.333521e+02 2.439399e-01 2.219700e+00 
1.382372e+02 2.442704e-01 2.221352e+00 
1.433013e+02 2.445899e-01 2.222950e+00 
1.485508e+02 2.448990e-01 2.224495e+00 
1.539927e+02 2.451978e-01 2.225989e+00 
1.596339e+02 2.454867e-01 2.227434e+00 
1.654817e+02 2.457660e-01 2.228830e+00 
1.715438e+02 2.460361e-01 2.230180e+00 
1.778279e+02 2.462971e-01 2.231485e+00 
1.843423e+02 2.465494e-01 2.232747e+00 
1.910953e+02 2.467932e-01 2.233966e+00 
1.980957e+02 2.470289e-01 2.235144e+00 
2.053525e+02 2.472566e-01 2.236283e+00 
2.128752e+02 2.474767e-01 2.237383e+00 
2.206734e+02 2.476893e-01 2.238447e+00 
2.287573e+02 2.478948e-01 2.239474e+00 
2.371374e+02 2.480933e-01 2.240467e+00 
2.458244e+02 2.482851e-01 2.241426e+00 
2.548297e+02 2.484704e-01 2.242352e+00 
2.641648e+02 2.486494e-01 2.243247e+00 
2.738420e+02 2.488222e-01 2.244111e+00 
2.838736e+02 2.489892e-01 2.244946e+00 
2.942727e+02 2.491505e-01 2.245753e+00 
3.050528e+02 2.493063e-01 2.246532e+00 
3.162278e+02 2.494568e-01 2.247284e+00 
3.278121e+02 2.496021e-01 2.248010e+00 
3.398208e+02 2.497424e-01 2.248712e+00 
3.522695e+02 2.498779e-01 2.249389e+00 
3.651741e+02 2.500087e-01 2.250044e+00 
3.785515e+02 2.501351e-01 2.250675e+00 
3.924190e+02 2.502571e-01 2.251285e+00 
4.067944e+02 2.503749e-01 2.251874e+00 
4.216965e+02 2.504886e-01 2.252443e+00 
4.371445e+02 2.505984e-01 2.252992e+00 
4.531584e+02 2.507044e-01 2.253522e+00 
4.697589e+02 2.508068e-01 2.254034e+00 
4.869675e+02 2.509056e-01 2.254528e+00 
5.048066e+02 2.510010e-01 2.255005e+00 
5.232991e+02 2.510930e-01 2.255465e+00 
5.424691e+02 2.511819e-01 2.255910e+00 
5.623413e+02 2.512677e-01 2.256339e+00 
5.829415e+02 2.513506e-01 2.256753e+00 
6.042964e+02 2.514305e-01 2.257153e+00 
6.264335e+02 2.515077e-01 2.257538e+00 
6.493816e+02 2.515822e-01 2.257911e+00 
6.731704e+02 2.516541e-01 2.258270e+00 
6.978306e+02 2.517234e-01 2.258617e+00 
7.233942e+02 2.517904e-01 2.258952e+00 
7.498942e+02 2.518550e-01 2.259275e+00 
7.773650e+02 2.519174e-01 2.259587e+00 
8.058422e+02 2.519776e-01 2.259888e+00 
8.353625e+02 2.520357e-01 2.260179e+00 
8.659643e+02 2.520918e-01 2.260459e+00 
8.976871e+02 2.521459e-01 2.260730e+00 
9.305720e+02 2.521982e-01 2.260991e+00 
9.646616e+02 2.522486e-01 2.261243e+00 
