#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=10 --skew=0.99 --distribution=s>> journal_5_s_10_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-1.595182e-01 9.022084e-01 1.001127e+00 2.032189e+06 1.617111e+02 1.282012e-02 4.723072e-04
-1.528716e-01 9.063045e-01 9.978043e-01 2.030479e+06 1.615200e+02 9.233594e-03 4.733801e-04
-1.462249e-01 9.111887e-01 1.000149e+00 2.043118e+06 1.625800e+02 7.165670e-03 4.471540e-04
-1.395783e-01 9.144793e-01 1.002871e+00 2.041156e+06 1.623450e+02 8.581877e-03 4.708767e-04
-1.329316e-01 9.177591e-01 9.982678e-01 2.026265e+06 1.612225e+02 4.829645e-03 4.671812e-04
-1.262849e-01 9.232470e-01 9.976046e-01 2.031613e+06 1.616244e+02 8.596897e-03 4.572868e-04
-1.196383e-01 9.263702e-01 9.932840e-01 2.015926e+06 1.604119e+02 1.384974e-03 4.757643e-04
-1.129916e-01 9.307078e-01 9.965432e-01 2.026779e+06 1.612536e+02 -1.659393e-04 4.603863e-04
-1.063449e-01 9.353045e-01 1.001105e+00 2.035755e+06 1.620595e+02 -6.333113e-03 4.705191e-04
-9.969828e-02 9.390346e-01 9.995363e-01 2.035845e+06 1.620621e+02 -6.412446e-03 4.811287e-04
-9.305161e-02 9.418422e-01 9.979088e-01 2.029758e+06 1.615655e+02 -2.296031e-03 4.789829e-04
-8.640495e-02 9.446881e-01 9.950840e-01 2.012500e+06 1.601525e+02 -1.354575e-03 4.479885e-04
-7.975829e-02 9.481627e-01 9.965225e-01 2.017860e+06 1.605635e+02 -2.577066e-03 4.293919e-04
-7.311162e-02 9.522699e-01 9.973579e-01 2.030249e+06 1.616113e+02 -5.906940e-03 4.734993e-04
-6.646496e-02 9.559177e-01 9.930705e-01 2.004209e+06 1.593828e+02 -5.275249e-03 4.533529e-04
-5.981829e-02 9.594315e-01 9.920082e-01 2.005500e+06 1.596773e+02 3.627539e-03 4.508495e-04
-5.317163e-02 9.635869e-01 9.969203e-01 2.018040e+06 1.606077e+02 -2.465606e-03 4.678965e-04
-4.652496e-02 9.664879e-01 9.899784e-01 1.989169e+06 1.583920e+02 -7.914484e-03 4.758835e-04
-3.987829e-02 9.702771e-01 9.927499e-01 2.002448e+06 1.593313e+02 1.117468e-03 4.478693e-04
-3.323163e-02 9.725732e-01 9.922659e-01 2.003500e+06 1.594382e+02 -7.046402e-03 4.603863e-04
-2.658496e-02 9.757388e-01 9.901389e-01 2.001347e+06 1.592527e+02 -6.717384e-03 4.358292e-04
-1.993829e-02 9.807968e-01 9.903184e-01 1.995744e+06 1.589328e+02 -1.202506e-02 4.254580e-04
-1.329163e-02 9.840670e-01 9.920873e-01 1.998546e+06 1.589815e+02 -5.567670e-03 4.529953e-04
-6.644960e-03 9.865906e-01 9.883657e-01 1.991694e+06 1.585648e+02 -1.234901e-02 4.986525e-04
1.706183e-06 9.911423e-01 9.877303e-01 1.960582e+06 1.559782e+02 -2.396101e-02 4.568100e-04
6.648373e-03 9.943009e-01 9.782918e-01 1.949781e+06 1.551850e+02 -1.417577e-02 4.763603e-04
1.329504e-02 9.961071e-01 9.801197e-01 1.947647e+06 1.550020e+02 -1.961422e-02 4.441738e-04
1.994171e-02 1.000366e+00 9.798098e-01 1.949765e+06 1.551286e+02 -1.548421e-02 4.427433e-04
2.658837e-02 1.002422e+00 9.824653e-01 1.957908e+06 1.558063e+02 -2.240229e-02 4.367828e-04
3.323504e-02 1.005507e+00 9.805710e-01 1.951640e+06 1.553352e+02 -1.579154e-02 4.246235e-04
3.988171e-02 1.008629e+00 9.835744e-01 1.952882e+06 1.553632e+02 -1.445436e-02 4.336834e-04
4.652837e-02 1.011822e+00 9.790972e-01 1.933928e+06 1.539531e+02 -9.640872e-03 4.645586e-04
5.317504e-02 1.013665e+00 9.737034e-01 1.928091e+06 1.535030e+02 -1.110965e-02 4.770756e-04
5.982171e-02 1.016762e+00 9.740091e-01 1.921502e+06 1.529348e+02 -1.233953e-02 4.636049e-04
6.646837e-02 1.020896e+00 9.747574e-01 1.924366e+06 1.532637e+02 -4.966140e-03 4.584789e-04
7.311504e-02 1.023675e+00 9.724877e-01 1.922194e+06 1.529485e+02 -1.384288e-02 4.523993e-04
7.976170e-02 1.028130e+00 9.714195e-01 1.916756e+06 1.526356e+02 -3.906012e-03 4.680157e-04
8.640836e-02 1.030832e+00 9.738567e-01 1.918850e+06 1.526837e+02 -6.483257e-03 4.577637e-04
9.305502e-02 1.035133e+00 9.781467e-01 1.930537e+06 1.535871e+02 -6.797850e-03 4.557371e-04
9.970169e-02 1.039186e+00 9.766111e-01 1.927817e+06 1.534333e+02 -8.441627e-03 4.841089e-04
1.063484e-01 1.043355e+00 9.758705e-01 1.931723e+06 1.537691e+02 -1.907229e-03 4.078150e-04
1.129950e-01 1.047667e+00 9.782894e-01 1.938043e+06 1.543622e+02 -9.147584e-03 4.709959e-04
1.196417e-01 1.051016e+00 9.746163e-01 1.924959e+06 1.532522e+02 -1.143742e-02 4.678965e-04
1.262883e-01 1.055521e+00 9.751836e-01 1.935434e+06 1.540999e+02 -1.028305e-02 4.273653e-04
1.329350e-01 1.060062e+00 9.746248e-01 1.929378e+06 1.535158e+02 -8.816957e-03 4.438162e-04
1.395817e-01 1.064808e+00 9.760462e-01 1.936027e+06 1.540979e+02 -1.360309e-02 4.184246e-04
1.462283e-01 1.068329e+00 9.771780e-01 1.939738e+06 1.543501e+02 -1.500654e-02 4.577637e-04
1.528750e-01 1.073777e+00 9.785759e-01 1.943970e+06 1.546556e+02 -1.210725e-02 4.556179e-04
1.595217e-01 1.078249e+00 9.776822e-01 1.943303e+06 1.547002e+02 -9.535789e-03 4.463196e-04
1.661683e-01 1.081137e+00 9.782886e-01 1.954095e+06 1.555985e+02 -1.095051e-02 4.783869e-04
1.728150e-01 1.086479e+00 9.804047e-01 1.955796e+06 1.557166e+02 -8.736432e-03 4.706383e-04
1.794616e-01 1.090881e+00 9.824898e-01 1.957209e+06 1.558604e+02 -7.177711e-03 4.283190e-04
1.861083e-01 1.096102e+00 9.848374e-01 1.966326e+06 1.565190e+02 -9.192765e-03 4.329681e-04
1.927550e-01 1.100655e+00 9.802495e-01 1.961146e+06 1.562650e+02 -1.255780e-02 4.316568e-04
1.994016e-01 1.106381e+00 9.802310e-01 1.954606e+06 1.556099e+02 -1.273519e-02 4.665852e-04
2.060483e-01 1.110512e+00 9.846990e-01 1.964856e+06 1.564398e+02 -1.014310e-02 4.663467e-04
2.126950e-01 1.115197e+00 9.808075e-01 1.963645e+06 1.562504e+02 -1.510370e-02 4.384518e-04
2.193416e-01 1.120074e+00 9.839130e-01 1.973289e+06 1.571251e+02 -1.043504e-02 4.291534e-04
2.259883e-01 1.125888e+00 9.840023e-01 1.972416e+06 1.568892e+02 -6.741345e-03 4.357100e-04
2.326349e-01 1.131716e+00 9.866655e-01 1.977126e+06 1.575401e+02 -1.118243e-02 4.512072e-04
2.392816e-01 1.136127e+00 9.813320e-01 1.965963e+06 1.564385e+02 -1.257473e-02 4.345179e-04
2.459283e-01 1.139322e+00 9.831496e-01 1.969812e+06 1.569182e+02 -1.408035e-02 4.756451e-04
2.525750e-01 1.146325e+00 9.775311e-01 1.960209e+06 1.561218e+02 -8.180141e-03 4.432201e-04
2.592216e-01 1.150566e+00 9.856615e-01 1.968788e+06 1.567402e+02 -1.322722e-02 4.500151e-04
2.658683e-01 1.156853e+00 9.859536e-01 1.970908e+06 1.569045e+02 -1.845604e-02 4.867315e-04
2.725149e-01 1.162752e+00 9.867268e-01 1.975359e+06 1.572884e+02 -9.037375e-03 4.410744e-04
2.791616e-01 1.169337e+00 9.804432e-01 1.963273e+06 1.562513e+02 -8.193433e-03 4.252195e-04
2.858083e-01 1.175848e+00 9.824670e-01 1.975174e+06 1.572553e+02 -2.006990e-02 4.575253e-04
2.924549e-01 1.180304e+00 9.799877e-01 1.963952e+06 1.563621e+02 -2.294254e-02 4.649162e-04
2.991016e-01 1.185781e+00 9.819885e-01 1.971075e+06 1.570028e+02 -1.263463e-02 4.566908e-04
3.057483e-01 1.191963e+00 9.855548e-01 1.972039e+06 1.570818e+02 -2.056193e-02 4.391670e-04
3.123949e-01 1.198929e+00 9.849163e-01 1.976184e+06 1.573896e+02 -1.323718e-02 4.664660e-04
3.190416e-01 1.204801e+00 9.845192e-01 1.984900e+06 1.580112e+02 -1.684004e-02 4.469156e-04
3.256882e-01 1.211302e+00 9.837109e-01 1.974913e+06 1.573425e+02 -1.262778e-02 4.656315e-04
3.323349e-01 1.217161e+00 9.781385e-01 1.954439e+06 1.555501e+02 -1.337796e-02 4.674196e-04
3.389816e-01 1.224233e+00 9.773116e-01 1.953920e+06 1.555217e+02 -1.013410e-02 4.423857e-04
3.456282e-01 1.228859e+00 9.770175e-01 1.948912e+06 1.552190e+02 -1.433414e-02 4.770756e-04
3.522749e-01 1.236691e+00 9.866707e-01 1.970536e+06 1.568596e+02 -1.444221e-02 4.349947e-04
3.589216e-01 1.242635e+00 9.838395e-01 1.964902e+06 1.563987e+02 -1.796144e-02 4.284382e-04
3.655682e-01 1.250364e+00 9.812009e-01 1.961821e+06 1.561924e+02 -1.851130e-02 4.858971e-04
3.722149e-01 1.256805e+00 9.810653e-01 1.963393e+06 1.564070e+02 -1.793933e-02 4.392862e-04
3.788615e-01 1.262981e+00 9.786232e-01 1.965739e+06 1.565855e+02 -1.923239e-02 4.466772e-04
3.855082e-01 1.271018e+00 9.852618e-01 1.978126e+06 1.576347e+02 -1.956838e-02 4.366636e-04
3.921549e-01 1.277728e+00 9.817345e-01 1.962391e+06 1.561950e+02 -2.572322e-02 4.295111e-04
3.988015e-01 1.285028e+00 9.775241e-01 1.963410e+06 1.563751e+02 -1.753771e-02 4.504919e-04
4.054482e-01 1.292854e+00 9.820444e-01 1.967593e+06 1.566880e+02 -1.759750e-02 4.589558e-04
4.120949e-01 1.299372e+00 9.862236e-01 1.967094e+06 1.565747e+02 -1.695329e-02 4.439354e-04
4.187415e-01 1.306443e+00 9.799216e-01 1.958516e+06 1.558725e+02 -1.565355e-02 4.544258e-04
4.253882e-01 1.313323e+00 9.842055e-01 1.969445e+06 1.566492e+02 -1.211792e-02 4.892349e-04
4.320349e-01 1.320567e+00 9.814818e-01 1.959359e+06 1.561081e+02 -1.132733e-02 4.658699e-04
4.386815e-01 1.327823e+00 9.827347e-01 1.964826e+06 1.564690e+02 -1.277083e-02 4.259348e-04
4.453282e-01 1.335235e+00 9.800368e-01 1.959574e+06 1.559241e+02 -1.558894e-02 4.441738e-04
4.519748e-01 1.342855e+00 9.809231e-01 1.954254e+06 1.556847e+02 -1.568520e-02 4.466772e-04
4.586215e-01 1.350417e+00 9.783189e-01 1.951438e+06 1.553524e+02 -1.378393e-02 4.671812e-04
4.652682e-01 1.358326e+00 9.774786e-01 1.952685e+06 1.554001e+02 -1.720017e-02 4.785061e-04
4.719148e-01 1.365833e+00 9.817491e-01 1.950910e+06 1.554823e+02 -2.031547e-02 4.552603e-04
4.785615e-01 1.374610e+00 9.814979e-01 1.947748e+06 1.549010e+02 -1.413786e-02 4.820824e-04
4.852082e-01 1.382158e+00 9.831358e-01 1.956102e+06 1.556382e+02 -1.058632e-02 4.545450e-04
4.918548e-01 1.390297e+00 9.844489e-01 1.964052e+06 1.563640e+02 -1.142228e-02 4.607439e-04
4.985015e-01 1.398026e+00 9.869072e-01 1.965116e+06 1.564098e+02 -7.341385e-03 4.329681e-04
5.051482e-01 1.406146e+00 9.828593e-01 1.961698e+06 1.562125e+02 -1.135045e-02 4.311800e-04
5.117949e-01 1.414204e+00 9.840869e-01 1.956372e+06 1.559833e+02 -1.329762e-02 4.595518e-04
5.184416e-01 1.422560e+00 9.864647e-01 1.970495e+06 1.568466e+02 -1.494771e-02 5.006790e-04
