#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_5_s_0.1_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-5.184381e-01 -9.504082e-06 2.875463e-02 7.912200e+00 6.297118e-04 -1.295940e-01 1.809955e-03
-5.117914e-01 -8.980097e-06 2.552328e-02 7.905023e+00 6.291699e-04 -1.401039e-01 1.830816e-03
-5.051447e-01 -8.752255e-06 2.691729e-02 7.906416e+00 6.292894e-04 -1.404951e-01 1.792431e-03
-4.984981e-01 -8.788598e-06 2.583426e-02 7.920672e+00 6.304078e-04 -1.473264e-01 1.839161e-03
-4.918514e-01 -8.270221e-06 2.429349e-02 7.896058e+00 6.284451e-04 -1.486710e-01 1.839042e-03
-4.852047e-01 -8.391477e-06 2.396309e-02 7.891750e+00 6.281420e-04 -1.467078e-01 1.810193e-03
-4.785581e-01 -8.333927e-06 2.499660e-02 7.874054e+00 6.266978e-04 -1.419019e-01 1.824856e-03
-4.719114e-01 -8.170045e-06 2.483906e-02 7.885809e+00 6.276371e-04 -1.433014e-01 1.770735e-03
-4.652647e-01 -7.730046e-06 2.348793e-02 7.849729e+00 6.247630e-04 -1.485932e-01 1.793861e-03
-4.586181e-01 -7.092772e-06 2.273073e-02 7.834939e+00 6.235621e-04 -1.517444e-01 1.785398e-03
-4.519714e-01 -7.022235e-06 1.993577e-02 7.869611e+00 6.263303e-04 -1.675215e-01 1.779079e-03
-4.453247e-01 -7.365516e-06 2.122693e-02 7.844897e+00 6.243687e-04 -1.586850e-01 1.772404e-03
-4.386781e-01 -7.577547e-06 2.217728e-02 7.883120e+00 6.274506e-04 -1.589159e-01 1.764417e-03
-4.320314e-01 -6.611033e-06 2.250428e-02 7.852691e+00 6.249908e-04 -1.563904e-01 1.732469e-03
-4.253848e-01 -6.035020e-06 2.103915e-02 7.841969e+00 6.241313e-04 -1.600830e-01 1.798272e-03
-4.187381e-01 -6.374127e-06 2.184461e-02 7.839287e+00 6.239369e-04 -1.521530e-01 1.785994e-03
-4.120914e-01 -6.496648e-06 2.200096e-02 7.868214e+00 6.262292e-04 -1.554240e-01 1.780272e-03
-4.054448e-01 -6.283521e-06 2.205638e-02 7.849907e+00 6.247620e-04 -1.622869e-01 1.789689e-03
-3.987981e-01 -6.240137e-06 2.157625e-02 7.852340e+00 6.249640e-04 -1.585254e-01 1.767874e-03
-3.921514e-01 -5.668551e-06 1.959772e-02 7.824049e+00 6.226972e-04 -1.678240e-01 1.770020e-03
-3.855048e-01 -5.676520e-06 1.981056e-02 7.806283e+00 6.213014e-04 -1.604126e-01 1.747489e-03
-3.788581e-01 -4.822620e-06 1.856284e-02 7.774116e+00 6.187262e-04 -1.643062e-01 1.758099e-03
-3.722115e-01 -4.505016e-06 1.629651e-02 7.748991e+00 6.167280e-04 -1.704453e-01 1.778722e-03
-3.655648e-01 -4.538450e-06 1.742521e-02 7.776396e+00 6.189009e-04 -1.743434e-01 1.744986e-03
-3.589181e-01 -4.980895e-06 1.814173e-02 7.784227e+00 6.195587e-04 -1.730769e-01 1.774669e-03
-3.522715e-01 -4.612697e-06 1.576872e-02 7.732426e+00 6.154006e-04 -1.708312e-01 1.750469e-03
-3.456248e-01 -4.418458e-06 1.685210e-02 7.784946e+00 6.195966e-04 -1.792075e-01 1.708150e-03
