#./munderdamped_3d --dev=1 --amp=10.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=262144 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:0.95:0.96:25:0 --domainy=a:10.0:10.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m_0.95_0.96-a10.0-w4.0.dat
#./munderdamped_3d --dev=1 --amp=10.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=262144 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:0.96:1.0:100:0 --domainy=a:10.0:10.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m_0.96_1.0-a10.0-w4.0.dat
#./munderdamped_3d --dev=1 --amp=10.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=262144 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:1.0:1.0:1:0 --domainy=a:10.0:10.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m_1.0_1.0-a10.0-w4.0.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
9.708002e-01 1.000000e+01 4.000000e+00 5.537724e-03 5.690353e+00 9.615279e-01 1.569302e+03 9.992487e-02 3.160095e-02 2.016941e-01
9.712002e-01 1.000000e+01 4.000000e+00 5.550160e-03 5.689893e+00 9.691264e-01 1.530781e+03 9.747081e-02 3.520441e-02 2.080954e-01
9.716002e-01 1.000000e+01 4.000000e+00 5.531257e-03 5.689275e+00 9.695944e-01 1.501372e+03 9.560117e-02 3.553283e-02 2.159190e-01
9.720002e-01 1.000000e+01 4.000000e+00 5.516856e-03 5.688411e+00 9.641982e-01 1.468514e+03 9.350643e-02 3.661489e-02 2.222073e-01
9.724002e-01 1.000000e+01 4.000000e+00 5.517778e-03 5.687229e+00 9.758018e-01 1.456485e+03 9.274445e-02 3.938770e-02 2.274288e-01
9.728002e-01 1.000000e+01 4.000000e+00 5.548302e-03 5.685919e+00 9.769582e-01 1.422698e+03 9.058838e-02 4.379427e-02 2.337756e-01
9.732002e-01 1.000000e+01 4.000000e+00 5.581632e-03 5.684434e+00 9.905136e-01 1.408551e+03 8.969472e-02 3.980565e-02 2.396272e-01
9.736002e-01 1.000000e+01 4.000000e+00 5.604021e-03 5.682771e+00 9.586988e-01 1.388133e+03 8.839361e-02 3.537965e-02 2.462692e-01
9.740002e-01 1.000000e+01 4.000000e+00 5.651380e-03 5.680973e+00 9.763959e-01 1.378395e+03 8.776936e-02 3.720486e-02 2.517325e-01
9.744002e-01 1.000000e+01 4.000000e+00 5.668249e-03 5.678714e+00 9.728051e-01 1.359710e+03 8.658413e-02 4.042220e-02 2.574931e-01
9.748002e-01 1.000000e+01 4.000000e+00 5.752786e-03 5.676652e+00 9.749738e-01 1.348671e+03 8.588234e-02 5.401790e-02 2.623374e-01
9.752002e-01 1.000000e+01 4.000000e+00 5.808400e-03 5.673911e+00 9.745629e-01 1.343286e+03 8.553728e-02 4.615974e-02 2.679993e-01
9.756002e-01 1.000000e+01 4.000000e+00 5.878538e-03 5.671274e+00 9.686337e-01 1.328463e+03 8.458450e-02 4.716611e-02 2.720236e-01
9.760002e-01 1.000000e+01 4.000000e+00 5.986230e-03 5.668664e+00 9.569356e-01 1.320838e+03 8.410452e-02 4.887593e-02 2.756100e-01
9.764003e-01 1.000000e+01 4.000000e+00 6.033580e-03 5.665698e+00 9.873310e-01 1.318071e+03 8.393009e-02 5.070043e-02 2.814616e-01
