#m p_+ p_- v_I v_II
6.355498e-03 1.592214e-01 1.004495e-01 6.247421e+02 1.599594e+03 4.708702e-01 2.840491e-01
6.710759e-03 1.573514e-01 9.568756e-02 5.970530e+02 1.519702e+03 4.756587e-01 2.857195e-01
7.085878e-03 1.554322e-01 9.072716e-02 5.707289e+02 1.443948e+03 4.806222e-01 2.874347e-01
7.481966e-03 1.534639e-01 8.554248e-02 5.456980e+02 1.372114e+03 4.857651e-01 2.891948e-01
7.900195e-03 1.514465e-01 8.019218e-02 5.218921e+02 1.303993e+03 4.910897e-01 2.909998e-01
8.341801e-03 1.493803e-01 7.470610e-02 4.992470e+02 1.239388e+03 4.965975e-01 2.928495e-01
8.808093e-03 1.472656e-01 6.901347e-02 4.777018e+02 1.178116e+03 5.022851e-01 2.947439e-01
9.300449e-03 1.451027e-01 6.309884e-02 4.571990e+02 1.119999e+03 5.081471e-01 2.966826e-01
9.820328e-03 1.428921e-01 5.704869e-02 4.376841e+02 1.064871e+03 5.141671e-01 2.986653e-01
1.036927e-02 1.406344e-01 5.099287e-02 4.191056e+02 1.012576e+03 5.203196e-01 3.006916e-01
1.094889e-02 1.383301e-01 4.474070e-02 4.014149e+02 9.629640e+02 5.265596e-01 3.027609e-01
1.156091e-02 1.359802e-01 3.850534e-02 3.845659e+02 9.158938e+02 5.328054e-01 3.048727e-01
1.220715e-02 1.335855e-01 3.231435e-02 3.685150e+02 8.712321e+02 5.389675e-01 3.070262e-01
1.288950e-02 1.311470e-01 2.742251e-02 3.532210e+02 8.288524e+02 5.449349e-01 3.092206e-01
1.361000e-02 1.286658e-01 2.086840e-02 3.386450e+02 7.886349e+02 5.505302e-01 3.114549e-01
1.437078e-02 1.261432e-01 1.571302e-02 3.247501e+02 7.504664e+02 5.556935e-01 3.137283e-01
1.517408e-02 1.235805e-01 1.128551e-02 3.115014e+02 7.142395e+02 5.600360e-01 3.160395e-01
1.602228e-02 1.209791e-01 7.661422e-03 2.988658e+02 6.798525e+02 5.636411e-01 3.183872e-01
1.691790e-02 1.183408e-01 4.845556e-03 2.868123e+02 6.472094e+02 5.664343e-01 3.207701e-01
1.786358e-02 1.156672e-01 2.861797e-03 2.753112e+02 6.162189e+02 5.684525e-01 3.231867e-01
1.886212e-02 1.129602e-01 1.545641e-03 2.643346e+02 5.867949e+02 5.697727e-01 3.256354e-01
1.991648e-02 1.102219e-01 7.427431e-04 2.538561e+02 5.588557e+02 5.705147e-01 3.281145e-01
2.102978e-02 1.074544e-01 3.369605e-04 2.438506e+02 5.323240e+02 5.709847e-01 3.306220e-01
2.220530e-02 1.046600e-01 1.307106e-04 2.342945e+02 5.071265e+02 5.711562e-01 3.331560e-01
2.344654e-02 1.018411e-01 4.427051e-05 2.251654e+02 4.831939e+02 5.712676e-01 3.357143e-01
2.475716e-02 9.900034e-02 1.280830e-05 2.164420e+02 4.604605e+02 5.713161e-01 3.382947e-01
2.614104e-02 9.614035e-02 3.061198e-06 2.081042e+02 4.388641e+02 5.712993e-01 3.408948e-01
2.760228e-02 9.326402e-02 6.448218e-07 2.001330e+02 4.183459e+02 5.713215e-01 3.435121e-01
2.914519e-02 9.037433e-02 1.130017e-07 1.925105e+02 3.988499e+02 5.712900e-01 3.461438e-01
