#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=50 --skew=0.99 --distribution=s>> journal_4_s_30_s:-2:3:300:1_1.0_0.99_40.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
8.912484e-01 1.893078e+00 9.885885e-01 7.847112e+04 6.404395e+00 -4.954576e-03 9.418726e-04
9.261161e-01 2.017102e+00 9.807525e-01 8.368504e+04 7.205262e+00 1.311207e-02 8.925200e-04
9.623479e-01 2.143804e+00 9.814140e-01 9.088095e+04 7.131414e+00 9.639263e-04 8.438826e-04
9.999971e-01 2.272838e+00 9.804757e-01 9.737510e+04 7.635617e+00 7.028818e-03 8.161068e-04
1.039119e+00 2.403659e+00 9.889020e-01 1.057183e+05 8.640203e+00 -1.071370e-02 7.663965e-04
1.079772e+00 2.535793e+00 9.836000e-01 1.122770e+05 8.523066e+00 -9.105682e-03 7.270575e-04
1.122015e+00 2.669430e+00 9.864298e-01 1.212679e+05 9.760654e+00 -1.531208e-02 7.523298e-04
1.165911e+00 2.803395e+00 9.831944e-01 1.289098e+05 9.793758e+00 -4.232585e-03 7.022619e-04
1.211524e+00 2.936838e+00 9.859206e-01 1.378119e+05 1.081999e+01 4.602551e-03 6.847382e-04
1.258922e+00 3.070107e+00 9.835976e-01 1.461229e+05 1.218745e+01 -8.813620e-03 6.511211e-04
1.308174e+00 3.201986e+00 9.850904e-01 1.551695e+05 1.339193e+01 -3.828645e-03 6.400347e-04
1.359353e+00 3.332092e+00 9.856104e-01 1.671033e+05 1.452766e+01 1.594877e-02 5.922318e-04
1.412534e+00 3.459659e+00 9.943796e-01 1.792984e+05 1.430867e+01 9.654641e-03 6.273985e-04
1.467795e+00 3.584068e+00 9.942078e-01 1.907778e+05 1.437487e+01 3.651261e-03 5.781651e-04
1.525219e+00 3.704878e+00 9.936990e-01 2.030867e+05 1.751468e+01 1.203585e-02 5.697012e-04
1.584889e+00 3.821665e+00 1.002116e+00 2.188792e+05 1.891015e+01 -8.424520e-03 5.701780e-04
1.646893e+00 3.934597e+00 1.004278e+00 2.347965e+05 1.683223e+01 5.618453e-03 5.881786e-04
1.711323e+00 4.042042e+00 1.005865e+00 2.501549e+05 2.175202e+01 1.718760e-02 5.542040e-04
1.778274e+00 4.144630e+00 1.003907e+00 2.637785e+05 2.066722e+01 3.980398e-03 5.760193e-04
1.847844e+00 4.241991e+00 9.983439e-01 2.773091e+05 2.104410e+01 -9.661496e-03 5.450249e-04
1.920137e+00 4.332330e+00 1.005895e+00 2.958254e+05 2.160433e+01 -9.932578e-03 5.303621e-04
1.995257e+00 4.416831e+00 1.007795e+00 3.136527e+05 2.441564e+01 -1.931822e-02 5.202293e-04
2.073316e+00 4.494966e+00 1.010160e+00 3.322728e+05 2.404895e+01 -2.716994e-02 5.252361e-04
2.154429e+00 4.566513e+00 1.014036e+00 3.526802e+05 2.524070e+01 -2.968413e-02 5.615950e-04
2.238715e+00 4.631888e+00 1.003134e+00 3.678095e+05 2.974287e+01 -1.957649e-02 4.993677e-04
2.326299e+00 4.690469e+00 1.002919e+00 3.885153e+05 3.126058e+01 -1.705110e-02 5.308390e-04
2.417309e+00 4.742167e+00 1.009249e+00 4.140156e+05 3.236066e+01 -1.204216e-02 5.117655e-04
2.511880e+00 4.787236e+00 1.008773e+00 4.359220e+05 3.368992e+01 -1.056916e-02 4.628897e-04
2.610151e+00 4.825655e+00 1.007112e+00 4.531084e+05 3.587480e+01 -1.260346e-02 5.189180e-04
2.712266e+00 4.857200e+00 1.006634e+00 4.755106e+05 3.660309e+01 3.428936e-03 5.121231e-04
2.818376e+00 4.881580e+00 1.010998e+00 5.040871e+05 3.878797e+01 -8.681417e-04 5.130768e-04
2.928637e+00 4.899476e+00 1.005258e+00 5.297288e+05 4.264334e+01 1.434183e-02 5.078316e-04
3.043212e+00 4.910913e+00 1.010446e+00 5.565066e+05 4.628989e+01 1.645136e-02 5.171299e-04
3.162270e+00 4.915808e+00 1.010672e+00 5.842411e+05 4.604034e+01 1.473701e-02 4.835129e-04
3.285985e+00 4.913043e+00 1.009266e+00 6.103652e+05 4.831689e+01 1.858509e-02 4.827976e-04
3.414541e+00 4.904428e+00 1.007114e+00 6.394521e+05 4.963597e+01 3.384209e-02 5.190372e-04
3.548125e+00 4.889040e+00 1.002509e+00 6.701324e+05 5.203984e+01 2.912498e-02 4.845858e-04
3.686936e+00 4.866107e+00 1.002290e+00 6.993080e+05 5.419416e+01 2.732944e-02 4.974604e-04
3.831177e+00 4.835360e+00 1.003209e+00 7.303009e+05 5.732124e+01 2.190018e-02 4.981756e-04
3.981061e+00 4.799459e+00 9.943874e-01 7.572984e+05 6.165535e+01 2.454674e-02 4.839897e-04
4.136810e+00 4.755226e+00 1.004182e+00 7.961818e+05 6.234290e+01 1.622963e-02 5.085468e-04
4.298651e+00 4.703980e+00 1.001101e+00 8.304517e+05 6.616262e+01 1.492143e-02 4.863739e-04
4.466824e+00 4.644846e+00 1.000324e+00 8.657498e+05 6.604038e+01 1.226258e-02 4.897118e-04
4.641576e+00 4.576118e+00 9.963792e-01 8.941091e+05 6.919292e+01 2.218485e-03 4.981756e-04
4.823165e+00 4.498857e+00 9.991208e-01 9.412454e+05 7.559477e+01 -2.820432e-03 5.037785e-04
5.011858e+00 4.413868e+00 9.966849e-01 9.788891e+05 7.845702e+01 -1.545912e-02 5.018711e-04
5.207934e+00 4.316527e+00 9.969437e-01 1.021216e+06 8.143640e+01 -1.319951e-02 5.208254e-04
5.411680e+00 4.208840e+00 9.945459e-01 1.058487e+06 8.259250e+01 -9.131432e-03 5.007982e-04
5.623397e+00 4.088833e+00 9.900799e-01 1.088076e+06 8.882119e+01 -7.810175e-03 4.754066e-04
5.843397e+00 3.958655e+00 9.942465e-01 1.148942e+06 9.261035e+01 -5.957723e-03 4.894733e-04
6.072004e+00 3.817369e+00 9.889672e-01 1.183070e+06 9.300760e+01 -1.329273e-02 4.897118e-04
6.309555e+00 3.668038e+00 9.917152e-01 1.238697e+06 9.800124e+01 -1.499772e-02 5.098581e-04
6.556399e+00 3.511501e+00 9.986755e-01 1.302790e+06 1.045813e+02 -1.762927e-02 4.693270e-04
6.812900e+00 3.350209e+00 1.003796e+00 1.366898e+06 1.082305e+02 -1.950234e-02 4.994869e-04
7.079436e+00 3.186140e+00 9.982257e-01 1.424226e+06 1.141969e+02 -1.752812e-02 5.023479e-04
7.356400e+00 3.022101e+00 1.003135e+00 1.480552e+06 1.170133e+02 -1.307064e-02 4.987717e-04
7.644198e+00 2.856257e+00 1.009770e+00 1.558349e+06 1.243115e+02 -4.881144e-03 4.812479e-04
7.943257e+00 2.690258e+00 1.004091e+00 1.618970e+06 1.283043e+02 -1.401669e-02 4.514456e-04
8.254015e+00 2.525904e+00 1.005234e+00 1.690963e+06 1.349647e+02 -1.539296e-02 4.707575e-04
8.576931e+00 2.366467e+00 1.005212e+00 1.754229e+06 1.392708e+02 -1.073593e-02 4.941225e-04
8.912479e+00 2.206721e+00 1.008959e+00 1.842583e+06 1.468796e+02 -1.578599e-02 4.940033e-04
9.261156e+00 2.051691e+00 1.006117e+00 1.906198e+06 1.519841e+02 -1.010811e-02 4.563332e-04
9.623473e+00 1.899402e+00 1.007692e+00 1.974998e+06 1.573342e+02 -5.548060e-03 4.619360e-04
9.999966e+00 1.750839e+00 1.004076e+00 2.053333e+06 1.636450e+02 -2.883852e-03 4.813671e-04
1.039119e+01 1.606673e+00 1.006999e+00 2.128909e+06 1.695172e+02 -4.362822e-03 4.718304e-04
1.079772e+01 1.468801e+00 1.005856e+00 2.212928e+06 1.760655e+02 -8.894742e-03 4.743338e-04
1.122015e+01 1.332237e+00 1.007297e+00 2.299974e+06 1.831097e+02 -1.220852e-02 4.817247e-04
1.165910e+01 1.200267e+00 1.006032e+00 2.398792e+06 1.909589e+02 -7.739902e-03 4.717112e-04
1.211523e+01 1.072247e+00 1.007882e+00 2.479728e+06 1.974164e+02 -9.200454e-03 4.476309e-04
1.258921e+01 9.500232e-01 1.011793e+00 2.584171e+06 2.055935e+02 -2.059340e-04 4.655123e-04
1.308173e+01 8.289099e-01 1.008441e+00 2.696620e+06 2.146274e+02 -5.797446e-03 4.822016e-04
1.359352e+01 7.139961e-01 1.004684e+00 2.782552e+06 2.214525e+02 -6.319404e-03 4.727840e-04
1.412532e+01 6.051895e-01 1.002388e+00 2.890146e+06 2.300071e+02 -1.049620e-02 4.673004e-04
