#./munderdamped_3d_gle_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.04 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a_15.0_20.0-w11.0-t0.04-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.789997e+01 -1.750132e+00 1.020107e+01 9.396992e-05 7.200259e+03 2.208338e+00 2.145418e+00 -3.406405e-04
1.794997e+01 -1.750132e+00 1.027654e+01 3.835192e-04 6.480517e+03 2.083338e+00 2.234930e+00 -2.341270e-04
1.799997e+01 -1.750132e+00 1.033371e+01 1.480049e-04 5.742324e+03 2.017161e+00 2.073491e+00 -9.977818e-05
1.804997e+01 -1.750132e+00 1.040373e+01 6.193130e-05 5.231812e+03 1.919122e+00 1.988958e+00 1.776218e-05
1.809997e+01 -1.750132e+00 1.047066e+01 2.759564e-05 4.855404e+03 1.898464e+00 2.206248e+00 1.634359e-04
1.814997e+01 -1.750132e+00 1.052841e+01 1.544214e-04 4.416264e+03 1.773463e+00 1.962910e+00 3.252029e-04
1.819997e+01 -1.750132e+00 1.059610e+01 1.524447e-04 4.135472e+03 1.663519e+00 1.992215e+00 3.960133e-04
1.824997e+01 -1.750133e+00 1.065103e+01 2.250557e-04 3.965503e+03 1.695382e+00 2.018013e+00 3.219843e-04
1.829997e+01 -1.750133e+00 1.071246e+01 1.846712e-04 3.776742e+03 1.573883e+00 2.098019e+00 2.071857e-04
1.834997e+01 -1.750133e+00 1.076905e+01 1.977476e-04 3.687352e+03 1.524163e+00 2.269419e+00 -1.410246e-04
1.839997e+01 -1.750133e+00 1.081811e+01 1.627536e-04 3.513281e+03 1.596292e+00 2.099276e+00 -3.085732e-04
1.844997e+01 -1.750134e+00 1.086902e+01 1.228464e-04 3.539153e+03 1.541320e+00 2.208591e+00 -1.671910e-04
1.849997e+01 -1.750135e+00 1.091228e+01 2.215094e-04 3.523824e+03 1.521012e+00 1.955380e+00 2.193451e-05
1.854996e+01 -1.750136e+00 1.095014e+01 2.380186e-04 3.491033e+03 1.490900e+00 1.936507e+00 1.168251e-05
1.859996e+01 -1.750139e+00 1.097801e+01 2.286814e-04 3.560659e+03 1.536418e+00 1.976722e+00 -6.031990e-05
1.864996e+01 -1.750090e+00 1.099669e+01 7.616780e-03 3.628427e+03 1.473042e+00 2.026666e+00 7.390976e-06
1.869996e+01 -1.749900e+00 1.100525e+01 1.963597e-02 3.827109e+03 1.546222e+00 1.943599e+00 3.397465e-05
1.874996e+01 -1.748992e+00 1.100441e+01 8.357894e-02 4.253717e+03 1.507356e+00 2.188762e+00 5.674362e-05
1.879996e+01 -1.742784e+00 1.099100e+01 3.732791e-01 6.400210e+03 1.647063e+00 1.553219e+00 1.451969e-04
