#./munderdamped_3d_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-6:-2:100:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/maw-D_-6_-2-m0.525-a17.0-w11.0-ratchet.dat
#./munderdamped_3d_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-2:-1:25:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/Daw-D_-2_-1-m0.525-a17.0-w11.0-ratchet.dat
#./munderdamped_3d_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-1:-0:25:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/Daw-D_-1_0-m0.525-a17.0-w11.0-ratchet.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
2.089286e-04 1.700000e+01 1.100000e+01 5.519159e-01 7.015731e+00 2.001468e+00 1.599214e+07 2.799603e+03 -3.872730e-01 3.509231e-01
2.290856e-04 1.700000e+01 1.100000e+01 5.475150e-01 7.019499e+00 1.998686e+00 1.600711e+07 2.803624e+03 -3.891836e-01 3.520894e-01
2.511873e-04 1.700000e+01 1.100000e+01 5.383381e-01 7.021609e+00 2.001379e+00 1.611036e+07 2.820972e+03 -3.956923e-01 3.507612e-01
2.754214e-04 1.700000e+01 1.100000e+01 5.390054e-01 7.026630e+00 2.000653e+00 1.606348e+07 2.812845e+03 -3.942337e-01 3.536479e-01
3.019935e-04 1.700000e+01 1.100000e+01 5.494382e-01 7.024436e+00 2.001746e+00 1.603587e+07 2.807269e+03 -3.892701e-01 3.492024e-01
3.311293e-04 1.700000e+01 1.100000e+01 5.478354e-01 7.029288e+00 1.999090e+00 1.600942e+07 2.803874e+03 -3.891661e-01 3.516006e-01
3.630760e-04 1.700000e+01 1.100000e+01 5.574661e-01 7.027688e+00 1.999580e+00 1.597560e+07 2.797481e+03 -3.843440e-01 3.479334e-01
3.981049e-04 1.700000e+01 1.100000e+01 5.488516e-01 7.036933e+00 2.001490e+00 1.596048e+07 2.794366e+03 -3.876668e-01 3.548940e-01
4.365133e-04 1.700000e+01 1.100000e+01 5.551483e-01 7.036365e+00 2.000032e+00 1.593943e+07 2.790835e+03 -3.843579e-01 3.521577e-01
4.786273e-04 1.700000e+01 1.100000e+01 5.490401e-01 7.041035e+00 2.001843e+00 1.597009e+07 2.795832e+03 -3.879207e-01 3.540384e-01
5.248043e-04 1.700000e+01 1.100000e+01 5.586437e-01 7.034418e+00 2.001238e+00 1.600836e+07 2.802344e+03 -3.849092e-01 3.449885e-01
5.754365e-04 1.700000e+01 1.100000e+01 5.519470e-01 7.037536e+00 2.001442e+00 1.606140e+07 2.811773e+03 -3.890541e-01 3.454475e-01
6.309535e-04 1.700000e+01 1.100000e+01 5.568033e-01 7.041725e+00 2.000315e+00 1.597740e+07 2.797726e+03 -3.847275e-01 3.480045e-01
6.918266e-04 1.700000e+01 1.100000e+01 5.643804e-01 7.042737e+00 2.001344e+00 1.591884e+07 2.787323e+03 -3.799513e-01 3.472543e-01
7.585728e-04 1.700000e+01 1.100000e+01 5.612854e-01 7.041969e+00 1.998856e+00 1.599009e+07 2.800484e+03 -3.828524e-01 3.438309e-01
8.317584e-04 1.700000e+01 1.100000e+01 5.632622e-01 7.047110e+00 2.001296e+00 1.592736e+07 2.788604e+03 -3.808953e-01 3.473661e-01
9.120049e-04 1.700000e+01 1.100000e+01 5.601721e-01 7.055996e+00 1.999344e+00 1.584810e+07 2.775612e+03 -3.797389e-01 3.547349e-01
9.999934e-04 1.700000e+01 1.100000e+01 5.604446e-01 7.047112e+00 1.999086e+00 1.601092e+07 2.804101e+03 -3.836256e-01 3.426000e-01
1.096471e-03 1.700000e+01 1.100000e+01 5.711212e-01 7.050934e+00 2.000712e+00 1.587368e+07 2.779312e+03 -3.760363e-01 3.452151e-01
1.202256e-03 1.700000e+01 1.100000e+01 5.654502e-01 7.048714e+00 2.001411e+00 1.598783e+07 2.799431e+03 -3.813020e-01 3.402078e-01
1.318248e-03 1.700000e+01 1.100000e+01 5.858386e-01 7.046939e+00 2.000452e+00 1.580851e+07 2.768728e+03 -3.677238e-01 3.373137e-01
1.445430e-03 1.700000e+01 1.100000e+01 5.863254e-01 7.042456e+00 2.001113e+00 1.585728e+07 2.776759e+03 -3.697979e-01 3.303149e-01
1.584882e-03 1.700000e+01 1.100000e+01 5.957052e-01 7.027836e+00 2.002452e+00 1.590911e+07 2.786099e+03 -3.674611e-01 3.128963e-01
1.737788e-03 1.700000e+01 1.100000e+01 6.108555e-01 7.007181e+00 2.006448e+00 1.593928e+07 2.790972e+03 -3.628131e-01 2.891731e-01
1.905447e-03 1.700000e+01 1.100000e+01 6.478140e-01 6.964488e+00 2.009949e+00 1.597874e+07 2.797943e+03 -3.478894e-01 2.446865e-01
2.089281e-03 1.700000e+01 1.100000e+01 6.922861e-01 6.905013e+00 2.017352e+00 1.603328e+07 2.806884e+03 -3.301470e-01 1.877418e-01
2.290851e-03 1.700000e+01 1.100000e+01 7.320973e-01 6.834208e+00 2.024230e+00 1.626862e+07 2.848758e+03 -3.158359e-01 1.260542e-01
2.511868e-03 1.700000e+01 1.100000e+01 7.894120e-01 6.763130e+00 2.028447e+00 1.635870e+07 2.864036e+03 -2.806628e-01 7.048512e-02
2.754208e-03 1.700000e+01 1.100000e+01 8.050896e-01 6.716121e+00 2.030419e+00 1.668841e+07 2.922120e+03 -2.705402e-01 3.536737e-02
3.019929e-03 1.700000e+01 1.100000e+01 8.539944e-01 6.692217e+00 2.012388e+00 1.629422e+07 2.853170e+03 -2.107019e-01 1.766825e-02
3.311286e-03 1.700000e+01 1.100000e+01 8.583642e-01 6.692245e+00 1.968840e+00 1.594481e+07 2.792368e+03 -1.934099e-01 1.327145e-02
3.630752e-03 1.700000e+01 1.100000e+01 9.320416e-01 6.694912e+00 1.887506e+00 1.449273e+07 2.538064e+03 -8.917499e-02 1.194477e-02
3.981040e-03 1.700000e+01 1.100000e+01 1.014867e+00 6.700982e+00 1.726657e+00 1.236062e+07 2.164123e+03 3.416395e-02 1.144195e-02
4.365123e-03 1.700000e+01 1.100000e+01 1.125795e+00 6.706003e+00 1.533950e+00 9.490044e+06 1.661583e+03 2.753046e-01 1.094031e-02
4.786262e-03 1.700000e+01 1.100000e+01 1.238825e+00 6.711656e+00 1.258941e+00 6.356653e+06 1.113037e+03 6.293234e-01 1.014268e-02
5.248032e-03 1.700000e+01 1.100000e+01 1.304623e+00 6.719746e+00 1.083025e+00 3.995020e+06 6.995327e+02 8.613847e-01 8.933187e-03
5.754352e-03 1.700000e+01 1.100000e+01 1.337242e+00 6.727714e+00 1.001261e+00 2.452470e+06 4.295121e+02 9.126742e-01 7.619262e-03
6.309521e-03 1.700000e+01 1.100000e+01 1.353774e+00 6.739414e+00 1.000898e+00 1.542926e+06 2.702713e+02 7.504745e-01 6.990552e-03
6.918252e-03 1.700000e+01 1.100000e+01 1.369031e+00 6.751982e+00 9.711428e-01 1.012282e+06 1.773514e+02 5.815247e-01 6.448388e-03
7.585711e-03 1.700000e+01 1.100000e+01 1.367771e+00 6.763905e+00 9.912478e-01 7.016735e+05 1.229549e+02 4.427570e-01 5.747318e-03
8.317566e-03 1.700000e+01 1.100000e+01 1.360114e+00 6.778950e+00 1.002764e+00 5.127465e+05 8.990479e+01 3.616742e-01 5.420446e-03
9.120029e-03 1.700000e+01 1.100000e+01 1.356918e+00 6.792684e+00 9.890785e-01 3.801673e+05 6.665684e+01 2.305415e-01 5.045414e-03
1.000000e-02 1.700000e+01 1.100000e+01 1.343529e+00 6.808193e+00 9.591268e-01 2.967841e+05 5.209133e+01 2.016306e-01 4.736423e-03
1.096478e-02 1.700000e+01 1.100000e+01 1.327496e+00 6.823095e+00 9.917403e-01 2.411828e+05 4.233150e+01 1.262498e-01 4.454255e-03
1.202264e-02 1.700000e+01 1.100000e+01 1.307662e+00 6.839266e+00 9.808656e-01 1.974103e+05 3.465992e+01 9.438896e-02 4.241109e-03
1.318256e-02 1.700000e+01 1.100000e+01 1.288305e+00 6.855143e+00 9.735864e-01 1.648253e+05 2.894562e+01 6.573069e-02 4.096389e-03
1.445439e-02 1.700000e+01 1.100000e+01 1.263034e+00 6.871141e+00 1.000055e+00 1.429505e+05 2.512751e+01 7.499135e-02 3.867149e-03
1.584893e-02 1.700000e+01 1.100000e+01 1.238685e+00 6.887153e+00 1.003104e+00 1.257227e+05 2.209354e+01 5.052841e-02 3.692746e-03
1.737800e-02 1.700000e+01 1.100000e+01 1.209505e+00 6.903127e+00 1.013198e+00 1.105102e+05 1.941076e+01 3.607178e-02 3.576159e-03
1.905460e-02 1.700000e+01 1.100000e+01 1.181211e+00 6.919378e+00 9.967774e-01 9.780772e+04 1.721152e+01 2.298391e-02 3.495216e-03
2.089295e-02 1.700000e+01 1.100000e+01 1.152494e+00 6.934719e+00 1.013578e+00 8.759425e+04 1.542563e+01 6.990671e-03 3.370523e-03
2.290866e-02 1.700000e+01 1.100000e+01 1.121214e+00 6.949729e+00 9.915544e-01 7.954018e+04 1.400773e+01 1.042831e-02 3.257990e-03
2.511884e-02 1.700000e+01 1.100000e+01 1.090906e+00 6.964036e+00 1.001959e+00 7.274708e+04 1.279677e+01 1.254702e-02 3.118396e-03
2.754226e-02 1.700000e+01 1.100000e+01 1.057001e+00 6.978528e+00 9.876069e-01 6.654731e+04 1.170994e+01 4.650116e-03 3.025889e-03
3.019948e-02 1.700000e+01 1.100000e+01 1.025851e+00 6.992741e+00 9.931195e-01 6.180751e+04 1.085682e+01 1.307309e-02 2.987504e-03
3.311307e-02 1.700000e+01 1.100000e+01 9.913294e-01 7.006340e+00 1.020734e+00 5.744247e+04 1.011688e+01 1.476920e-02 2.922416e-03
3.630776e-02 1.700000e+01 1.100000e+01 9.570659e-01 7.019581e+00 9.979673e-01 5.286162e+04 9.319261e+00 8.128047e-03 2.809644e-03
3.981066e-02 1.700000e+01 1.100000e+01 9.220980e-01 7.031957e+00 1.023920e+00 4.953892e+04 8.727173e+00 -5.565464e-03 2.763152e-03
4.365152e-02 1.700000e+01 1.100000e+01 8.874557e-01 7.044660e+00 9.789958e-01 4.623311e+04 8.134647e+00 -4.863858e-03 2.667427e-03
4.786294e-02 1.700000e+01 1.100000e+01 8.495478e-01 7.056537e+00 9.698232e-01 4.309345e+04 7.600420e+00 -3.809690e-03 2.614975e-03
5.248066e-02 1.700000e+01 1.100000e+01 8.139753e-01 7.067901e+00 9.926903e-01 4.002457e+04 7.056301e+00 2.905846e-03 2.538085e-03
5.754390e-02 1.700000e+01 1.100000e+01 7.725415e-01 7.079818e+00 1.005871e+00 3.801873e+04 6.697494e+00 -1.045418e-02 2.470374e-03
6.309562e-02 1.700000e+01 1.100000e+01 7.343616e-01 7.090580e+00 1.022622e+00 3.588281e+04 6.321180e+00 3.613234e-04 2.439022e-03
6.918297e-02 1.700000e+01 1.100000e+01 6.953210e-01 7.101250e+00 1.028810e+00 3.346620e+04 5.888144e+00 -1.047069e-02 2.324700e-03
7.585761e-02 1.700000e+01 1.100000e+01 6.547649e-01 7.112082e+00 9.759023e-01 3.119231e+04 5.490383e+00 -2.552807e-03 2.272129e-03
8.317621e-02 1.700000e+01 1.100000e+01 6.141771e-01 7.122280e+00 9.844680e-01 2.975375e+04 5.233424e+00 -7.167995e-03 2.172232e-03
9.120089e-02 1.700000e+01 1.100000e+01 5.737076e-01 7.132411e+00 1.005703e+00 2.771326e+04 4.877506e+00 -3.578544e-03 2.136350e-03
1.000000e-01 1.700000e+01 1.100000e+01 5.345046e-01 7.142673e+00 9.865311e-01 2.603840e+04 4.569644e+00 -3.646612e-04 2.044201e-03
1.096478e-01 1.700000e+01 1.100000e+01 4.947510e-01 7.152746e+00 1.007065e+00 2.469468e+04 4.343322e+00 5.032420e-03 1.975656e-03
1.202265e-01 1.700000e+01 1.100000e+01 4.577068e-01 7.163607e+00 9.980113e-01 2.317598e+04 4.075223e+00 -8.755922e-04 1.931429e-03
1.318257e-01 1.700000e+01 1.100000e+01 4.217154e-01 7.174284e+00 9.723153e-01 2.166071e+04 3.802792e+00 -1.170737e-02 1.829743e-03
1.445440e-01 1.700000e+01 1.100000e+01 3.870752e-01 7.186084e+00 1.004176e+00 2.033753e+04 3.573231e+00 -1.605874e-02 1.759410e-03
1.584894e-01 1.700000e+01 1.100000e+01 3.551321e-01 7.198448e+00 1.000499e+00 1.901173e+04 3.339304e+00 -4.779756e-03 1.696110e-03
1.737801e-01 1.700000e+01 1.100000e+01 3.250810e-01 7.212382e+00 9.957819e-01 1.784270e+04 3.131889e+00 -3.397942e-03 1.617551e-03
1.905461e-01 1.700000e+01 1.100000e+01 2.966398e-01 7.227210e+00 1.041196e+00 1.692009e+04 2.968866e+00 -2.657533e-03 1.554728e-03
2.089297e-01 1.700000e+01 1.100000e+01 2.714599e-01 7.243776e+00 1.008436e+00 1.593780e+04 2.796619e+00 5.420446e-04 1.507282e-03
2.290869e-01 1.700000e+01 1.100000e+01 2.468749e-01 7.262129e+00 1.007356e+00 1.504336e+04 2.638049e+00 8.631110e-03 1.440883e-03
2.511888e-01 1.700000e+01 1.100000e+01 2.248485e-01 7.283086e+00 1.010843e+00 1.414804e+04 2.479851e+00 -1.415843e-02 1.400590e-03
2.754230e-01 1.700000e+01 1.100000e+01 2.045056e-01 7.306006e+00 9.768227e-01 1.350426e+04 2.367280e+00 5.029082e-03 1.368284e-03
3.019953e-01 1.700000e+01 1.100000e+01 1.859611e-01 7.332531e+00 1.002013e+00 1.289147e+04 2.259262e+00 -6.880939e-03 1.301646e-03
3.311313e-01 1.700000e+01 1.100000e+01 1.690800e-01 7.361891e+00 1.006533e+00 1.244976e+04 2.181232e+00 -1.167929e-02 1.293659e-03
3.630783e-01 1.700000e+01 1.100000e+01 1.547081e-01 7.394513e+00 1.032670e+00 1.199690e+04 2.101909e+00 -6.905794e-03 1.254320e-03
3.981074e-01 1.700000e+01 1.100000e+01 1.407783e-01 7.431072e+00 9.928781e-01 1.154777e+04 2.021946e+00 -1.941502e-03 1.247764e-03
4.365160e-01 1.700000e+01 1.100000e+01 1.282201e-01 7.471984e+00 9.930434e-01 1.117837e+04 1.957096e+00 6.227255e-03 1.247883e-03
