#./munderdamped_3d_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.481701030928 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.481701030928-a_15.0_20.0-w11.0-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.914996e+01 -5.230661e-01 1.020409e+01 1.005134e+00 7.241362e+04 1.264910e+01 -4.443884e-03 3.249049e-03
1.919995e+01 -4.119851e-01 1.014969e+01 9.940788e-01 6.313730e+04 1.103990e+01 -9.702444e-04 3.164649e-03
1.924995e+01 -3.341466e-01 1.012217e+01 1.009112e+00 5.760383e+04 1.007325e+01 4.201055e-03 3.082633e-03
1.929995e+01 -2.746927e-01 1.010789e+01 9.928160e-01 5.315191e+04 9.297366e+00 -4.178762e-03 3.013253e-03
1.934995e+01 -2.346626e-01 1.010845e+01 1.015669e+00 5.002592e+04 8.752793e+00 3.167272e-03 2.998948e-03
1.939995e+01 -2.008518e-01 1.011390e+01 9.937609e-01 4.807896e+04 8.412637e+00 3.668070e-04 2.950668e-03
1.944995e+01 -1.773293e-01 1.012731e+01 1.023255e+00 4.645731e+04 8.130839e+00 -5.080581e-03 2.932191e-03
1.949995e+01 -1.630269e-01 1.014941e+01 1.037062e+00 4.492459e+04 7.862746e+00 -1.023501e-02 2.917886e-03
1.954995e+01 -1.528848e-01 1.017538e+01 9.843338e-01 4.407834e+04 7.715479e+00 -3.483713e-03 2.880573e-03
1.959995e+01 -1.486288e-01 1.020661e+01 1.003135e+00 4.366499e+04 7.643451e+00 6.557703e-03 2.883196e-03
1.964995e+01 -1.490312e-01 1.024398e+01 9.924636e-01 4.287044e+04 7.504219e+00 -2.222538e-03 2.813935e-03
1.969995e+01 -1.541170e-01 1.028616e+01 1.007470e+00 4.303946e+04 7.533710e+00 -4.048049e-03 2.789736e-03
1.974995e+01 -1.627067e-01 1.033342e+01 1.028428e+00 4.302307e+04 7.529981e+00 -2.528369e-03 2.739310e-03
1.979995e+01 -1.760361e-01 1.038488e+01 9.920231e-01 4.296246e+04 7.519294e+00 -1.179457e-03 2.775073e-03
1.984995e+01 -1.907341e-01 1.043830e+01 9.936583e-01 4.338831e+04 7.593701e+00 6.667495e-03 2.723336e-03
1.989994e+01 -2.087052e-01 1.049648e+01 1.002329e+00 4.421711e+04 7.738129e+00 -3.443122e-03 2.709866e-03
1.994994e+01 -2.307275e-01 1.055922e+01 1.011087e+00 4.545561e+04 7.953608e+00 1.010299e-02 2.695680e-03
