#./munderdamped_3d_gle_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.1 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:0.1:100:0 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a17.0-w11.0-t_0.0_0.1-ratchet.dat
#t a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
5.799996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.503548e+00 8.476438e-05 1.471850e+04 3.647067e+00 2.205824e+00 -5.386472e-04
5.899996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.537679e+00 1.515807e-04 1.259560e+04 3.324937e+00 2.134182e+00 -5.353093e-04
5.999995e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.555875e+00 6.795709e-05 1.134483e+04 3.090693e+00 2.211952e+00 -5.378127e-04
6.099995e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.584996e+00 1.337485e-04 9.805891e+03 2.856449e+00 2.100402e+00 -5.403161e-04
6.199995e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.615803e+00 -1.957458e-05 8.970434e+03 2.622555e+00 2.163514e+00 -5.413890e-04
6.299995e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.630850e+00 3.077730e-05 7.963736e+03 2.484950e+00 2.212775e+00 -5.421638e-04
6.399995e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.663123e+00 2.031918e-04 7.275848e+03 2.304277e+00 2.035782e+00 -5.428791e-04
6.499995e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.676903e+00 3.625054e-07 6.616814e+03 2.330187e+00 2.111759e+00 -5.475283e-04
6.599995e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.706230e+00 1.716340e-04 6.183586e+03 2.167722e+00 2.015541e+00 -5.437136e-04
6.699996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.720707e+00 1.326575e-04 5.719766e+03 2.091741e+00 2.131253e+00 -5.474687e-04
