#./munderdamped_3d_ratchet --dev=1 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a_15.0_20.0-w11.0-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.784998e+01 6.060972e-01 7.635528e+00 2.014808e+00 1.814121e+07 3.176693e+03 -4.051653e-01 8.770728e-02
1.789997e+01 5.572500e-01 7.681921e+00 2.017942e+00 1.831948e+07 3.207740e+03 -4.224873e-01 6.808746e-02
1.794997e+01 4.640647e-01 7.745311e+00 2.018060e+00 1.849373e+07 3.238292e+03 -4.516777e-01 5.306339e-02
1.799997e+01 3.240516e-01 7.832005e+00 2.014073e+00 1.838886e+07 3.219345e+03 -4.823239e-01 4.686511e-02
1.804997e+01 8.344319e-02 7.951108e+00 1.990166e+00 1.835582e+07 3.213620e+03 -5.375149e-01 4.089570e-02
1.809997e+01 -1.625411e-01 8.078412e+00 1.946351e+00 1.777346e+07 3.111248e+03 -5.653306e-01 3.726196e-02
1.814997e+01 -4.999786e-01 8.230323e+00 1.840098e+00 1.663971e+07 2.912716e+03 -5.683452e-01 3.174102e-02
1.819997e+01 -8.402749e-01 8.381935e+00 1.683848e+00 1.468792e+07 2.570895e+03 -5.109520e-01 2.457929e-02
1.824997e+01 -1.146706e+00 8.530348e+00 1.472220e+00 1.220033e+07 2.135452e+03 -3.726436e-01 1.677644e-02
1.829997e+01 -1.398757e+00 8.670519e+00 1.187909e+00 9.321113e+06 1.631654e+03 -1.330772e-01 9.777308e-03
1.834997e+01 -1.571355e+00 8.784936e+00 8.898653e-01 6.619048e+06 1.158711e+03 2.466701e-01 4.737973e-03
1.839997e+01 -1.670998e+00 8.874868e+00 6.005436e-01 4.415512e+06 7.729720e+02 7.457027e-01 1.912355e-03
1.844997e+01 -1.722032e+00 8.962355e+00 3.368919e-01 2.810372e+06 4.921128e+02 1.284572e+00 2.719164e-04
1.849997e+01 -1.739699e+00 9.040411e+00 1.924453e-01 1.824003e+06 3.194331e+02 1.781594e+00 -1.957417e-04
1.854996e+01 -1.747866e+00 9.102627e+00 6.573977e-02 1.153179e+06 2.021867e+02 2.047329e+00 -4.653931e-04
1.859996e+01 -1.749576e+00 9.175040e+00 2.467936e-02 7.532924e+05 1.323196e+02 2.157241e+00 -5.130768e-04
1.864996e+01 -1.750076e+00 9.247522e+00 3.236750e-03 5.104168e+05 8.986680e+01 2.124840e+00 -5.218387e-04
1.869996e+01 -1.750132e+00 9.305327e+00 2.248162e-04 3.553936e+05 6.279881e+01 2.104953e+00 -5.141497e-04
1.874996e+01 -1.750132e+00 9.378662e+00 -2.707157e-04 2.568048e+05 4.554247e+01 2.251977e+00 -4.986525e-04
1.879996e+01 -1.750132e+00 9.442588e+00 -2.823012e-04 1.860992e+05 3.326058e+01 2.199702e+00 -4.752278e-04
1.884996e+01 -1.750132e+00 9.504101e+00 3.836453e-04 1.370246e+05 2.455117e+01 2.119851e+00 -4.505515e-04
1.889996e+01 -1.750132e+00 9.576203e+00 -7.488331e-04 1.038047e+05 1.889430e+01 2.047140e+00 -4.209280e-04
1.894996e+01 -1.750132e+00 9.630771e+00 3.668591e-04 8.233228e+04 1.504520e+01 2.169425e+00 -3.703833e-04
