#./munderdamped_3d_gle_ratchet --dev=3 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.01 --tau=0.04 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-4:0:100:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D_-4_0-m0.525-a17.0-w11.0-t0.04-ratchet.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
6.309548e-03 1.700000e+01 1.100000e+01 -1.745528e+00 8.791702e+00 1.116823e-01 3.862938e+04 7.808491e+00 2.164166e+00 2.404451e-04
6.918282e-03 1.700000e+01 1.100000e+01 -1.739600e+00 8.782648e+00 2.524119e-01 4.026771e+04 7.894976e+00 2.117076e+00 1.382828e-05
7.585744e-03 1.700000e+01 1.100000e+01 -1.728947e+00 8.771948e+00 4.018700e-01 4.682555e+04 8.799389e+00 1.690902e+00 -1.394153e-04
8.317603e-03 1.700000e+01 1.100000e+01 -1.710849e+00 8.759603e+00 5.836925e-01 5.855200e+04 1.053154e+01 1.337860e+00 -1.370311e-04
9.120069e-03 1.700000e+01 1.100000e+01 -1.679652e+00 8.743393e+00 7.519972e-01 7.854584e+04 1.378715e+01 8.451928e-01 -3.939867e-05
9.999956e-03 1.700000e+01 1.100000e+01 -1.632727e+00 8.721572e+00 8.370659e-01 1.095234e+05 1.898954e+01 5.892777e-01 1.386404e-04
1.096473e-02 1.700000e+01 1.100000e+01 -1.562429e+00 8.691561e+00 9.468491e-01 1.490192e+05 2.586665e+01 3.675008e-01 3.607273e-04
1.202259e-02 1.700000e+01 1.100000e+01 -1.470761e+00 8.654859e+00 9.472800e-01 1.883429e+05 3.275112e+01 1.776663e-01 5.941391e-04
1.318251e-02 1.700000e+01 1.100000e+01 -1.352662e+00 8.610555e+00 1.012893e+00 2.326690e+05 4.052372e+01 1.003121e-01 7.959604e-04
1.445433e-02 1.700000e+01 1.100000e+01 -1.207327e+00 8.558309e+00 9.911010e-01 2.641663e+05 4.606873e+01 4.030609e-02 1.005411e-03
1.584885e-02 1.700000e+01 1.100000e+01 -1.055007e+00 8.504548e+00 1.044623e+00 2.838262e+05 4.953600e+01 2.216935e-02 1.209974e-03
1.737792e-02 1.700000e+01 1.100000e+01 -8.914167e-01 8.448011e+00 1.013127e+00 2.871277e+05 5.014840e+01 1.920462e-04 1.347780e-03
1.905451e-02 1.700000e+01 1.100000e+01 -7.244701e-01 8.391933e+00 1.011501e+00 2.774259e+05 4.847919e+01 -2.088881e-02 1.463175e-03
2.089285e-02 1.700000e+01 1.100000e+01 -5.696220e-01 8.340610e+00 1.002438e+00 2.538360e+05 4.437939e+01 -1.454651e-03 1.561880e-03
2.290856e-02 1.700000e+01 1.100000e+01 -4.281781e-01 8.293989e+00 9.997750e-01 2.285884e+05 3.998265e+01 -7.385254e-03 1.573086e-03
2.511873e-02 1.700000e+01 1.100000e+01 -3.015388e-01 8.252754e+00 1.001588e+00 2.016436e+05 3.528240e+01 -1.278180e-02 1.574039e-03
2.754214e-02 1.700000e+01 1.100000e+01 -1.917419e-01 8.217802e+00 9.940929e-01 1.750275e+05 3.063529e+01 -7.926762e-03 1.584649e-03
3.019935e-02 1.700000e+01 1.100000e+01 -9.602628e-02 8.187206e+00 1.024703e+00 1.517002e+05 2.656079e+01 -1.289970e-02 1.568317e-03
3.311293e-02 1.700000e+01 1.100000e+01 -1.610309e-02 8.162883e+00 1.042901e+00 1.311608e+05 2.296242e+01 -1.388729e-03 1.549602e-03
3.630760e-02 1.700000e+01 1.100000e+01 5.100895e-02 8.142273e+00 1.001142e+00 1.125424e+05 1.970221e+01 -1.367348e-02 1.535773e-03
3.981049e-02 1.700000e+01 1.100000e+01 1.056589e-01 8.126077e+00 1.021852e+00 9.746782e+04 1.706182e+01 -2.628446e-03 1.517296e-03
4.365133e-02 1.700000e+01 1.100000e+01 1.489101e-01 8.113830e+00 1.026935e+00 8.537432e+04 1.494775e+01 -4.821420e-04 1.476645e-03
4.786273e-02 1.700000e+01 1.100000e+01 1.825803e-01 8.104744e+00 1.021122e+00 7.528763e+04 1.318506e+01 4.212260e-03 1.460075e-03
5.248043e-02 1.700000e+01 1.100000e+01 2.093272e-01 8.098476e+00 9.773380e-01 6.601281e+04 1.156328e+01 -5.008101e-03 1.422405e-03
5.754365e-02 1.700000e+01 1.100000e+01 2.270471e-01 8.094576e+00 1.003808e+00 5.910570e+04 1.035527e+01 1.945531e-02 1.414657e-03
6.309535e-02 1.700000e+01 1.100000e+01 2.409625e-01 8.092159e+00 9.924085e-01 5.322136e+04 9.324852e+00 7.488847e-03 1.393080e-03
6.918266e-02 1.700000e+01 1.100000e+01 2.487222e-01 8.091586e+00 1.020081e+00 4.773525e+04 8.365324e+00 -5.482614e-03 1.357913e-03
7.585727e-02 1.700000e+01 1.100000e+01 2.520789e-01 8.093105e+00 1.015616e+00 4.378462e+04 7.673298e+00 -9.070635e-04 1.342535e-03
8.317585e-02 1.700000e+01 1.100000e+01 2.521857e-01 8.095166e+00 1.003394e+00 3.988004e+04 6.988959e+00 -2.464592e-03 1.293540e-03
9.120049e-02 1.700000e+01 1.100000e+01 2.470015e-01 8.099242e+00 1.005931e+00 3.668634e+04 6.430993e+00 2.752542e-04 1.267672e-03
9.999934e-02 1.700000e+01 1.100000e+01 2.401077e-01 8.103638e+00 1.010417e+00 3.350995e+04 5.872705e+00 1.932144e-03 1.269221e-03
1.096471e-01 1.700000e+01 1.100000e+01 2.314065e-01 8.109516e+00 9.942911e-01 3.078139e+04 5.394872e+00 -9.951234e-03 1.224041e-03
1.202257e-01 1.700000e+01 1.100000e+01 2.202461e-01 8.115395e+00 9.846101e-01 2.848068e+04 4.991214e+00 -5.853474e-03 1.188874e-03
1.318248e-01 1.700000e+01 1.100000e+01 2.094903e-01 8.122678e+00 1.008686e+00 2.646864e+04 4.637539e+00 -4.582882e-03 1.172066e-03
1.445431e-01 1.700000e+01 1.100000e+01 1.959098e-01 8.131036e+00 1.036840e+00 2.451432e+04 4.295823e+00 -2.227128e-03 1.152396e-03
1.584883e-01 1.700000e+01 1.100000e+01 1.821308e-01 8.140863e+00 9.911327e-01 2.278643e+04 3.991321e+00 5.386829e-03 1.106977e-03
1.737790e-01 1.700000e+01 1.100000e+01 1.701838e-01 8.150999e+00 9.838365e-01 2.117458e+04 3.709003e+00 -3.457129e-03 1.081586e-03
1.905449e-01 1.700000e+01 1.100000e+01 1.557747e-01 8.163068e+00 9.966818e-01 1.988989e+04 3.483652e+00 -1.058048e-02 1.052856e-03
2.089283e-01 1.700000e+01 1.100000e+01 1.429656e-01 8.176746e+00 1.021343e+00 1.896692e+04 3.321348e+00 7.126808e-03 1.050711e-03
2.290854e-01 1.700000e+01 1.100000e+01 1.307257e-01 8.192007e+00 1.000686e+00 1.763923e+04 3.088228e+00 -6.826282e-03 1.028776e-03
2.511871e-01 1.700000e+01 1.100000e+01 1.185629e-01 8.209266e+00 1.001348e+00 1.675800e+04 2.933573e+00 -3.767669e-03 1.006961e-03
2.754212e-01 1.700000e+01 1.100000e+01 1.072673e-01 8.228705e+00 9.928455e-01 1.580351e+04 2.765888e+00 -7.940948e-03 9.894371e-04
3.019934e-01 1.700000e+01 1.100000e+01 9.714131e-02 8.251105e+00 9.992096e-01 1.515434e+04 2.651741e+00 1.631260e-03 1.004457e-03
3.311291e-01 1.700000e+01 1.100000e+01 8.782977e-02 8.275970e+00 1.025715e+00 1.438449e+04 2.516901e+00 3.242373e-03 1.009941e-03
3.630759e-01 1.700000e+01 1.100000e+01 7.936080e-02 8.304645e+00 9.869000e-01 1.386777e+04 2.426615e+00 4.454970e-03 9.974241e-04
3.981048e-01 1.700000e+01 1.100000e+01 7.154663e-02 8.335590e+00 1.010705e+00 1.334924e+04 2.336124e+00 2.005577e-03 1.016736e-03
4.365132e-01 1.700000e+01 1.100000e+01 6.603952e-02 8.371566e+00 1.013314e+00 1.304606e+04 2.283359e+00 -1.187176e-02 1.029611e-03
4.786272e-01 1.700000e+01 1.100000e+01 6.032316e-02 8.412199e+00 9.905563e-01 1.277722e+04 2.236428e+00 6.726980e-04 1.076698e-03
5.248042e-01 1.700000e+01 1.100000e+01 5.669395e-02 8.457259e+00 9.982551e-01 1.237683e+04 2.166460e+00 -1.154584e-02 1.098633e-03
5.754364e-01 1.700000e+01 1.100000e+01 5.281980e-02 8.507510e+00 1.008229e+00 1.218915e+04 2.133600e+00 2.130389e-03 1.146674e-03
6.309535e-01 1.700000e+01 1.100000e+01 5.119260e-02 8.564497e+00 9.882802e-01 1.195804e+04 2.093223e+00 -2.570152e-03 1.171947e-03
6.918267e-01 1.700000e+01 1.100000e+01 4.875541e-02 8.629142e+00 1.035166e+00 1.196902e+04 2.095199e+00 4.981995e-03 1.195550e-03
7.585729e-01 1.700000e+01 1.100000e+01 4.746892e-02 8.699870e+00 9.928228e-01 1.187429e+04 2.078682e+00 1.333952e-04 1.246691e-03
8.317586e-01 1.700000e+01 1.100000e+01 4.719365e-02 8.780016e+00 1.019754e+00 1.186946e+04 2.077838e+00 -2.124310e-04 1.340628e-03
9.120052e-01 1.700000e+01 1.100000e+01 4.686578e-02 8.870602e+00 1.019673e+00 1.193918e+04 2.090062e+00 -1.585203e-02 1.354098e-03

