#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
5.116758e+02 8.912509e+00 1.039540e+00 9.842728e-01 9.776751e+06 7.780018e+02 -4.776353e-02 2.331734e-04
5.248011e+02 8.912509e+00 9.971470e-01 1.036664e+00 1.119029e+07 8.904964e+02 -2.053720e-02 2.356768e-04
5.382632e+02 8.912509e+00 9.898331e-01 1.029752e+00 1.104931e+07 8.792479e+02 -4.865289e-03 2.188683e-04
5.520706e+02 8.912509e+00 1.038172e+00 1.039100e+00 1.197238e+07 9.527116e+02 -7.423609e-02 2.290010e-04
5.662322e+02 8.912509e+00 1.006293e+00 1.004932e+00 1.100045e+07 8.753907e+02 -1.109332e-01 2.243519e-04
5.807570e+02 8.912509e+00 1.008480e+00 1.031563e+00 1.238342e+07 9.854447e+02 -4.524720e-02 2.179146e-04
5.956544e+02 8.912509e+00 9.631898e-01 9.925829e-01 1.192177e+07 9.486952e+02 -7.961309e-02 2.310276e-04
6.109340e+02 8.912509e+00 1.020559e+00 9.843208e-01 1.142801e+07 9.094142e+02 -7.457793e-03 2.267361e-04
6.266055e+02 8.912509e+00 9.938536e-01 1.049358e+00 1.338889e+07 1.065449e+03 -3.913003e-02 2.130270e-04
6.426790e+02 8.912509e+00 1.006777e+00 9.621439e-01 1.172489e+07 9.330216e+02 -6.023639e-02 2.204180e-04
6.591649e+02 8.912509e+00 1.006584e+00 9.861360e-01 1.280372e+07 1.018874e+03 -3.903604e-02 2.030134e-04
6.760735e+02 8.912509e+00 9.973668e-01 1.013093e+00 1.397176e+07 1.111834e+03 -5.503714e-02 2.079010e-04
6.934160e+02 8.912509e+00 9.199181e-01 1.016870e+00 1.422939e+07 1.132328e+03 -4.638219e-02 2.206564e-04
7.112034e+02 8.912509e+00 9.733238e-01 1.049169e+00 1.557954e+07 1.239785e+03 -5.361295e-02 2.148151e-04
7.294470e+02 8.912509e+00 9.952126e-01 1.038140e+00 1.539905e+07 1.225417e+03 6.999290e-02 2.360344e-04
7.481585e+02 8.912509e+00 1.045517e+00 9.890875e-01 1.511730e+07 1.203010e+03 1.215075e-01 2.026558e-04
7.673501e+02 8.912509e+00 1.020148e+00 9.444167e-01 1.379441e+07 1.097726e+03 -4.421389e-02 2.406836e-04
7.870339e+02 8.912509e+00 1.000240e+00 9.641485e-01 1.473707e+07 1.172741e+03 2.468503e-02 2.336502e-04
8.072227e+02 8.912509e+00 9.884460e-01 9.976398e-01 1.573784e+07 1.252319e+03 3.017175e-02 2.096891e-04
8.279294e+02 8.912509e+00 1.007869e+00 1.005058e+00 1.765351e+07 1.404818e+03 -6.523025e-02 2.148151e-04
8.491672e+02 8.912509e+00 1.001695e+00 1.019097e+00 1.769150e+07 1.407825e+03 -3.089601e-02 2.335310e-04
8.709498e+02 8.912509e+00 1.030399e+00 9.758246e-01 1.688014e+07 1.343287e+03 -6.484962e-02 2.576113e-04
8.932912e+02 8.912509e+00 1.002743e+00 9.864475e-01 1.736477e+07 1.381859e+03 -6.287777e-02 2.231598e-04
9.162057e+02 8.912509e+00 1.031865e+00 9.668968e-01 1.769269e+07 1.407952e+03 -4.403520e-02 2.285242e-04
9.397079e+02 8.912509e+00 1.026769e+00 1.048661e+00 1.994061e+07 1.586810e+03 -4.220700e-02 2.332926e-04
9.638130e+02 8.912509e+00 1.000570e+00 1.050164e+00 2.075802e+07 1.651880e+03 -4.007429e-02 2.105236e-04
9.885366e+02 8.912509e+00 9.608096e-01 1.032435e+00 1.971992e+07 1.569252e+03 -6.473374e-02 2.148151e-04
1.013894e+03 8.912509e+00 9.821649e-01 1.020815e+00 1.998701e+07 1.590556e+03 -3.141624e-02 2.239943e-04
1.039902e+03 8.912509e+00 9.831214e-01 1.047481e+00 2.294789e+07 1.826146e+03 -5.144274e-02 2.220869e-04
1.066578e+03 8.912509e+00 9.665453e-01 1.038487e+00 2.368159e+07 1.884526e+03 -2.207768e-02 2.193451e-04
1.093937e+03 8.912509e+00 9.587430e-01 1.048720e+00 2.289687e+07 1.822043e+03 -7.905328e-02 2.201796e-04

8.912511e+01 9.141131e+00 1.161834e+00 9.938985e-01 1.706398e+06 1.357904e+02 1.879990e-02 2.381802e-04
9.141134e+01 9.141131e+00 1.153120e+00 1.009198e+00 1.763313e+06 1.403345e+02 4.283047e-02 2.313852e-04
9.375623e+01 9.141131e+00 1.145868e+00 1.031107e+00 1.881424e+06 1.497479e+02 1.542389e-02 2.419949e-04
9.616126e+01 9.141131e+00 1.146090e+00 1.006018e+00 1.870921e+06 1.489089e+02 1.691484e-02 2.311468e-04
9.862799e+01 9.141131e+00 1.143129e+00 9.869523e-01 1.865658e+06 1.484400e+02 -2.693039e-02 2.349615e-04
1.011580e+02 9.141131e+00 1.134520e+00 9.811953e-01 1.895653e+06 1.508241e+02 2.040732e-02 2.354383e-04
1.037528e+02 9.141131e+00 1.131256e+00 9.832497e-01 1.952028e+06 1.553454e+02 -9.475529e-03 2.378225e-04
1.064143e+02 9.141131e+00 1.134917e+00 9.745309e-01 2.004366e+06 1.595369e+02 2.050197e-02 2.322197e-04
1.091440e+02 9.141131e+00 1.126620e+00 9.781914e-01 2.101978e+06 1.672798e+02 3.670371e-02 2.375841e-04
1.119437e+02 9.141131e+00 1.127668e+00 9.624754e-01 2.122506e+06 1.688873e+02 3.853381e-02 2.384186e-04
1.148153e+02 9.141131e+00 1.128834e+00 9.907491e-01 2.228902e+06 1.773635e+02 1.363719e-02 2.337694e-04
1.177605e+02 9.141131e+00 1.127031e+00 9.979366e-01 2.280822e+06 1.815108e+02 8.661747e-03 2.404451e-04
1.207813e+02 9.141131e+00 1.120988e+00 9.939891e-01 2.334716e+06 1.857863e+02 1.810241e-02 2.356768e-04
1.238795e+02 9.141131e+00 1.115538e+00 9.922197e-01 2.424916e+06 1.929734e+02 4.316413e-02 2.194643e-04
1.270572e+02 9.141131e+00 1.118610e+00 1.006277e+00 2.600078e+06 2.068941e+02 5.949295e-02 2.264977e-04
1.303165e+02 9.141131e+00 1.109951e+00 9.755208e-01 2.512016e+06 1.998719e+02 5.262375e-02 2.344847e-04
1.336593e+02 9.141131e+00 1.110556e+00 9.725391e-01 2.564935e+06 2.041057e+02 1.872778e-04 2.334118e-04
1.370879e+02 9.141131e+00 1.110957e+00 9.784788e-01 2.651350e+06 2.109710e+02 7.153392e-03 2.346039e-04
1.406044e+02 9.141131e+00 1.101580e+00 9.809440e-01 2.714276e+06 2.160175e+02 3.461230e-02 2.319813e-04
1.442112e+02 9.141131e+00 1.092652e+00 1.019748e+00 2.876780e+06 2.289189e+02 1.024389e-02 2.273321e-04
1.479105e+02 9.141131e+00 1.082199e+00 9.881555e-01 2.815846e+06 2.240790e+02 4.630208e-03 2.254248e-04
1.517046e+02 9.141131e+00 1.081736e+00 9.617344e-01 2.805064e+06 2.232435e+02 8.785009e-03 2.268553e-04
