#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
2.004470e-01 9.141131e+00 1.108008e+00 1.001996e+00 4.441980e+04 3.534831e+00 2.625418e-02 1.510024e-03
2.055888e-01 9.141131e+00 1.092229e+00 9.779329e-01 4.312899e+04 3.461302e+00 -3.867632e-02 1.468539e-03
2.108626e-01 9.141131e+00 1.076391e+00 9.926363e-01 4.199593e+04 3.340025e+00 -1.722211e-02 1.461506e-03
2.162716e-01 9.141131e+00 1.061015e+00 9.824807e-01 4.128985e+04 3.263949e+00 -3.879726e-02 1.489043e-03
2.218194e-01 9.141131e+00 1.046735e+00 9.855210e-01 4.115647e+04 3.255355e+00 -1.612353e-02 1.484513e-03
2.275095e-01 9.141131e+00 1.031026e+00 9.973258e-01 4.020885e+04 3.183099e+00 -1.059997e-02 1.505971e-03
2.333455e-01 9.141131e+00 1.016691e+00 1.016059e+00 4.061011e+04 3.216521e+00 -4.171127e-02 1.546621e-03
2.393312e-01 9.141131e+00 1.002471e+00 9.980027e-01 3.935053e+04 3.145220e+00 -5.085886e-02 1.533508e-03
2.454706e-01 9.141131e+00 9.894758e-01 1.007338e+00 3.987310e+04 3.175141e+00 -2.336776e-02 1.523972e-03
2.517673e-01 9.141131e+00 9.762232e-01 1.011477e+00 3.983693e+04 3.190738e+00 -4.307389e-02 1.585841e-03
2.582256e-01 9.141131e+00 9.630486e-01 1.007794e+00 3.853160e+04 3.090152e+00 -2.826518e-02 1.543999e-03
2.648496e-01 9.141131e+00 9.511163e-01 1.016049e+00 3.877471e+04 3.088242e+00 -9.765327e-03 1.566291e-03
2.716435e-01 9.141131e+00 9.383482e-01 1.020586e+00 3.820751e+04 3.049090e+00 8.123994e-03 1.582742e-03
2.786117e-01 9.141131e+00 9.267422e-01 1.011303e+00 3.726878e+04 2.954870e+00 -9.057522e-03 1.560807e-03
2.857586e-01 9.141131e+00 9.154016e-01 1.002216e+00 3.629733e+04 2.876407e+00 -1.437354e-02 1.543999e-03
