#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=a:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_a:-0.05:1.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
5.248066e-01 8.912509e-01 9.127681e-01 1.012398e+00 2.847029e+04 2.247268e+00 4.209900e-02 1.464128e-03
5.382689e-01 8.912509e-01 9.125578e-01 9.980208e-01 2.742399e+04 2.179309e+00 6.259799e-03 1.458406e-03
5.520766e-01 8.912509e-01 9.131824e-01 1.007379e+00 2.792119e+04 2.216392e+00 1.674747e-02 1.447201e-03
5.662384e-01 8.912509e-01 9.140588e-01 1.004399e+00 2.762134e+04 2.204932e+00 -8.885562e-03 1.458764e-03
5.807635e-01 8.912509e-01 9.147899e-01 1.009183e+00 2.726208e+04 2.149865e+00 -9.873569e-03 1.415610e-03
5.956612e-01 8.912509e-01 9.156953e-01 1.019730e+00 2.812307e+04 2.228806e+00 -4.175484e-03 1.450419e-03
6.109411e-01 8.912509e-01 9.166971e-01 1.026605e+00 2.816826e+04 2.252679e+00 2.196395e-02 1.429677e-03
6.266128e-01 8.912509e-01 9.184715e-01 1.016665e+00 2.815222e+04 2.247108e+00 -1.353461e-02 1.416445e-03
6.426867e-01 8.912509e-01 9.198053e-01 1.030294e+00 2.868753e+04 2.274324e+00 -4.341841e-03 1.464248e-03
6.591728e-01 8.912509e-01 9.213037e-01 1.003682e+00 2.769773e+04 2.188380e+00 -8.193791e-03 1.379490e-03
6.760818e-01 8.912509e-01 9.226466e-01 1.003254e+00 2.744792e+04 2.166417e+00 2.790630e-02 1.375794e-03
6.934246e-01 8.912509e-01 9.247120e-01 1.017524e+00 2.805971e+04 2.236127e+00 4.608870e-03 1.358747e-03
7.112123e-01 8.912509e-01 9.263954e-01 1.020257e+00 2.839762e+04 2.251087e+00 4.116368e-02 1.344562e-03
7.294562e-01 8.912509e-01 9.288455e-01 1.012946e+00 2.816937e+04 2.260955e+00 3.653920e-02 1.331687e-03
7.481682e-01 8.912509e-01 9.314868e-01 1.014336e+00 2.767814e+04 2.208434e+00 -9.587765e-03 1.322508e-03
7.673602e-01 8.912509e-01 9.338049e-01 1.005825e+00 2.734937e+04 2.172465e+00 1.221180e-03 1.261234e-03
7.870444e-01 8.912509e-01 9.363103e-01 9.884600e-01 2.715473e+04 2.171828e+00 1.466167e-02 1.266003e-03
8.072336e-01 8.912509e-01 9.389484e-01 9.810444e-01 2.663723e+04 2.125355e+00 -9.199917e-03 1.252651e-03
8.279407e-01 8.912509e-01 9.420587e-01 9.893997e-01 2.744302e+04 2.178195e+00 -3.648823e-02 1.267433e-03
8.491790e-01 8.912509e-01 9.454826e-01 1.004069e+00 2.812862e+04 2.220848e+00 6.219506e-03 1.224995e-03
8.709621e-01 8.912509e-01 9.480252e-01 1.004111e+00 2.858538e+04 2.284828e+00 -1.405209e-02 1.235008e-03
8.933039e-01 8.912509e-01 9.513854e-01 9.913395e-01 2.832988e+04 2.256817e+00 -3.038579e-02 1.215219e-03
9.162189e-01 8.912509e-01 9.543936e-01 9.934133e-01 2.863774e+04 2.277507e+00 1.667500e-03 1.200676e-03
9.397216e-01 8.912509e-01 9.574756e-01 9.961092e-01 2.875932e+04 2.302972e+00 -2.969265e-03 1.167774e-03
9.638273e-01 8.912509e-01 9.613050e-01 1.006063e+00 2.872099e+04 2.281964e+00 -2.644122e-03 1.142740e-03
9.885514e-01 8.912509e-01 9.643416e-01 9.958414e-01 2.852367e+04 2.260000e+00 -1.547611e-02 1.109958e-03
1.013910e+00 8.912509e-01 9.677728e-01 9.940338e-01 2.839243e+04 2.283237e+00 -3.750157e-02 1.086473e-03
1.039918e+00 8.912509e-01 9.709685e-01 1.004520e+00 2.920326e+04 2.321434e+00 -1.095057e-02 1.116276e-03
1.066594e+00 8.912509e-01 9.743259e-01 1.011887e+00 2.961917e+04 2.352628e+00 -1.286203e-02 1.107216e-03
1.093954e+00 8.912509e-01 9.779406e-01 1.015931e+00 3.004242e+04 2.381276e+00 -7.640660e-03 1.077175e-03

8.912510e-02 9.141132e-01 1.033479e+00 9.910917e-01 7.519616e+04 5.996640e+00 -2.162939e-02 2.514005e-03
9.141134e-02 9.141132e-01 1.020374e+00 9.965633e-01 7.467387e+04 5.952713e+00 1.238763e-02 2.528310e-03
9.375623e-02 9.141132e-01 1.009709e+00 9.849603e-01 7.030784e+04 5.612122e+00 -1.148570e-02 2.422214e-03
9.616126e-02 9.141132e-01 9.986604e-01 9.828917e-01 6.839871e+04 5.437051e+00 3.437996e-04 2.414942e-03
9.862799e-02 9.141132e-01 9.896900e-01 1.000044e+00 6.769888e+04 5.379755e+00 -2.330601e-03 2.385020e-03
1.011580e-01 9.141132e-01 9.802583e-01 9.914192e-01 6.683793e+04 5.362566e+00 -1.727080e-02 2.462268e-03
1.037529e-01 9.141132e-01 9.726517e-01 1.015108e+00 6.580477e+04 5.235561e+00 -1.524150e-02 2.462506e-03
1.064143e-01 9.141132e-01 9.657345e-01 1.007553e+00 6.365254e+04 5.077679e+00 -2.261996e-04 2.434254e-03
1.091441e-01 9.141132e-01 9.607457e-01 1.007493e+00 6.071912e+04 4.843403e+00 -1.755053e-02 2.382159e-03
1.119438e-01 9.141132e-01 9.566739e-01 9.999195e-01 5.920323e+04 4.699209e+00 -9.439349e-03 2.354860e-03
1.148154e-01 9.141132e-01 9.546255e-01 1.011509e+00 5.815207e+04 4.631727e+00 2.694845e-02 2.335787e-03
1.177606e-01 9.141132e-01 9.534192e-01 9.822695e-01 5.388584e+04 4.298457e+00 2.245367e-02 2.208829e-03
1.207814e-01 9.141132e-01 9.536844e-01 9.999785e-01 5.461019e+04 4.354161e+00 3.724682e-02 2.255678e-03
1.238797e-01 9.141132e-01 9.555944e-01 9.897542e-01 5.289166e+04 4.236386e+00 5.230176e-02 2.177477e-03
1.270574e-01 9.141132e-01 9.592102e-01 9.976298e-01 5.144179e+04 4.113200e+00 4.001057e-02 2.139330e-03
1.303167e-01 9.141132e-01 9.639059e-01 1.009200e+00 5.155938e+04 4.096966e+00 3.030598e-02 2.124310e-03
1.336595e-01 9.141132e-01 9.702993e-01 1.005790e+00 5.016209e+04 3.985558e+00 1.601684e-02 2.093792e-03
1.370881e-01 9.141132e-01 9.784445e-01 1.005789e+00 4.914205e+04 3.929535e+00 1.676798e-03 2.053499e-03
1.406047e-01 9.141132e-01 9.891450e-01 1.011412e+00 4.845795e+04 3.830859e+00 1.470673e-02 1.991630e-03
1.442115e-01 9.141132e-01 1.000354e+00 1.009825e+00 4.772904e+04 3.794890e+00 2.591419e-02 1.963973e-03
1.479108e-01 9.141132e-01 1.012209e+00 1.000741e+00 4.692693e+04 3.733457e+00 4.499233e-02 1.882553e-03
1.517050e-01 9.141132e-01 1.025385e+00 1.001152e+00 4.518177e+04 3.574301e+00 2.102768e-02 1.822472e-03
1.555965e-01 9.141132e-01 1.037693e+00 1.013880e+00 4.662511e+04 3.709583e+00 7.293868e-02 1.840234e-03
1.595878e-01 9.141132e-01 1.050646e+00 1.006142e+00 4.505066e+04 3.558704e+00 3.241932e-02 1.794577e-03
1.636816e-01 9.141132e-01 1.062695e+00 1.001713e+00 4.496268e+04 3.572073e+00 5.296457e-02 1.777172e-03
1.678803e-01 9.141132e-01 1.073543e+00 9.988058e-01 4.374521e+04 3.487403e+00 1.672244e-02 1.747727e-03
1.721867e-01 9.141132e-01 1.081989e+00 9.799535e-01 4.203139e+04 3.323473e+00 8.218169e-03 1.666188e-03
1.766036e-01 9.141132e-01 1.087391e+00 9.839754e-01 4.144260e+04 3.334933e+00 1.408708e-02 1.698256e-03
1.811339e-01 9.141132e-01 1.087624e+00 9.917697e-01 4.125334e+04 3.313287e+00 -1.420993e-02 1.686215e-03
1.857803e-01 9.141132e-01 1.083185e+00 9.961087e-01 3.995401e+04 3.200288e+00 1.148653e-02 1.668215e-03
1.905459e-01 9.141132e-01 1.076511e+00 9.976115e-01 4.052646e+04 3.217794e+00 -1.154864e-02 1.687288e-03
1.954338e-01 9.141132e-01 1.067085e+00 9.998549e-01 3.946448e+04 3.153496e+00 -1.034039e-02 1.646757e-03
2.004470e-01 9.141132e-01 1.058466e+00 9.989909e-01 3.893076e+04 3.119755e+00 -9.543419e-03 1.649499e-03
2.055888e-01 9.141132e-01 1.048951e+00 9.979637e-01 3.807246e+04 3.037313e+00 -2.265751e-02 1.608491e-03
2.108626e-01 9.141132e-01 1.041163e+00 9.897699e-01 3.678700e+04 2.915719e+00 -1.947099e-02 1.616240e-03
2.162716e-01 9.141132e-01 1.032168e+00 1.015746e+00 3.782149e+04 3.008347e+00 -1.762593e-02 1.646161e-03
2.218194e-01 9.141132e-01 1.025306e+00 9.933110e-01 3.639851e+04 2.889299e+00 1.420069e-02 1.634836e-03
2.275095e-01 9.141132e-01 1.017686e+00 1.001286e+00 3.623185e+04 2.882614e+00 -2.932841e-02 1.643419e-03
2.333455e-01 9.141132e-01 1.010516e+00 9.811486e-01 3.465038e+04 2.762293e+00 -4.043162e-02 1.617789e-03
2.393312e-01 9.141132e-01 1.003927e+00 1.012750e+00 3.614597e+04 2.885479e+00 -3.637934e-02 1.612544e-03
2.454706e-01 9.141132e-01 9.982172e-01 1.010064e+00 3.571686e+04 2.837733e+00 -6.485844e-02 1.603842e-03
2.517673e-01 9.141132e-01 9.920007e-01 1.018886e+00 3.490157e+04 2.791259e+00 -3.967953e-02 1.611948e-03
2.582256e-01 9.141132e-01 9.863877e-01 1.013524e+00 3.437943e+04 2.702451e+00 -4.244393e-02 1.611829e-03
2.648496e-01 9.141132e-01 9.801869e-01 1.016784e+00 3.463484e+04 2.765158e+00 -3.385442e-02 1.644850e-03
2.716435e-01 9.141132e-01 9.750445e-01 9.956103e-01 3.370121e+04 2.684625e+00 -1.651061e-02 1.571894e-03
2.786117e-01 9.141132e-01 9.699975e-01 9.939610e-01 3.295597e+04 2.657569e+00 6.188393e-03 1.557827e-03
2.857586e-01 9.141132e-01 9.649029e-01 1.015222e+00 3.363121e+04 2.698949e+00 -9.786487e-03 1.589060e-03
2.930888e-01 9.141132e-01 9.604464e-01 1.005104e+00 3.272581e+04 2.601865e+00 -6.470799e-03 1.563787e-03
3.006071e-01 9.141132e-01 9.556942e-01 1.020563e+00 3.255816e+04 2.574809e+00 -1.988101e-02 1.595974e-03
3.083182e-01 9.141132e-01 9.519557e-01 1.008076e+00 3.227483e+04 2.565578e+00 4.830360e-03 1.585245e-03
3.162272e-01 9.141132e-01 9.476888e-01 9.961851e-01 3.166056e+04 2.515285e+00 3.902900e-02 1.522660e-03
3.243390e-01 9.141132e-01 9.440551e-01 1.004230e+00 3.129096e+04 2.501279e+00 1.613688e-02 1.566768e-03
3.326589e-01 9.141132e-01 9.402829e-01 9.927450e-01 3.024311e+04 2.415017e+00 2.678943e-02 1.540661e-03
3.411923e-01 9.141132e-01 9.370839e-01 1.004226e+00 3.003295e+04 2.399738e+00 -7.245183e-03 1.548290e-03
3.499445e-01 9.141132e-01 9.343294e-01 1.006043e+00 3.019582e+04 2.382231e+00 4.749894e-02 1.564860e-03
3.589213e-01 9.141132e-01 9.313321e-01 1.007047e+00 3.000449e+04 2.396873e+00 3.763890e-02 1.546264e-03
3.681283e-01 9.141132e-01 9.284219e-01 9.969770e-01 2.959508e+04 2.373318e+00 5.064130e-02 1.542807e-03
3.775715e-01 9.141132e-01 9.265532e-01 1.002552e+00 2.918206e+04 2.329073e+00 4.303527e-02 1.560807e-03
3.872570e-01 9.141132e-01 9.242007e-01 1.001023e+00 2.883353e+04 2.285465e+00 1.676035e-02 1.560807e-03
3.971908e-01 9.141132e-01 9.218403e-01 1.012339e+00 2.955793e+04 2.351673e+00 3.891349e-03 1.570821e-03
4.073796e-01 9.141132e-01 9.195346e-01 1.003687e+00 2.903864e+04 2.310930e+00 -4.781663e-03 1.547694e-03
4.178296e-01 9.141132e-01 9.178061e-01 1.017119e+00 2.933833e+04 2.327641e+00 -1.685959e-02 1.577854e-03
4.285478e-01 9.141132e-01 9.158672e-01 1.013026e+00 2.906475e+04 2.312680e+00 1.286268e-04 1.579762e-03
4.395409e-01 9.141132e-01 9.147102e-01 1.022793e+00 2.931427e+04 2.330347e+00 4.460347e-02 1.559973e-03
4.508159e-01 9.141132e-01 9.138150e-01 1.025500e+00 2.899489e+04 2.286102e+00 1.810014e-02 1.570582e-03
4.623803e-01 9.141132e-01 9.129606e-01 1.014515e+00 2.870885e+04 2.275438e+00 5.679119e-02 1.537323e-03
4.742412e-01 9.141132e-01 9.120243e-01 1.012294e+00 2.865897e+04 2.277348e+00 4.029560e-02 1.551867e-03
4.864064e-01 9.141132e-01 9.106136e-01 1.013694e+00 2.854139e+04 2.264934e+00 1.121652e-02 1.568079e-03
4.988837e-01 9.141132e-01 9.109504e-01 1.020423e+00 2.968393e+04 2.348172e+00 -1.837313e-03 1.551867e-03
5.116810e-01 9.141132e-01 9.106402e-01 1.040590e+00 3.030326e+04 2.395600e+00 3.971386e-02 1.549959e-03
5.248066e-01 9.141132e-01 9.110041e-01 1.023006e+00 2.861736e+04 2.264457e+00 -1.049566e-02 1.514673e-03
5.382689e-01 9.141132e-01 9.104483e-01 1.012712e+00 2.793896e+04 2.204932e+00 -3.652275e-03 1.445413e-03
5.520766e-01 9.141132e-01 9.107770e-01 9.957247e-01 2.728442e+04 2.173738e+00 1.636016e-02 1.455307e-03
5.662384e-01 9.141132e-01 9.117595e-01 9.959421e-01 2.740821e+04 2.186152e+00 1.868725e-03 1.420259e-03
5.807635e-01 9.141132e-01 9.126194e-01 1.007506e+00 2.782626e+04 2.204455e+00 -9.920180e-03 1.438856e-03
5.956612e-01 9.141132e-01 9.138228e-01 1.027758e+00 2.857049e+04 2.263024e+00 -3.173190e-02 1.468062e-03
6.109411e-01 9.141132e-01 9.149300e-01 1.026091e+00 2.829173e+04 2.263661e+00 1.606941e-03 1.425982e-03
6.266128e-01 9.141132e-01 9.158219e-01 1.011095e+00 2.792636e+04 2.208275e+00 2.142680e-02 1.425266e-03
6.426867e-01 9.141132e-01 9.174642e-01 1.025496e+00 2.861108e+04 2.269390e+00 -1.021504e-03 1.445055e-03
6.591728e-01 9.141132e-01 9.188188e-01 1.019382e+00 2.817679e+04 2.240742e+00 -1.003635e-02 1.379967e-03
6.760818e-01 9.141132e-01 9.200268e-01 9.972460e-01 2.754603e+04 2.194746e+00 -7.094026e-03 1.385450e-03
6.934246e-01 9.141132e-01 9.230458e-01 1.004842e+00 2.789846e+04 2.221485e+00 8.391023e-03 1.348376e-03
7.112123e-01 9.141132e-01 9.242648e-01 1.016180e+00 2.846389e+04 2.252042e+00 1.979232e-03 1.359701e-03
7.294562e-01 9.141132e-01 9.270971e-01 1.028893e+00 2.857890e+04 2.280054e+00 3.421891e-02 1.358628e-03
7.481682e-01 9.141132e-01 9.297829e-01 1.013706e+00 2.794994e+04 2.232307e+00 8.926511e-03 1.307726e-03
7.673602e-01 9.141132e-01 9.321773e-01 9.910897e-01 2.729415e+04 2.156231e+00 2.013242e-02 1.287103e-03
7.870444e-01 9.141132e-01 9.345901e-01 9.940239e-01 2.754927e+04 2.189654e+00 -1.209003e-02 1.259685e-03
8.072336e-01 9.141132e-01 9.375532e-01 9.945526e-01 2.751993e+04 2.190609e+00 -2.430999e-02 1.263499e-03
8.279407e-01 9.141132e-01 9.406556e-01 1.000914e+00 2.750786e+04 2.204296e+00 -5.531609e-03 1.275182e-03
8.491790e-01 9.141132e-01 9.439457e-01 1.013525e+00 2.848902e+04 2.268276e+00 -5.090117e-03 1.251101e-03
8.709621e-01 9.141132e-01 9.459210e-01 1.001383e+00 2.892585e+04 2.312521e+00 -6.269693e-03 1.241088e-03
8.933039e-01 9.141132e-01 9.497650e-01 1.003662e+00 2.895018e+04 2.295332e+00 -2.087075e-02 1.222134e-03
9.162189e-01 9.141132e-01 9.530199e-01 9.974973e-01 2.836647e+04 2.266685e+00 4.019308e-02 1.197338e-03
9.397216e-01 9.141132e-01 9.561369e-01 9.965521e-01 2.872897e+04 2.302017e+00 8.757710e-03 1.145840e-03
9.638273e-01 9.141132e-01 9.594473e-01 1.014371e+00 2.902812e+04 2.300107e+00 -1.319921e-02 1.162410e-03
9.885514e-01 9.141132e-01 9.629680e-01 1.003572e+00 2.882743e+04 2.305518e+00 -1.596934e-02 1.135707e-03
1.013910e+00 9.141132e-01 9.664620e-01 9.927266e-01 2.910829e+04 2.309975e+00 -2.871859e-02 1.101494e-03
1.039918e+00 9.141132e-01 9.703567e-01 1.009925e+00 2.962243e+04 2.382231e+00 -2.963680e-02 1.128674e-03
1.066594e+00 9.141132e-01 9.737607e-01 1.027972e+00 3.031388e+04 2.439209e+00 -9.507418e-03 1.112700e-03
1.093954e+00 9.141132e-01 9.767700e-01 9.959089e-01 2.919226e+04 2.321115e+00 2.559543e-03 1.050830e-03

8.912510e-02 9.375620e-01 1.034479e+00 9.946291e-01 7.636991e+04 6.085448e+00 3.111577e-02 2.547264e-03
9.141134e-02 9.375620e-01 1.021389e+00 1.001905e+00 7.413068e+04 5.905285e+00 1.478696e-02 2.515316e-03
