#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:0.95:2.05:100:1 --domainy=a:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:0.95:2.05:100:1_a:-0.05:1.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
2.454716e+01 9.141132e-01 1.005873e+00 9.958856e-01 4.800431e+05 3.820451e+01 -4.055101e-02 2.608299e-04
2.517684e+01 9.141132e-01 1.006029e+00 9.808607e-01 4.883991e+05 3.885959e+01 -2.381152e-02 2.551079e-04
2.582268e+01 9.141132e-01 1.005483e+00 1.005454e+00 5.089924e+05 4.052435e+01 -4.912555e-03 2.523661e-04
2.648508e+01 9.141132e-01 1.005967e+00 9.889647e-01 5.170942e+05 4.115365e+01 -2.933836e-02 2.563000e-04
2.716448e+01 9.141132e-01 1.005519e+00 1.008641e+00 5.324099e+05 4.236895e+01 3.376102e-02 2.636909e-04
2.786130e+01 9.141132e-01 1.004169e+00 9.767729e-01 5.312332e+05 4.227187e+01 2.207899e-02 2.578497e-04
2.857600e+01 9.141132e-01 1.004843e+00 9.933021e-01 5.474339e+05 4.355943e+01 6.250739e-03 2.609491e-04
2.930903e+01 9.141132e-01 1.005799e+00 9.915393e-01 5.691161e+05 4.528340e+01 4.173517e-03 2.582073e-04
3.006087e+01 9.141132e-01 1.005346e+00 1.001004e+00 5.975296e+05 4.754594e+01 -2.386314e-02 2.642870e-04
3.083199e+01 9.141132e-01 1.006060e+00 9.942324e-01 6.059688e+05 4.820135e+01 -2.711391e-02 2.732277e-04
3.162289e+01 9.141132e-01 1.004720e+00 9.988029e-01 6.230572e+05 4.959077e+01 -1.761007e-02 2.700090e-04
3.243408e+01 9.141132e-01 1.003844e+00 9.910809e-01 6.302238e+05 5.015099e+01 -6.022358e-02 2.547503e-04
3.326608e+01 9.141132e-01 1.004289e+00 9.754590e-01 6.478437e+05 5.154742e+01 -6.357306e-02 2.593994e-04
3.411942e+01 9.141132e-01 1.005846e+00 9.901549e-01 6.859817e+05 5.459205e+01 -4.769433e-02 2.557039e-04
3.499465e+01 9.141132e-01 1.006711e+00 9.863135e-01 6.850498e+05 5.450802e+01 -2.251077e-02 2.423525e-04
3.589234e+01 9.141132e-01 1.003279e+00 9.940959e-01 7.043351e+05 5.604514e+01 -3.350770e-02 2.440214e-04
