#m=1, g=1, tau=10^linspace(-3,1,401), M=16, N=1, alpha=3, t = 10^linspace(-6, 2, 1001), b=10, t0=0.01
#tau white_noise eff_mass Markovian_emb
3.715352e-02 2.645992e-02 5.185374e-03 3.378368e-03
3.801894e-02 2.705947e-02 5.389960e-03 3.503246e-03
3.890451e-02 2.767261e-02 5.602817e-03 3.632417e-03
3.981072e-02 2.829958e-02 5.823916e-03 3.766256e-03
4.073803e-02 2.894036e-02 6.053575e-03 3.904720e-03
4.168694e-02 2.959525e-02 6.292319e-03 4.048439e-03
4.265795e-02 3.026453e-02 6.540288e-03 4.197024e-03
4.365158e-02 3.094851e-02 6.797799e-03 4.350845e-03
4.466836e-02 3.164748e-02 7.065690e-03 4.510021e-03
4.570882e-02 3.236176e-02 7.343983e-03 4.675124e-03
4.677351e-02 3.309166e-02 7.632984e-03 4.845821e-03
4.786301e-02 3.383750e-02 7.933363e-03 5.022654e-03
4.897788e-02 3.460019e-02 8.245352e-03 5.205853e-03
5.011872e-02 3.538096e-02 8.569332e-03 5.395646e-03
5.128614e-02 3.617879e-02 8.906358e-03 5.591949e-03
5.248075e-02 3.699402e-02 9.256488e-03 5.794821e-03
5.370318e-02 3.782702e-02 9.620079e-03 6.005258e-03
5.495409e-02 3.867814e-02 9.997983e-03 6.222836e-03
5.623413e-02 3.954775e-02 1.039049e-02 6.448024e-03
5.754399e-02 4.043621e-02 1.079808e-02 6.680555e-03
5.888437e-02 4.134392e-02 1.122211e-02 6.922333e-03
6.025596e-02 4.227150e-02 1.166263e-02 7.171873e-03
6.165950e-02 4.322028e-02 1.212009e-02 7.430005e-03
6.309573e-02 4.418957e-02 1.259561e-02 7.696983e-03
6.456542e-02 4.517977e-02 1.308975e-02 7.973607e-03
6.606934e-02 4.619129e-02 1.360290e-02 8.259451e-03
6.760830e-02 4.722455e-02 1.413681e-02 8.554507e-03
6.918310e-02 4.827999e-02 1.469153e-02 8.861049e-03
7.079458e-02 4.935802e-02 1.526760e-02 9.177777e-03
7.244360e-02 5.045910e-02 1.586644e-02 9.505472e-03
7.413102e-02 5.158736e-02 1.648848e-02 9.843960e-03
7.585776e-02 5.273999e-02 1.713447e-02 1.019486e-02
7.762471e-02 5.391726e-02 1.780672e-02 1.055720e-02
7.943282e-02 5.511967e-02 1.850520e-02 1.093098e-02
8.128305e-02 5.634770e-02 1.923063e-02 1.131904e-02
8.317638e-02 5.760183e-02 1.998485e-02 1.171961e-02
8.511380e-02 5.888257e-02 2.076835e-02 1.213381e-02
8.709636e-02 6.019151e-02 2.158211e-02 1.256196e-02
8.912509e-02 6.152961e-02 2.242911e-02 1.300510e-02
9.120108e-02 6.289602e-02 2.330928e-02 1.346278e-02
9.332543e-02 6.429126e-02 2.422353e-02 1.393444e-02
9.549926e-02 6.571587e-02 2.517422e-02 1.442456e-02
9.772372e-02 6.717041e-02 2.616199e-02 1.492963e-02
1.000000e-01 6.865542e-02 2.718810e-02 1.545169e-02
1.023293e-01 7.017473e-02 2.825629e-02 1.599313e-02
1.047129e-01 7.172919e-02 2.936660e-02 1.655158e-02
1.071519e-01 7.331623e-02 3.052015e-02 1.712855e-02
1.096478e-01 7.493646e-02 3.171987e-02 1.772468e-02
1.122018e-01 7.659047e-02 3.296678e-02 1.834118e-02
1.148154e-01 7.827889e-02 3.426238e-02 1.897769e-02
1.174898e-01 8.000255e-02 3.561122e-02 1.963405e-02
1.202264e-01 8.176582e-02 3.701394e-02 2.031551e-02
1.230269e-01 8.356560e-02 3.847178e-02 2.101786e-02
1.258925e-01 8.540255e-02 3.998830e-02 2.174054e-02
1.288250e-01 8.727732e-02 4.156519e-02 2.249245e-02
1.318257e-01 8.919057e-02 4.320419e-02 2.326614e-02
1.348963e-01 9.114331e-02 4.491036e-02 2.406310e-02
1.380384e-01 9.314598e-02 4.668613e-02 2.489014e-02
1.412538e-01 9.518976e-02 4.853224e-02 2.574430e-02
1.445440e-01 9.727536e-02 5.045267e-02 2.662522e-02
1.479108e-01 9.940348e-02 5.245100e-02 2.753717e-02
1.513561e-01 1.015748e-01 5.452890e-02 2.847760e-02
1.548817e-01 1.037925e-01 5.669108e-02 2.944841e-02
1.584893e-01 1.060591e-01 5.894434e-02 3.045108e-02
1.621810e-01 1.083715e-01 6.128798e-02 3.148654e-02
1.659587e-01 1.107304e-01 6.372582e-02 3.255659e-02
1.698244e-01 1.131366e-01 6.626520e-02 3.366037e-02
1.737801e-01 1.155912e-01 6.890712e-02 3.480240e-02
1.778279e-01 1.181099e-01 7.165593e-02 3.597995e-02
1.819701e-01 1.206791e-01 7.452170e-02 3.719301e-02
1.862087e-01 1.232996e-01 7.750642e-02 3.845008e-02
1.905461e-01 1.259721e-01 8.061300e-02 3.974495e-02
1.949845e-01 1.286975e-01 8.384814e-02 4.108162e-02
1.995262e-01 1.314855e-01 8.721907e-02 4.246981e-02
2.041738e-01 1.343289e-01 9.072883e-02 4.389883e-02
2.089296e-01 1.372282e-01 9.438356e-02 4.536876e-02
2.137962e-01 1.401840e-01 9.819791e-02 4.689631e-02
2.187762e-01 1.432002e-01 1.021733e-01 4.846753e-02
2.238721e-01 1.462943e-01 1.063149e-01 5.008360e-02
2.290868e-01 1.494488e-01 1.106311e-01 5.176718e-02
2.344229e-01 1.526645e-01 1.151333e-01 5.349794e-02
2.398833e-01 1.559422e-01 1.198258e-01 5.527608e-02
2.454709e-01 1.592897e-01 1.247173e-01 5.712716e-02
2.511886e-01 1.627076e-01 1.298212e-01 5.902877e-02
2.570396e-01 1.661909e-01 1.351514e-01 6.098516e-02
2.630268e-01 1.697402e-01 1.407106e-01 6.302992e-02
2.691535e-01 1.733602e-01 1.465097e-01 6.513027e-02
2.754229e-01 1.770756e-01 1.525613e-01 6.728668e-02
2.818383e-01 1.808614e-01 1.588818e-01 6.953365e-02
2.884032e-01 1.847184e-01 1.654787e-01 7.184105e-02
2.951209e-01 1.886474e-01 1.723656e-01 7.421605e-02
3.019952e-01 1.926654e-01 1.795566e-01 7.669091e-02
3.090295e-01 1.967600e-01 1.870744e-01 7.923044e-02
3.162278e-01 2.009302e-01 1.949343e-01 8.183524e-02
3.235937e-01 2.051766e-01 2.031468e-01 8.455864e-02
3.311311e-01 2.095343e-01 2.117297e-01 8.736543e-02
3.388442e-01 2.139795e-01 2.207017e-01 9.024496e-02
3.467369e-01 2.185058e-01 2.300829e-01 9.324289e-02
3.548134e-01 2.231138e-01 2.399081e-01 9.632225e-02
3.630781e-01 2.278258e-01 2.501922e-01 9.949045e-02
3.715352e-01 2.326249e-01 2.609547e-01 1.027856e-01
3.801894e-01 2.375093e-01 2.722207e-01 1.061620e-01
3.890451e-01 2.424852e-01 2.840172e-01 1.096488e-01
3.981072e-01 2.475976e-01 2.963728e-01 1.132892e-01
4.073803e-01 2.528005e-01 3.093178e-01 1.170195e-01
4.168694e-01 2.580945e-01 3.228843e-01 1.208474e-01
4.265795e-01 2.634933e-01 3.371065e-01 1.248404e-01
4.365158e-01 2.690033e-01 3.520209e-01 1.289285e-01
4.466836e-01 2.746079e-01 3.676659e-01 1.331183e-01
4.570882e-01 2.803077e-01 3.840948e-01 1.375247e-01
4.677351e-01 2.861639e-01 4.013438e-01 1.420357e-01
4.786301e-01 2.921295e-01 4.194564e-01 1.466581e-01
4.897788e-01 2.981956e-01 4.384821e-01 1.514735e-01
5.011872e-01 3.043782e-01 4.584729e-01 1.563985e-01
5.128614e-01 3.106871e-01 4.794845e-01 1.614696e-01
5.248075e-01 3.170998e-01 5.015752e-01 1.667727e-01
5.370318e-01 3.236191e-01 5.248145e-01 1.721924e-01
5.495409e-01 3.303296e-01 5.493393e-01 1.777778e-01
5.623413e-01 3.371495e-01 5.751533e-01 1.835398e-01
5.754399e-01 3.440788e-01 6.023297e-01 1.894428e-01
5.888437e-01 3.511546e-01 6.310351e-01 1.956096e-01
6.025596e-01 3.583552e-01 6.612914e-01 2.019326e-01
