#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:0.95:2.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
3.499420e+02 8.912509e+00 1.012825e+00 1.004303e+00 1.979454e+07 1.575183e+03 2.738237e-02 4.298687e-04
3.589186e+02 8.912509e+00 1.007273e+00 1.030808e+00 2.141088e+07 1.703849e+03 7.111430e-03 4.702806e-04
3.681255e+02 8.912509e+00 1.028919e+00 1.006175e+00 2.155017e+07 1.714907e+03 3.658533e-03 4.562140e-04
3.775686e+02 8.912509e+00 1.082646e+00 1.021363e+00 2.203539e+07 1.753533e+03 -4.081374e-02 4.297495e-04
3.872539e+02 8.912509e+00 1.027994e+00 9.652480e-01 1.980020e+07 1.575648e+03 -1.163489e-02 4.583597e-04
3.971876e+02 8.912509e+00 1.033602e+00 9.844210e-01 2.177028e+07 1.732436e+03 4.655635e-02 4.354715e-04
4.073762e+02 8.912509e+00 1.015977e+00 9.985878e-01 2.356164e+07 1.874965e+03 -2.629972e-02 4.276037e-04
4.178260e+02 8.912509e+00 1.002489e+00 1.036989e+00 2.591447e+07 2.062183e+03 -6.023967e-02 4.472733e-04
4.285440e+02 8.912509e+00 1.051748e+00 1.041079e+00 2.678201e+07 2.131253e+03 -4.506934e-02 4.720688e-04
4.395369e+02 8.912509e+00 9.720345e-01 1.003724e+00 2.489486e+07 1.981073e+03 -9.556627e-02 4.603863e-04
4.508118e+02 8.912509e+00 1.034728e+00 9.430971e-01 2.313833e+07 1.841262e+03 1.467586e-03 4.202127e-04
4.623759e+02 8.912509e+00 1.041029e+00 1.044832e+00 2.890283e+07 2.300021e+03 -1.834381e-02 4.501343e-04
4.742366e+02 8.912509e+00 1.019504e+00 9.920455e-01 2.694824e+07 2.144471e+03 -1.188689e-02 4.417896e-04
4.864016e+02 8.912509e+00 1.007770e+00 9.715024e-01 2.757284e+07 2.194201e+03 2.995086e-02 4.546642e-04
4.988787e+02 8.912509e+00 9.905455e-01 9.637454e-01 2.589591e+07 2.060754e+03 -9.943545e-03 4.239082e-04
5.116758e+02 8.912509e+00 9.599575e-01 9.679466e-01 2.769812e+07 2.204149e+03 5.755198e-02 4.109144e-04
5.248011e+02 8.912509e+00 9.838071e-01 9.836761e-01 2.942993e+07 2.341964e+03 -2.264184e-02 4.403591e-04
5.382632e+02 8.912509e+00 9.524308e-01 1.034056e+00 3.096811e+07 2.464350e+03 -1.007103e-01 4.395247e-04
5.520706e+02 8.912509e+00 9.260444e-01 9.919131e-01 3.179726e+07 2.530359e+03 -2.294499e-02 4.248619e-04
5.662322e+02 8.912509e+00 9.200543e-01 9.603266e-01 2.977392e+07 2.369318e+03 -1.916516e-02 4.312992e-04
5.807570e+02 8.912509e+00 9.935178e-01 9.911376e-01 3.200000e+07 2.546460e+03 -1.771986e-02 4.425049e-04
5.956544e+02 8.912509e+00 1.057218e+00 1.011631e+00 3.278187e+07 2.608703e+03 -3.179336e-02 4.546642e-04
