#./underdamped_3d --dev=0 --amp=4.818 --omega=4.028 --force=0.01925 --gam=0.1 --Dg=0 --block=1024 --paths=262144 --periods=250000 --trans=249750 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=a:4.818:4.818:1:0 --domainy=w:4.028:4.028:1:0 --domainz=g:0.005:0.0325:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-gaw-f0.01925-D0-a4.818-w4.028-spp200-part0.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.737500e-02 4.818000e+00 4.028000e+00 -1.003752e+00 7.331389e+00 2.046379e+00 8.030177e+11 1.029647e+06 -4.240442e-01 -3.632307e-04
1.765000e-02 4.818000e+00 4.028000e+00 -9.805431e-01 7.331741e+00 2.044481e+00 8.112569e+11 1.040045e+06 -4.372358e-01 -4.263520e-04
1.792501e-02 4.818000e+00 4.028000e+00 -9.578484e-01 7.332036e+00 2.071174e+00 8.198938e+11 1.051330e+06 -4.492641e-01 -4.651546e-04
1.820001e-02 4.818000e+00 4.028000e+00 -9.361528e-01 7.332394e+00 2.013953e+00 8.283178e+11 1.061914e+06 -4.606603e-01 -5.404949e-04
1.847501e-02 4.818000e+00 4.028000e+00 -8.266209e-01 7.333415e+00 2.033038e+00 8.585635e+11 1.100908e+06 -5.111355e-01 -5.584955e-04
1.875001e-02 4.818000e+00 4.028000e+00 -7.698587e-01 7.334232e+00 1.958644e+00 8.733010e+11 1.119656e+06 -5.338650e-01 -6.444454e-04
1.902501e-02 4.818000e+00 4.028000e+00 -6.377863e-01 7.335819e+00 2.029211e+00 9.028026e+11 1.157573e+06 -5.781751e-01 -7.330179e-04
1.930001e-02 4.818000e+00 4.028000e+00 -5.844347e-01 7.336376e+00 2.010136e+00 9.138356e+11 1.171547e+06 -5.932117e-01 -8.001924e-04
1.957501e-02 4.818000e+00 4.028000e+00 -5.119103e-01 7.336895e+00 2.044469e+00 9.264893e+11 1.187905e+06 -6.108423e-01 -8.793473e-04
1.985001e-02 4.818000e+00 4.028000e+00 -4.409337e-01 7.337607e+00 1.928137e+00 9.376684e+11 1.202389e+06 -6.255656e-01 -8.446574e-04
2.012501e-02 4.818000e+00 4.028000e+00 -3.456303e-01 7.338673e+00 2.105521e+00 9.494953e+11 1.217373e+06 -6.416097e-01 -8.131266e-04
2.040001e-02 4.818000e+00 4.028000e+00 -2.932874e-01 7.339057e+00 2.111217e+00 9.555022e+11 1.224877e+06 -6.487370e-01 -8.580089e-04
2.067501e-02 4.818000e+00 4.028000e+00 -1.575988e-01 7.340086e+00 1.905248e+00 9.652892e+11 1.237910e+06 -6.611392e-01 -9.015203e-04
2.095002e-02 4.818000e+00 4.028000e+00 -3.357304e-02 7.340262e+00 2.183694e+00 9.698063e+11 1.243433e+06 -6.661291e-01 -8.727908e-04
2.122502e-02 4.818000e+00 4.028000e+00 9.994564e-02 7.341115e+00 2.145549e+00 9.694413e+11 1.242891e+06 -6.643164e-01 -9.278655e-04
2.150002e-02 4.818000e+00 4.028000e+00 1.797107e-01 7.343199e+00 2.025412e+00 9.669161e+11 1.239962e+06 -6.597127e-01 -1.055837e-03
2.177502e-02 4.818000e+00 4.028000e+00 2.882232e-01 7.344409e+00 2.130280e+00 9.605767e+11 1.231328e+06 -6.494696e-01 -1.052201e-03
2.205002e-02 4.818000e+00 4.028000e+00 3.909561e-01 7.345739e+00 2.034932e+00 9.507309e+11 1.218746e+06 -6.348712e-01 -1.114130e-03
2.232502e-02 4.818000e+00 4.028000e+00 4.457107e-01 7.346379e+00 2.118848e+00 9.447312e+11 1.211018e+06 -6.249810e-01 -1.187265e-03
2.260002e-02 4.818000e+00 4.028000e+00 5.276106e-01 7.346806e+00 2.002519e+00 9.333378e+11 1.196540e+06 -6.075444e-01 -1.253247e-03
2.287502e-02 4.818000e+00 4.028000e+00 5.820121e-01 7.347473e+00 1.975814e+00 9.247301e+11 1.185465e+06 -5.940037e-01 -1.294672e-03
2.315002e-02 4.818000e+00 4.028000e+00 6.157264e-01 7.348003e+00 2.061631e+00 9.185550e+11 1.177553e+06 -5.847959e-01 -1.253903e-03
2.342502e-02 4.818000e+00 4.028000e+00 7.664862e-01 7.348951e+00 2.137910e+00 8.875051e+11 1.137710e+06 -5.353951e-01 -1.274645e-03
2.370002e-02 4.818000e+00 4.028000e+00 8.981028e-01 7.349352e+00 2.057834e+00 8.545256e+11 1.095505e+06 -4.797097e-01 -1.269877e-03
2.397503e-02 4.818000e+00 4.028000e+00 1.017869e+00 7.349753e+00 1.996790e+00 8.199847e+11 1.051630e+06 -4.160263e-01 -1.316965e-03
2.425003e-02 4.818000e+00 4.028000e+00 1.084884e+00 7.349651e+00 2.065439e+00 7.992584e+11 1.024751e+06 -3.746719e-01 -1.287997e-03
2.452503e-02 4.818000e+00 4.028000e+00 1.031119e+00 7.349004e+00 2.006321e+00 8.166760e+11 1.046917e+06 -4.084972e-01 -1.313627e-03
2.480003e-02 4.818000e+00 4.028000e+00 1.018798e+00 7.348772e+00 2.029196e+00 8.205487e+11 1.052300e+06 -4.155691e-01 -1.211822e-03
2.507503e-02 4.818000e+00 4.028000e+00 1.081836e+00 7.348159e+00 2.080699e+00 8.012938e+11 1.027331e+06 -3.767546e-01 -1.207411e-03
2.535003e-02 4.818000e+00 4.028000e+00 1.192711e+00 7.348042e+00 2.033016e+00 7.636671e+11 9.787694e+05 -2.983307e-01 -1.259923e-03
2.562503e-02 4.818000e+00 4.028000e+00 1.340412e+00 7.347726e+00 2.120765e+00 7.074322e+11 9.070811e+05 -1.630422e-01 -1.239836e-03
2.590003e-02 4.818000e+00 4.028000e+00 1.468537e+00 7.346519e+00 2.038750e+00 6.543208e+11 8.385599e+05 -1.434761e-02 -1.211703e-03
2.617503e-02 4.818000e+00 4.028000e+00 1.580105e+00 7.346071e+00 2.054012e+00 6.041385e+11 7.741947e+05 1.483654e-01 -1.097679e-03
2.645003e-02 4.818000e+00 4.028000e+00 1.711635e+00 7.345800e+00 2.094059e+00 5.401821e+11 6.925628e+05 4.057298e-01 -9.635091e-04
2.672504e-02 4.818000e+00 4.028000e+00 1.816328e+00 7.344447e+00 2.120760e+00 4.858528e+11 6.227792e+05 6.690549e-01 -8.839965e-04
2.700004e-02 4.818000e+00 4.028000e+00 1.981056e+00 7.343686e+00 2.038747e+00 3.938749e+11 5.046434e+05 1.292407e+00 -8.873343e-04
2.727504e-02 4.818000e+00 4.028000e+00 2.109145e+00 7.342431e+00 1.979630e+00 3.169779e+11 4.059076e+05 2.092092e+00 -8.743405e-04
2.755004e-02 4.818000e+00 4.028000e+00 2.201752e+00 7.341190e+00 2.055916e+00 2.582516e+11 3.306266e+05 3.023625e+00 -7.620454e-04
2.782504e-02 4.818000e+00 4.028000e+00 2.220614e+00 7.340443e+00 1.985350e+00 2.462005e+11 3.149342e+05 3.267577e+00 -6.309748e-04
2.810004e-02 4.818000e+00 4.028000e+00 2.334092e+00 7.337935e+00 2.048296e+00 1.702646e+11 2.176167e+05 5.622383e+00 -2.639890e-04
2.837504e-02 4.818000e+00 4.028000e+00 2.355787e+00 7.334533e+00 2.023494e+00 1.555311e+11 1.986244e+05 6.346795e+00 -4.696846e-05
2.865004e-02 4.818000e+00 4.028000e+00 2.365628e+00 7.330499e+00 2.027302e+00 1.487756e+11 1.898860e+05 6.727055e+00 2.671480e-04
2.892504e-02 4.818000e+00 4.028000e+00 2.375315e+00 7.325840e+00 2.038753e+00 1.420002e+11 1.813240e+05 7.150875e+00 3.798008e-04
2.920004e-02 4.818000e+00 4.028000e+00 2.377005e+00 7.319628e+00 2.075002e+00 1.407771e+11 1.797555e+05 7.231977e+00 4.494190e-04
2.947504e-02 4.818000e+00 4.028000e+00 2.387616e+00 7.316196e+00 1.994886e+00 1.334772e+11 1.702954e+05 7.736242e+00 4.023314e-04
2.975005e-02 4.818000e+00 4.028000e+00 2.407264e+00 7.316209e+00 2.055916e+00 1.196339e+11 1.525611e+05 8.869183e+00 3.570318e-04
3.002505e-02 4.818000e+00 4.028000e+00 2.428606e+00 7.316218e+00 2.015864e+00 1.045714e+11 1.331562e+05 1.043462e+01 3.496408e-04
