#./underdamped_3d_long --dev=0 --amp=3.3 --omega=4.04 --force=0.004 --gam=0.08 --Dg=0.1 --block=1024 --paths=65536 --periods=2000000 --trans=1998000 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-6:-5:50:1 --domainy=a:3.3:3.3:1:0 --domainz=w:4.04:4.04:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-Daw-f0.004-g0.08-a3.3-w4.04-part0.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.905460e-05 3.300000e+00 4.040000e+00 -8.094040e-02 2.055930e+00 1.018052e+00 1.699071e+09 2.732137e+02 3.415346e-03 4.045701e-02
1.995261e-05 3.300000e+00 4.040000e+00 -7.192939e-02 2.037782e+00 1.109609e+00 1.335773e+09 2.147409e+02 -5.815864e-03 3.525066e-02
2.089295e-05 3.300000e+00 4.040000e+00 -5.686878e-02 2.016088e+00 1.060108e+00 1.070529e+09 1.720880e+02 1.932859e-03 2.924621e-02
2.187760e-05 3.300000e+00 4.040000e+00 -4.820126e-02 2.000250e+00 1.266059e+00 8.493802e+08 1.365706e+02 6.071806e-03 2.498257e-02
2.290866e-05 3.300000e+00 4.040000e+00 -4.116493e-02 1.985552e+00 8.999203e-01 6.832892e+08 1.098163e+02 2.081156e-03 2.155447e-02
2.398831e-05 3.300000e+00 4.040000e+00 -3.391685e-02 1.973130e+00 9.226969e-01 5.638301e+08 9.063579e+01 1.091599e-02 1.823056e-02
2.511884e-05 3.300000e+00 4.040000e+00 -2.929700e-02 1.960940e+00 1.159259e+00 4.599675e+08 7.394441e+01 1.511919e-02 1.556516e-02
2.630266e-05 3.300000e+00 4.040000e+00 -2.319867e-02 1.950793e+00 1.059953e+00 3.810195e+08 6.124987e+01 8.792400e-03 1.312554e-02
2.754226e-05 3.300000e+00 4.040000e+00 -1.987411e-02 1.942793e+00 6.806656e-01 3.197087e+08 5.138785e+01 -1.339316e-04 1.144934e-02
2.884029e-05 3.300000e+00 4.040000e+00 -1.462522e-02 1.934210e+00 1.366804e+00 2.704155e+08 4.346642e+01 7.991672e-03 9.760141e-03
3.019949e-05 3.300000e+00 4.040000e+00 -1.304363e-02 1.928098e+00 8.941553e-01 2.272951e+08 3.654006e+01 -4.141390e-03 8.615255e-03
3.162274e-05 3.300000e+00 4.040000e+00 -1.030781e-02 1.921849e+00 1.187838e+00 1.957447e+08 3.146498e+01 -2.342463e-03 7.472992e-03
3.311308e-05 3.300000e+00 4.040000e+00 -7.604186e-03 1.916556e+00 1.365028e+00 1.688987e+08 2.714911e+01 7.045627e-03 6.545186e-03
3.467365e-05 3.300000e+00 4.040000e+00 -5.344193e-03 1.910467e+00 1.298219e+00 1.448118e+08 2.327785e+01 3.527164e-03 5.777478e-03
3.630776e-05 3.300000e+00 4.040000e+00 -3.962617e-03 1.907051e+00 1.107773e+00 1.260717e+08 2.026512e+01 1.697648e-02 5.156875e-03
3.801889e-05 3.300000e+00 4.040000e+00 -2.551120e-03 1.902743e+00 1.260217e+00 1.105376e+08 1.776829e+01 1.411200e-03 4.627824e-03
3.981066e-05 3.300000e+00 4.040000e+00 -1.757954e-03 1.899412e+00 1.203023e+00 9.791690e+07 1.573968e+01 -1.067299e-02 4.097462e-03
4.168688e-05 3.300000e+00 4.040000e+00 -7.161133e-04 1.895120e+00 9.475648e-01 8.721719e+07 1.401995e+01 7.033467e-03 3.661752e-03
4.365152e-05 3.300000e+00 4.040000e+00 6.230121e-04 1.892280e+00 1.260057e+00 7.793766e+07 1.252824e+01 -1.055539e-03 3.319621e-03
4.570875e-05 3.300000e+00 4.040000e+00 1.689076e-03 1.889277e+00 8.121905e-01 7.038683e+07 1.131449e+01 5.930543e-03 3.036261e-03
4.786294e-05 3.300000e+00 4.040000e+00 3.032934e-03 1.886308e+00 9.037800e-01 6.291280e+07 1.011302e+01 2.521634e-03 2.682686e-03
5.011865e-05 3.300000e+00 4.040000e+00 3.598818e-03 1.884275e+00 1.058096e+00 5.732682e+07 9.215313e+00 -4.082143e-03 2.483249e-03
5.248066e-05 3.300000e+00 4.040000e+00 3.322803e-03 1.882522e+00 9.209108e-01 5.194442e+07 8.349990e+00 -2.715409e-03 2.349734e-03
