#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_3_s_0.1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
3.043210e-02 3.344644e-04 4.690050e-01 2.096711e+01 1.667789e-03 3.630633e-01 3.410935e-03
3.162267e-02 3.080946e-04 4.428235e-01 1.963043e+01 1.561467e-03 3.239964e-01 3.449559e-03
3.285982e-02 2.708470e-04 4.133947e-01 1.829725e+01 1.455478e-03 4.139091e-01 3.472567e-03
3.414537e-02 2.366978e-04 3.841297e-01 1.695546e+01 1.348991e-03 4.354088e-01 3.455877e-03
3.548122e-02 2.071255e-04 3.607417e-01 1.595054e+01 1.269130e-03 5.094696e-01 3.472567e-03
3.686932e-02 1.887101e-04 3.339178e-01 1.496336e+01 1.190764e-03 4.063351e-01 3.499508e-03
3.831173e-02 1.664365e-04 3.149808e-01 1.423655e+01 1.133143e-03 4.606640e-01 3.535867e-03
3.981058e-02 1.394422e-04 2.769089e-01 1.306419e+01 1.039953e-03 4.233426e-01 3.495097e-03
4.136806e-02 1.286167e-04 2.589240e-01 1.265157e+01 1.007213e-03 3.681285e-01 3.577709e-03
4.298647e-02 1.160555e-04 2.427084e-01 1.216763e+01 9.685879e-04 3.394756e-01 3.658652e-03
4.466820e-02 1.087464e-04 2.357415e-01 1.196636e+01 9.525721e-04 3.576950e-01 3.689051e-03
4.641572e-02 9.989894e-05 2.243153e-01 1.159899e+01 9.233005e-04 3.958281e-01 3.785729e-03
4.823161e-02 8.965201e-05 2.023732e-01 1.111206e+01 8.846156e-04 3.468753e-01 3.848553e-03
5.011854e-02 8.167422e-05 1.876410e-01 1.074858e+01 8.556723e-04 2.791847e-01 3.885746e-03
5.207929e-02 7.218431e-05 1.749852e-01 1.046721e+01 8.332984e-04 3.060083e-01 3.925323e-03
5.411675e-02 6.062518e-05 1.502799e-01 9.970454e+00 7.937787e-04 2.614490e-01 3.953338e-03
5.623392e-02 5.826814e-05 1.411636e-01 9.793015e+00 7.796681e-04 1.954987e-01 4.086971e-03
5.843392e-02 5.185543e-05 1.244950e-01 9.567669e+00 7.616990e-04 1.171585e-01 4.154682e-03
6.071998e-02 4.423007e-05 1.073118e-01 9.199135e+00 7.324101e-04 7.871354e-02 4.210949e-03
6.309549e-02 4.111538e-05 1.041571e-01 9.127928e+00 7.267526e-04 8.485770e-02 4.306436e-03
6.556392e-02 3.766723e-05 9.347426e-02 8.952971e+00 7.127888e-04 4.152346e-02 4.431486e-03
6.812894e-02 3.585171e-05 8.993487e-02 8.888697e+00 7.076839e-04 3.152907e-02 4.535913e-03
7.079429e-02 3.426845e-05 8.827614e-02 8.869912e+00 7.061995e-04 2.726972e-02 4.665375e-03
7.356393e-02 3.049376e-05 7.896470e-02 8.685008e+00 6.914392e-04 2.859831e-03 4.801512e-03
7.644191e-02 2.995038e-05 8.116169e-02 8.713513e+00 6.937621e-04 4.751909e-02 5.053878e-03
7.943249e-02 2.864244e-05 7.790308e-02 8.680326e+00 6.911348e-04 4.861259e-02 5.201697e-03
8.254007e-02 2.827728e-05 7.616630e-02 8.637965e+00 6.877622e-04 3.411269e-02 5.346894e-03
8.576923e-02 2.578489e-05 6.523861e-02 8.517299e+00 6.781996e-04 -3.747332e-02 5.481720e-03
8.912471e-02 2.316096e-05 5.972831e-02 8.431528e+00 6.713106e-04 -4.905999e-02 5.620718e-03
9.261147e-02 2.123417e-05 5.579267e-02 8.359728e+00 6.657051e-04 -5.835056e-02 5.792260e-03
9.623464e-02 2.036547e-05 5.314254e-02 8.290363e+00 6.602228e-04 -6.285107e-02 5.979419e-03
9.999956e-02 1.836701e-05 4.881890e-02 8.252663e+00 6.570951e-04 -7.342362e-02 6.145597e-03
1.039118e-01 1.613598e-05 4.256816e-02 8.093135e+00 6.445285e-04 -1.029385e-01 6.327868e-03
1.079770e-01 1.663374e-05 4.455594e-02 8.149879e+00 6.490392e-04 -8.917582e-02 6.497860e-03
1.122013e-01 1.785074e-05 4.818486e-02 8.184325e+00 6.517565e-04 -6.711340e-02 6.795406e-03
1.165909e-01 1.694022e-05 4.519436e-02 8.147499e+00 6.488621e-04 -8.442169e-02 7.063627e-03
1.211522e-01 1.641493e-05 4.384663e-02 8.152431e+00 6.492165e-04 -9.109789e-02 7.225394e-03
1.258920e-01 1.533580e-05 4.093871e-02 8.130385e+00 6.475020e-04 -9.865844e-02 7.434368e-03
1.308171e-01 1.368184e-05 3.686074e-02 8.018157e+00 6.384471e-04 -1.122401e-01 7.538438e-03
1.359350e-01 1.290767e-05 3.629059e-02 8.024428e+00 6.389389e-04 -1.012000e-01 7.853031e-03
1.412531e-01 1.302429e-05 3.796897e-02 8.025680e+00 6.390684e-04 -8.491462e-02 8.147001e-03
1.467792e-01 1.236264e-05 3.341423e-02 7.975730e+00 6.351055e-04 -1.279771e-01 8.383155e-03
1.525216e-01 1.280842e-05 3.536889e-02 7.982399e+00 6.356723e-04 -1.068377e-01 8.640647e-03
1.584886e-01 1.190177e-05 3.220333e-02 7.964156e+00 6.342034e-04 -1.261818e-01 8.857012e-03
1.646890e-01 1.267063e-05 3.621357e-02 7.997876e+00 6.369326e-04 -9.577817e-02 9.201527e-03
1.711320e-01 1.132319e-05 3.168617e-02 7.939238e+00 6.323847e-04 -1.056384e-01 9.400487e-03
1.778271e-01 1.111031e-05 3.075123e-02 7.928409e+00 6.314481e-04 -1.253670e-01 9.618402e-03
1.847841e-01 1.023297e-05 2.793723e-02 7.914123e+00 6.303386e-04 -1.396524e-01 9.822488e-03
1.920132e-01 9.757684e-06 2.733237e-02 7.873782e+00 6.272382e-04 -1.357605e-01 1.005542e-02
1.995252e-01 8.441355e-06 2.479433e-02 7.831597e+00 6.236667e-04 -1.469520e-01 1.027250e-02
2.073311e-01 9.808025e-06 2.688238e-02 7.861933e+00 6.262509e-04 -1.415261e-01 1.061189e-02
2.154424e-01 8.266089e-06 2.426497e-02 7.789545e+00 6.203355e-04 -1.388517e-01 1.068556e-02
2.238710e-01 9.412971e-06 2.622575e-02 7.862977e+00 6.263920e-04 -1.450692e-01 1.103771e-02
2.326293e-01 1.099163e-05 3.013244e-02 7.908645e+00 6.300159e-04 -1.306651e-01 1.138854e-02
2.417303e-01 1.164379e-05 3.279449e-02 7.976602e+00 6.352658e-04 -1.242002e-01 1.164389e-02
2.511873e-01 1.294823e-05 3.451313e-02 7.988489e+00 6.361733e-04 -1.215633e-01 1.205361e-02
2.610143e-01 1.448536e-05 4.055373e-02 8.034176e+00 6.397986e-04 -8.727133e-02 1.239300e-02
2.712258e-01 1.618902e-05 4.298647e-02 8.141178e+00 6.484607e-04 -1.005767e-01 1.277328e-02
2.818368e-01 1.697391e-05 4.581158e-02 8.146554e+00 6.489635e-04 -7.716173e-02 1.317513e-02
2.928629e-01 1.935979e-05 5.398393e-02 8.242031e+00 6.564140e-04 -3.361607e-02 1.362801e-02
3.043203e-01 1.964451e-05 5.683415e-02 8.302639e+00 6.611969e-04 8.513927e-03 1.388502e-02
3.162260e-01 2.103239e-05 5.877553e-02 8.379306e+00 6.675052e-04 1.288784e-02 1.419532e-02
3.285975e-01 1.984899e-05 5.491358e-02 8.303144e+00 6.614020e-04 -3.196090e-02 1.396775e-02
3.414530e-01 2.373107e-05 6.433919e-02 8.462839e+00 6.739686e-04 -6.822646e-03 1.456630e-02
3.548115e-01 2.290580e-05 6.136369e-02 8.387816e+00 6.681517e-04 -1.621789e-02 1.454234e-02
3.686925e-01 2.552969e-05 6.968548e-02 8.500205e+00 6.769560e-04 9.842634e-03 1.496029e-02
3.831166e-01 2.745239e-05 7.558341e-02 8.614577e+00 6.861492e-04 4.983842e-02 1.500154e-02
3.981051e-01 2.873064e-05 7.723881e-02 8.664786e+00 6.901505e-04 4.354548e-02 1.529217e-02
4.136799e-01 3.110228e-05 8.145137e-02 8.721985e+00 6.946273e-04 3.599763e-02 1.542997e-02
4.298640e-01 3.518374e-05 8.712927e-02 8.879648e+00 7.072633e-04 2.326822e-02 1.588821e-02
4.466813e-01 4.004477e-05 1.040939e-01 9.103174e+00 7.250824e-04 1.024004e-01 1.634407e-02
4.641565e-01 4.502149e-05 1.159235e-01 9.315799e+00 7.419858e-04 1.658691e-01 1.678479e-02
4.823154e-01 4.766266e-05 1.212178e-01 9.421314e+00 7.504585e-04 2.163526e-01 1.690686e-02
5.011847e-01 5.520404e-05 1.399433e-01 9.778636e+00 7.789122e-04 2.297031e-01 1.745117e-02
5.207922e-01 6.668563e-05 1.605972e-01 1.014737e+01 8.082839e-04 2.880850e-01 1.815426e-02
5.411668e-01 7.585318e-05 1.762687e-01 1.053132e+01 8.388764e-04 2.983308e-01 1.848018e-02
5.623385e-01 8.839522e-05 1.961944e-01 1.098015e+01 8.745778e-04 3.524786e-01 1.910472e-02
5.843385e-01 1.004344e-04 2.130795e-01 1.139936e+01 9.077759e-04 2.451673e-01 1.959312e-02
6.071991e-01 1.122609e-04 2.304480e-01 1.185837e+01 9.446041e-04 2.933946e-01 2.004015e-02
6.309542e-01 1.300882e-04 2.564454e-01 1.256357e+01 1.000781e-03 2.869724e-01 2.049327e-02
6.556386e-01 1.531444e-04 2.875030e-01 1.354866e+01 1.078457e-03 3.020958e-01 2.154899e-02
6.812887e-01 1.824168e-04 3.176368e-01 1.449472e+01 1.153672e-03 2.644923e-01 2.232170e-02
7.079422e-01 2.144865e-04 3.539545e-01 1.579675e+01 1.256093e-03 2.985302e-01 2.327859e-02
7.356386e-01 2.597706e-04 3.984703e-01 1.768725e+01 1.406180e-03 3.152810e-01 2.460253e-02
7.644184e-01 3.083828e-04 4.408864e-01 1.962056e+01 1.558727e-03 3.429946e-01 2.575457e-02
7.943242e-01 3.652777e-04 4.731617e-01 2.167211e+01 1.721511e-03 3.063000e-01 2.695858e-02
8.254001e-01 4.359792e-04 5.144397e-01 2.436511e+01 1.934959e-03 2.838160e-01 2.814674e-02
8.576916e-01 5.438075e-04 5.672178e-01 2.889857e+01 2.295244e-03 2.358563e-01 3.018057e-02
8.912464e-01 6.618131e-04 6.217996e-01 3.407056e+01 2.705887e-03 2.669934e-01 3.218269e-02
9.261141e-01 8.195500e-04 6.643535e-01 4.058828e+01 3.227673e-03 3.223392e-01 3.391314e-02
9.623458e-01 1.028842e-03 7.274988e-01 4.973804e+01 3.963469e-03 2.659262e-01 3.650117e-02
