#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=1 --skew=0.99 --distribution=s>> journal_3_s_1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
3.414537e-02 2.219953e+00 9.912173e-01 9.533968e+04 7.153059e+00 2.199161e-02 7.992983e-04
3.548122e-02 2.139531e+00 9.851887e-01 9.051557e+04 7.091944e+00 1.977670e-02 8.088350e-04
3.686932e-02 2.060585e+00 9.903211e-01 8.510256e+04 7.462457e+00 2.293849e-02 8.732080e-04
3.831173e-02 1.983363e+00 1.008146e+00 8.336084e+04 6.907324e+00 -6.705523e-03 9.021759e-04
3.981058e-02 1.907496e+00 1.003935e+00 7.979122e+04 6.236327e+00 1.408577e-03 9.534359e-04
4.136806e-02 1.834565e+00 1.006649e+00 7.623170e+04 6.045978e+00 1.757860e-03 9.877682e-04
4.298647e-02 1.763481e+00 1.006306e+00 7.284909e+04 5.968947e+00 1.945746e-02 1.019120e-03
4.466820e-02 1.695260e+00 1.012202e+00 7.016546e+04 6.205132e+00 5.221605e-03 1.038909e-03
4.641572e-02 1.628744e+00 1.018781e+00 6.805390e+04 5.858811e+00 1.455939e-02 1.097918e-03
4.823161e-02 1.564399e+00 1.013728e+00 6.418263e+04 4.626316e+00 1.305342e-03 1.109958e-03
5.011854e-02 1.502438e+00 1.006665e+00 5.988879e+04 4.708440e+00 -7.378876e-03 1.126051e-03
5.207929e-02 1.442269e+00 9.989555e-01 5.617991e+04 4.689978e+00 -1.233077e-02 1.187682e-03
5.411675e-02 1.384717e+00 9.950501e-01 5.374128e+04 4.404135e+00 -1.611513e-02 1.223922e-03
5.623392e-02 1.329343e+00 9.941519e-01 5.195500e+04 4.295910e+00 -1.289463e-02 1.249790e-03
5.843392e-02 1.276172e+00 1.010642e+00 5.131112e+04 3.995744e+00 1.921415e-03 1.313090e-03
6.071998e-02 1.224643e+00 1.006728e+00 4.855830e+04 4.205510e+00 2.109671e-02 1.361847e-03
6.309549e-02 1.175522e+00 1.004953e+00 4.661486e+04 4.032986e+00 4.221451e-02 1.387119e-03
6.556392e-02 1.128391e+00 1.006622e+00 4.487087e+04 3.628414e+00 2.103090e-02 1.431704e-03
6.812894e-02 1.083312e+00 1.007654e+00 4.335472e+04 3.389682e+00 2.361536e-04 1.467586e-03
7.079429e-02 1.040273e+00 1.012560e+00 4.163909e+04 3.213020e+00 -1.427782e-02 1.576304e-03
7.356393e-02 9.989705e-01 1.017812e+00 4.022812e+04 3.163363e+00 -5.344927e-03 1.598358e-03
7.644191e-02 9.595250e-01 1.015355e+00 3.828452e+04 3.031902e+00 -7.950068e-03 1.632094e-03
7.943249e-02 9.217808e-01 1.006586e+00 3.589836e+04 2.758473e+00 6.386042e-04 1.655340e-03
8.254007e-02 8.858169e-01 1.002265e+00 3.437353e+04 2.649452e+00 1.337242e-02 1.705647e-03
8.576923e-02 8.511999e-01 9.943725e-01 3.267766e+04 2.816724e+00 -2.242434e-02 1.730561e-03
8.912471e-02 8.181992e-01 9.949110e-01 3.148792e+04 2.747173e+00 -2.014321e-02 1.763463e-03
9.261147e-02 7.867774e-01 9.953056e-01 3.047170e+04 2.407855e+00 -2.333063e-02 1.818538e-03
9.623464e-02 7.567382e-01 9.981294e-01 2.964720e+04 2.265252e+00 -1.126087e-02 1.874089e-03
9.999956e-02 7.282656e-01 9.985554e-01 2.827651e+04 2.235968e+00 -6.549954e-04 1.943707e-03
1.039118e-01 7.010272e-01 1.004411e+00 2.735860e+04 2.176762e+00 7.644296e-03 2.004504e-03
1.079770e-01 6.751126e-01 9.951167e-01 2.619953e+04 2.025247e+00 -8.054018e-03 2.054811e-03
1.122013e-01 6.504611e-01 1.001585e+00 2.561145e+04 1.904687e+00 -1.203030e-02 2.119064e-03
1.165909e-01 6.267518e-01 1.002210e+00 2.461176e+04 1.899673e+00 3.681540e-03 2.211928e-03
1.211522e-01 6.042426e-01 1.003676e+00 2.386446e+04 1.865853e+00 8.789420e-03 2.277613e-03
1.258920e-01 5.827088e-01 1.001423e+00 2.274823e+04 1.819539e+00 -1.034546e-02 2.338052e-03
1.308171e-01 5.620623e-01 9.931855e-01 2.159419e+04 1.802907e+00 -1.504093e-02 2.394319e-03
1.359350e-01 5.426575e-01 9.954296e-01 2.095969e+04 1.773066e+00 -9.059072e-03 2.467632e-03
1.412531e-01 5.245066e-01 1.003275e+00 2.051229e+04 1.697467e+00 -1.051331e-02 2.571940e-03
1.467792e-01 5.067714e-01 1.013011e+00 2.008363e+04 1.571177e+00 -2.578795e-03 2.640843e-03
1.525216e-01 4.901094e-01 1.005370e+00 1.928883e+04 1.511972e+00 4.216909e-03 2.617836e-03
1.584886e-01 4.740404e-01 1.007005e+00 1.867745e+04 1.481494e+00 9.630919e-04 2.777815e-03
1.646890e-01 4.585869e-01 1.003642e+00 1.809200e+04 1.469915e+00 -1.695174e-02 2.793789e-03
1.711320e-01 4.438960e-01 1.009314e+00 1.758711e+04 1.401996e+00 -1.204491e-03 2.897382e-03
1.778271e-01 4.302041e-01 1.005732e+00 1.703971e+04 1.289036e+00 -1.349121e-02 2.951980e-03
1.847841e-01 4.170556e-01 1.003570e+00 1.647898e+04 1.175359e+00 -1.006293e-02 3.051996e-03
1.920132e-01 4.044553e-01 1.008997e+00 1.607102e+04 1.143648e+00 3.327131e-04 3.128648e-03
