#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:0.95:2.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:0.95:2.05:100:1_s:0.95:2.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
5.807677e+01 8.912509e+00 1.505880e-01 1.000120e+00 3.274931e+06 2.606123e+02 8.726239e-03 4.574060e-04
5.956656e+01 8.912509e+00 1.654698e-01 1.000472e+00 3.311730e+06 2.635378e+02 -7.244229e-03 4.463196e-04
6.109455e+01 8.912509e+00 1.821698e-01 9.959353e-01 3.411063e+06 2.714445e+02 3.072858e-02 4.525185e-04
6.266175e+01 8.912509e+00 1.916887e-01 1.000549e+00 3.690354e+06 2.936703e+02 7.766056e-02 4.446507e-04
6.426916e+01 8.912509e+00 2.012070e-01 1.005045e+00 3.801596e+06 3.025208e+02 4.931509e-02 4.608631e-04
6.591779e+01 8.912509e+00 2.218629e-01 9.911290e-01 3.754510e+06 2.987746e+02 4.125142e-02 4.676580e-04
6.760871e+01 8.912509e+00 2.378584e-01 9.923825e-01 3.839714e+06 3.055550e+02 1.214504e-03 4.599094e-04
6.934301e+01 8.912509e+00 2.498512e-01 9.843638e-01 3.941190e+06 3.136285e+02 2.091956e-02 4.495382e-04
7.112180e+01 8.912509e+00 2.739669e-01 9.844843e-01 3.992684e+06 3.177235e+02 -8.203387e-04 4.566908e-04
7.294622e+01 8.912509e+00 2.840679e-01 9.929730e-01 4.152824e+06 3.304693e+02 -2.382576e-03 4.689693e-04
7.481744e+01 8.912509e+00 3.115467e-01 9.766567e-01 4.078990e+06 3.245948e+02 -2.431267e-02 4.477501e-04
7.673666e+01 8.912509e+00 3.220967e-01 9.910524e-01 4.411107e+06 3.510257e+02 -7.035196e-03 4.400015e-04
7.870510e+01 8.912509e+00 3.346559e-01 9.895076e-01 4.513767e+06 3.591907e+02 -6.628513e-03 4.448891e-04
8.072404e+01 8.912509e+00 3.460312e-01 9.841727e-01 4.497464e+06 3.578991e+02 1.379240e-02 4.516840e-04
8.279478e+01 8.912509e+00 3.605837e-01 1.008643e+00 4.827010e+06 3.841167e+02 5.479288e-02 4.469156e-04
8.491863e+01 8.912509e+00 3.853417e-01 1.015234e+00 4.844534e+06 3.855152e+02 1.733768e-02 4.527569e-04
