#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=s:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_s:-0.05:1.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
4.623803e-01 8.912509e-01 4.321043e-01 9.789969e-01 1.622911e+04 1.268903e+00 3.086925e-02 2.917409e-03
4.742412e-01 8.912509e-01 3.657702e-01 9.878532e-01 1.384148e+04 1.114443e+00 -1.612419e-02 3.310084e-03
4.864064e-01 8.912509e-01 2.974545e-01 9.695240e-01 1.107386e+04 8.817979e-01 3.330791e-02 3.781796e-03
4.988837e-01 8.912509e-01 2.283412e-01 9.679088e-01 8.530320e+03 6.792932e-01 9.390950e-03 4.667163e-03
5.116810e-01 8.912509e-01 1.619367e-01 9.792370e-01 6.110350e+03 4.851639e-01 -9.165764e-03 5.861402e-03
5.248066e-01 8.912509e-01 1.082063e-01 1.003110e+00 4.312808e+03 3.420289e-01 1.799357e-02 7.915854e-03
5.382689e-01 8.912509e-01 7.473705e-02 9.880899e-01 2.965859e+03 2.357806e-01 -1.120347e-02 9.948134e-03
5.520766e-01 8.912509e-01 5.913165e-02 9.782676e-01 2.319581e+03 1.847291e-01 2.445388e-02 1.143205e-02
5.662384e-01 8.912509e-01 5.275269e-02 1.001501e+00 2.144533e+03 1.708827e-01 1.353228e-02 1.266193e-02
5.807635e-01 8.912509e-01 4.926283e-02 9.761157e-01 1.957353e+03 1.559787e-01 2.404690e-03 1.330936e-02
5.956612e-01 8.912509e-01 4.680740e-02 9.894064e-01 1.895270e+03 1.509777e-01 1.065969e-03 1.398456e-02
6.109411e-01 8.912509e-01 4.458411e-02 9.985304e-01 1.809606e+03 1.440557e-01 -1.134771e-02 1.443970e-02
6.266128e-01 8.912509e-01 4.246896e-02 9.973160e-01 1.742980e+03 1.387756e-01 1.954675e-03 1.524615e-02
6.426867e-01 8.912509e-01 4.047250e-02 1.004690e+00 1.677471e+03 1.334763e-01 -1.466316e-02 1.583970e-02
6.591728e-01 8.912509e-01 3.883583e-02 9.867700e-01 1.591488e+03 1.266143e-01 -1.471335e-02 1.612008e-02
6.760818e-01 8.912509e-01 3.705528e-02 9.970929e-01 1.575560e+03 1.254023e-01 -3.213423e-02 1.692772e-02
6.934246e-01 8.912509e-01 3.555215e-02 1.037137e+00 1.563821e+03 1.244253e-01 -1.780111e-02 1.776111e-02
7.112123e-01 8.912509e-01 3.402653e-02 9.976970e-01 1.436810e+03 1.143531e-01 -8.602917e-03 1.746249e-02
7.294562e-01 8.912509e-01 3.242994e-02 9.883680e-01 1.342933e+03 1.068458e-01 2.721429e-02 1.775277e-02
7.481682e-01 8.912509e-01 3.091301e-02 1.002319e+00 1.338483e+03 1.064952e-01 9.276032e-03 1.876128e-02
7.673602e-01 8.912509e-01 2.948162e-02 9.879941e-01 1.284463e+03 1.022086e-01 -1.976287e-02 1.912296e-02
7.870444e-01 8.912509e-01 2.807474e-02 1.000299e+00 1.244739e+03 9.906726e-02 1.397014e-03 1.983869e-02
8.072336e-01 8.912509e-01 2.667790e-02 9.961630e-01 1.191603e+03 9.485774e-02 -1.961589e-02 1.998973e-02
8.279407e-01 8.912509e-01 2.530329e-02 9.920596e-01 1.150495e+03 9.156848e-02 -4.770231e-02 2.018785e-02
8.491790e-01 8.912509e-01 2.393452e-02 9.770890e-01 1.095376e+03 8.718877e-02 -1.248717e-02 2.130032e-02
8.709621e-01 8.912509e-01 2.260527e-02 9.736356e-01 1.043037e+03 8.301189e-02 -1.118135e-02 2.110767e-02
8.933039e-01 8.912509e-01 2.127153e-02 9.770525e-01 1.008764e+03 8.028341e-02 -2.202624e-02 2.138174e-02
9.162189e-01 8.912509e-01 2.000268e-02 9.710088e-01 9.928999e+02 7.901001e-02 -3.988403e-02 2.196121e-02
9.397216e-01 8.912509e-01 1.878257e-02 9.922267e-01 9.676935e+02 7.699998e-02 -1.031709e-02 2.222085e-02
9.638273e-01 8.912509e-01 1.750867e-02 9.788755e-01 9.390372e+02 7.471509e-02 -2.333856e-02 2.253032e-02
9.885514e-01 8.912509e-01 1.625095e-02 9.715431e-01 9.031307e+02 7.186040e-02 -7.671714e-04 2.298689e-02
1.013910e+00 8.912509e-01 1.517511e-02 9.706320e-01 8.765170e+02 6.974219e-02 -4.331464e-02 2.358997e-02
1.039918e+00 8.912509e-01 1.386203e-02 9.528525e-01 8.547294e+02 6.801736e-02 -2.501476e-02 2.394402e-02
1.066594e+00 8.912509e-01 1.269634e-02 9.664376e-01 8.344217e+02 6.640223e-02 -1.593542e-02 2.410448e-02
1.093954e+00 8.912509e-01 1.153473e-02 9.666765e-01 8.167733e+02 6.499917e-02 1.337314e-02 2.403140e-02

8.912510e-02 9.141132e-01 1.090384e+00 1.006945e+00 8.452644e+04 6.753899e+00 2.535582e-03 2.814889e-03
9.141134e-02 9.141132e-01 1.102671e+00 1.012500e+00 8.608355e+04 6.857031e+00 -1.199698e-02 2.780318e-03
9.375623e-02 9.141132e-01 1.110045e+00 9.879597e-01 8.330963e+04 6.682598e+00 6.615043e-03 2.720118e-03
9.616126e-02 9.141132e-01 1.111579e+00 1.003292e+00 8.420736e+04 6.738938e+00 1.497054e-02 2.751589e-03
9.862799e-02 9.141132e-01 1.106518e+00 9.956633e-01 8.133804e+04 6.499569e+00 -2.781808e-03 2.741218e-03
1.011580e-01 9.141132e-01 1.093974e+00 9.965670e-01 7.889560e+04 6.261155e+00 1.379466e-02 2.779484e-03
1.037529e-01 9.141132e-01 1.072671e+00 9.949781e-01 7.581048e+04 6.021786e+00 4.238129e-03 2.826452e-03
1.064143e-01 9.141132e-01 1.044610e+00 9.975473e-01 7.131116e+04 5.647454e+00 -3.130233e-02 2.865314e-03
1.091441e-01 9.141132e-01 1.009250e+00 1.003061e+00 6.608850e+04 5.285217e+00 9.127975e-03 2.972603e-03
1.119438e-01 9.141132e-01 9.664834e-01 9.863023e-01 5.854270e+04 4.669288e+00 4.896283e-03 2.968669e-03
1.148154e-01 9.141132e-01 9.176122e-01 1.010530e+00 5.258414e+04 4.190231e+00 -2.533621e-02 3.139853e-03
1.177606e-01 9.141132e-01 8.639444e-01 9.929483e-01 4.463272e+04 3.585283e+00 3.530025e-03 3.099203e-03
