#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:-1.05:0.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:-1.05:0.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
4.395369e+02 8.912510e-02 -5.558251e-01 9.316360e-01 5.265267e+04 4.183865e+00 -1.588291e-02 9.607077e-04
4.508118e+02 8.912510e-02 -5.743964e-01 9.364868e-01 5.947889e+04 4.736372e+00 1.201143e-01 8.600950e-04
4.623759e+02 8.912510e-02 -5.924532e-01 1.011002e+00 7.401473e+04 5.896451e+00 9.701967e-03 8.996725e-04
4.742366e+02 8.912510e-02 -6.065065e-01 1.008833e+00 7.769737e+04 6.187387e+00 -6.065387e-02 8.069277e-04
4.864016e+02 8.912510e-02 -6.217693e-01 9.572664e-01 7.472921e+04 5.940697e+00 -5.985940e-02 8.143187e-04
4.988787e+02 8.912510e-02 -6.349119e-01 1.013923e+00 9.049819e+04 7.202477e+00 4.485166e-02 7.727146e-04
5.116758e+02 8.912510e-02 -6.483269e-01 9.774912e-01 9.290122e+04 7.386301e+00 -2.024561e-02 6.945133e-04
5.248011e+02 8.912510e-02 -6.615844e-01 1.062076e+00 1.189258e+05 9.449824e+00 -4.439336e-02 7.498264e-04
5.382632e+02 8.912510e-02 -6.695079e-01 1.003173e+00 1.076743e+05 8.565400e+00 -9.104371e-03 7.307529e-04
5.520706e+02 8.912510e-02 -6.745816e-01 9.643632e-01 1.066969e+05 8.505558e+00 -3.964365e-03 6.530285e-04
5.662322e+02 8.912510e-02 -6.828471e-01 9.375303e-01 1.109979e+05 8.836760e+00 3.349185e-02 6.451607e-04
5.807570e+02 8.912510e-02 -6.945167e-01 9.586800e-01 1.252892e+05 9.983949e+00 -1.380414e-02 6.270409e-04
5.956544e+02 8.912510e-02 -6.990331e-01 1.027806e+00 1.466378e+05 1.167752e+01 2.001154e-02 6.096363e-04
6.109340e+02 8.912510e-02 -7.009132e-01 1.008731e+00 1.489866e+05 1.185004e+01 1.648765e-01 6.561279e-04
6.266055e+02 8.912510e-02 -7.054527e-01 9.462822e-01 1.435361e+05 1.142175e+01 1.093111e-01 6.237030e-04
6.426790e+02 8.912510e-02 -7.043651e-01 1.004817e+00 1.716810e+05 1.366536e+01 2.615833e-02 5.708933e-04
6.591649e+02 8.912510e-02 -6.990513e-01 1.032769e+00 1.889874e+05 1.502900e+01 -9.488225e-02 6.251335e-04
6.760735e+02 8.912510e-02 -6.962405e-01 1.061920e+00 2.210108e+05 1.759171e+01 -3.398103e-02 5.655289e-04
6.934160e+02 8.912510e-02 -6.957629e-01 1.034921e+00 2.121762e+05 1.687584e+01 -7.163244e-02 5.366802e-04
7.112034e+02 8.912510e-02 -6.841394e-01 9.918654e-01 2.005545e+05 1.596626e+01 -4.587018e-02 5.725622e-04
7.294470e+02 8.912510e-02 -6.769779e-01 9.903972e-01 2.179636e+05 1.733420e+01 -1.660156e-02 5.253553e-04
7.481585e+02 8.912510e-02 -6.691190e-01 1.017638e+00 2.389975e+05 1.902427e+01 -8.584851e-02 5.365610e-04
7.673501e+02 8.912510e-02 -6.523157e-01 9.800612e-01 2.360592e+05 1.878983e+01 4.841340e-02 5.173683e-04
7.870339e+02 8.912510e-02 -6.433743e-01 9.481076e-01 2.350144e+05 1.869943e+01 7.389188e-03 4.775524e-04
8.072227e+02 8.912510e-02 -6.325907e-01 9.902328e-01 2.655995e+05 2.114023e+01 -3.554541e-02 4.800558e-04
8.279294e+02 8.912510e-02 -6.131394e-01 1.057454e+00 3.325726e+05 2.647359e+01 -9.521991e-02 5.031824e-04
8.491672e+02 8.912510e-02 -6.009273e-01 9.563719e-01 2.707225e+05 2.154433e+01 -8.703768e-02 4.661083e-04
8.709498e+02 8.912510e-02 -5.828891e-01 9.918458e-01 3.204251e+05 2.549734e+01 -6.099409e-02 5.089045e-04
8.932912e+02 8.912510e-02 -5.623137e-01 9.859906e-01 3.608415e+05 2.872277e+01 6.368899e-02 4.814863e-04
9.162057e+02 8.912510e-02 -5.480990e-01 1.014788e+00 3.788060e+05 3.014633e+01 -8.225024e-03 5.218983e-04
9.397079e+02 8.912510e-02 -5.333824e-01 1.038087e+00 3.683417e+05 2.931459e+01 -9.467959e-03 4.874468e-04
9.638130e+02 8.912510e-02 -5.095745e-01 9.384547e-01 3.554085e+05 2.828772e+01 -3.526992e-02 5.216599e-04
9.885366e+02 8.912510e-02 -4.846860e-01 9.999043e-01 4.313881e+05 3.432996e+01 2.936113e-02 4.905462e-04
1.013894e+03 8.912510e-02 -4.688110e-01 1.019258e+00 4.063902e+05 3.234633e+01 -5.062485e-02 4.663467e-04
1.039902e+03 8.912510e-02 -4.316253e-01 9.864295e-01 4.345993e+05 3.458632e+01 5.634248e-02 4.940033e-04
1.066578e+03 8.912510e-02 -4.186431e-01 9.705948e-01 4.086074e+05 3.251424e+01 2.643073e-02 4.789829e-04
1.093937e+03 8.912510e-02 -3.958859e-01 9.730260e-01 4.289270e+05 3.413659e+01 -7.093447e-02 5.403757e-04

8.912511e+01 9.141134e-02 -2.828732e-03 9.051207e-01 1.250455e+02 9.950859e-03 4.030770e-01 2.934694e-03
9.141134e+01 9.141134e-02 -3.182033e-03 8.521354e-01 1.330689e+02 1.058941e-02 1.378500e-01 2.940655e-03
9.375623e+01 9.141134e-02 -3.589888e-03 8.956663e-01 1.508925e+02 1.200760e-02 8.089340e-02 3.070354e-03
9.616126e+01 9.141134e-02 -4.045171e-03 9.137915e-01 1.699997e+02 1.352823e-02 3.681552e-02 3.096819e-03
9.862799e+01 9.141134e-02 -4.547365e-03 9.444398e-01 2.002221e+02 1.593333e-02 7.149565e-02 3.267407e-03
