#./munderdamped_3d --dev=2 --amp=120 --omega=1 --mass=0.017 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_a:-1:3:300:1_13.0_20.0_0.99_1.0_0.017.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
5.089393e-01 1.007838e+00 7.713976e+03 1.031248e+00 1.824518e+06 1.451875e+02 1.872683e-02 3.230511e+00 3.504753e-05 5.081725e-02
5.248066e-01 1.010130e+00 7.715296e+03 1.031543e+00 1.802800e+06 1.434648e+02 -2.936828e-02 4.018454e+00 4.053116e-05 4.983473e-02
5.411686e-01 1.006575e+00 7.713752e+03 1.015578e+00 1.816992e+06 1.445932e+02 -9.097397e-03 3.663260e+00 3.719330e-05 5.023289e-02
5.580408e-01 1.013705e+00 7.713838e+03 1.004431e+00 1.794890e+06 1.428260e+02 -3.240746e-02 4.473454e+00 4.100800e-05 4.897177e-02
5.754390e-01 1.019455e+00 7.715677e+03 1.018599e+00 1.785437e+06 1.420830e+02 3.137779e-02 3.455012e+00 3.850460e-05 4.868913e-02
5.933796e-01 1.007999e+00 7.713837e+03 9.975528e-01 1.730387e+06 1.376948e+02 -1.503527e-02 4.150140e+00 3.647804e-05 4.819155e-02
6.118796e-01 1.007665e+00 7.715136e+03 1.081465e+00 1.909428e+06 1.519414e+02 -2.142680e-02 3.820631e+00 3.826618e-05 5.392110e-02
6.309564e-01 1.013159e+00 7.714321e+03 1.008430e+00 1.833114e+06 1.458811e+02 8.006930e-03 4.116094e+00 3.850460e-05 5.070746e-02
6.506279e-01 1.012224e+00 7.714140e+03 1.024088e+00 1.779655e+06 1.416062e+02 5.425799e-02 4.676741e+00 3.385544e-05 4.833913e-02
6.709126e-01 1.015383e+00 7.714219e+03 1.043605e+00 1.784870e+06 1.420327e+02 -1.596045e-02 3.166590e+00 3.457069e-05 4.868650e-02
6.918299e-01 1.007253e+00 7.714798e+03 1.007169e+00 1.738280e+06 1.383263e+02 9.912133e-03 3.992411e+00 3.814697e-05 4.884040e-02
7.133992e-01 1.007887e+00 7.713739e+03 1.006644e+00 1.776395e+06 1.413560e+02 -2.812701e-02 4.155567e+00 3.600121e-05 4.901099e-02
7.356411e-01 1.015750e+00 7.716291e+03 1.039424e+00 1.745167e+06 1.388761e+02 4.793406e-03 3.299056e+00 4.053116e-05 4.764450e-02
7.585764e-01 1.011433e+00 7.714135e+03 1.037005e+00 1.814739e+06 1.444096e+02 -5.913496e-03 3.937226e+00 3.814697e-05 5.060625e-02
7.822267e-01 1.016295e+00 7.714215e+03 9.997541e-01 1.790616e+06 1.424987e+02 3.747821e-03 2.840415e+00 3.862381e-05 4.891491e-02
8.066144e-01 1.009797e+00 7.713904e+03 9.923419e-01 1.765089e+06 1.404447e+02 4.678249e-03 3.060439e+00 3.445148e-05 4.866898e-02
8.317624e-01 1.010151e+00 7.714451e+03 9.900220e-01 1.773149e+06 1.411039e+02 1.238513e-02 2.853748e+00 3.755093e-05 4.871106e-02
8.576946e-01 1.015915e+00 7.713909e+03 1.045429e+00 1.859571e+06 1.479765e+02 -1.888740e-02 3.582071e+00 4.053116e-05 4.978609e-02
8.844351e-01 1.015482e+00 7.713791e+03 1.013367e+00 1.818132e+06 1.446776e+02 -2.271366e-02 3.932627e+00 4.124641e-05 4.933643e-02
9.120094e-01 1.011183e+00 7.713987e+03 9.971640e-01 1.724214e+06 1.372145e+02 -1.392674e-02 4.694106e+00 3.838539e-05 4.727089e-02
9.404434e-01 1.015270e+00 7.715583e+03 1.046427e+00 1.842611e+06 1.466390e+02 1.923597e-02 3.085472e+00 3.862381e-05 5.004179e-02
9.697639e-01 1.012953e+00 7.714447e+03 1.010952e+00 1.797497e+06 1.430542e+02 5.015743e-02 3.322415e+00 3.695488e-05 4.980361e-02
9.999985e-01 1.013635e+00 7.714245e+03 1.046753e+00 1.819049e+06 1.447568e+02 -3.697157e-03 3.488326e+00 3.874302e-05 4.995275e-02
1.031176e+00 1.014395e+00 7.714984e+03 1.003105e+00 1.751954e+06 1.394223e+02 -7.601142e-03 3.708746e+00 4.041195e-05 4.803991e-02
1.063325e+00 1.015600e+00 7.714533e+03 1.002757e+00 1.779616e+06 1.416161e+02 -4.477799e-03 4.915980e+00 3.874302e-05 4.867995e-02
1.096476e+00 1.021930e+00 7.714839e+03 1.042802e+00 1.825039e+06 1.452283e+02 2.649987e-02 3.605094e+00 3.814697e-05 4.969466e-02
1.130662e+00 1.010844e+00 7.713873e+03 1.013294e+00 1.776646e+06 1.413793e+02 6.797552e-03 5.728992e+00 3.874302e-05 4.863548e-02
1.165913e+00 1.012057e+00 7.714025e+03 9.994787e-01 1.718060e+06 1.367240e+02 -1.114583e-02 2.861159e+00 4.053116e-05 4.783690e-02
1.202263e+00 1.012339e+00 7.713543e+03 1.007947e+00 1.842055e+06 1.465897e+02 2.537584e-02 4.149432e+00 3.981590e-05 5.081725e-02
1.239746e+00 1.014961e+00 7.713868e+03 1.015324e+00 1.769048e+06 1.407760e+02 4.902184e-02 4.546602e+00 3.612041e-05 4.792142e-02
1.278398e+00 1.011750e+00 7.713687e+03 1.008797e+00 1.777194e+06 1.414209e+02 -2.892983e-02 4.236453e+00 3.790855e-05 4.852867e-02
1.318255e+00 1.017451e+00 7.714590e+03 1.031486e+00 1.799807e+06 1.432312e+02 -1.492268e-02 3.215752e+00 3.814697e-05 4.854512e-02
1.359354e+00 1.011021e+00 7.715428e+03 1.010216e+00 1.787811e+06 1.422673e+02 -4.076231e-02 3.411769e+00 4.017353e-05 4.932642e-02
1.401735e+00 1.007475e+00 7.712660e+03 1.022998e+00 1.791928e+06 1.425997e+02 1.240134e-02 3.034867e+00 3.778934e-05 5.006075e-02
1.445438e+00 1.010655e+00 7.714555e+03 1.027349e+00 1.765492e+06 1.404918e+02 -1.194638e-02 3.273952e+00 3.445148e-05 4.918480e-02
1.490502e+00 1.014081e+00 7.714738e+03 1.026609e+00 1.799613e+06 1.432153e+02 -9.236753e-03 4.845871e+00 4.148483e-05 4.879653e-02
1.536972e+00 1.015756e+00 7.714063e+03 1.027429e+00 1.790686e+06 1.425099e+02 -7.532597e-03 9.322339e+00 3.671646e-05 4.955316e-02
1.584891e+00 1.017532e+00 7.714212e+03 1.029277e+00 1.778685e+06 1.415314e+02 -2.376616e-02 4.001563e+00 3.921986e-05 4.868567e-02
1.634303e+00 1.014034e+00 7.713989e+03 1.053475e+00 1.810176e+06 1.440546e+02 -2.513742e-02 3.137052e+00 4.124641e-05 4.997122e-02
1.685256e+00 1.016404e+00 7.713670e+03 1.033502e+00 1.762219e+06 1.402260e+02 -2.367282e-02 3.672371e+00 3.969669e-05 4.850316e-02
1.737798e+00 1.009676e+00 7.712734e+03 9.950348e-01 1.705062e+06 1.356891e+02 -1.246750e-02 3.314411e+00 4.172325e-05 4.820645e-02
1.791978e+00 1.017388e+00 7.714655e+03 1.049682e+00 1.869500e+06 1.487628e+02 -9.721518e-05 2.281583e+00 3.767014e-05 5.053627e-02
1.847847e+00 1.015833e+00 7.713341e+03 1.023152e+00 1.767610e+06 1.406471e+02 -3.203475e-02 4.619866e+00 4.112720e-05 4.882646e-02
1.905458e+00 1.022243e+00 7.713774e+03 1.044591e+00 1.870810e+06 1.488837e+02 -7.938206e-03 3.168610e+00 4.100800e-05 5.085814e-02
1.964865e+00 1.022265e+00 7.714503e+03 1.012128e+00 1.764173e+06 1.403982e+02 2.112186e-02 3.075669e+00 3.767014e-05 4.715526e-02
2.026124e+00 1.016819e+00 7.713566e+03 1.015686e+00 1.754185e+06 1.395862e+02 -2.615255e-02 3.501621e+00 3.707409e-05 4.859638e-02
2.089293e+00 1.017657e+00 7.713556e+03 1.021114e+00 1.780300e+06 1.416702e+02 1.492369e-02 3.384289e+00 3.564358e-05 4.897618e-02
2.154431e+00 1.018684e+00 7.713829e+03 1.010915e+00 1.755846e+06 1.397285e+02 -2.331984e-02 3.909617e+00 3.969669e-05 4.843795e-02
2.221600e+00 1.023450e+00 7.713451e+03 1.026600e+00 1.780859e+06 1.417243e+02 9.553194e-03 3.162563e+00 4.053116e-05 4.818606e-02
2.290864e+00 1.020255e+00 7.714718e+03 1.027308e+00 1.814508e+06 1.443835e+02 2.674794e-02 4.207818e+00 3.981590e-05 4.921973e-02
2.362287e+00 1.020633e+00 7.713705e+03 1.009870e+00 1.842826e+06 1.466463e+02 2.261162e-03 3.128860e+00 3.731251e-05 4.933572e-02
2.435936e+00 1.016995e+00 7.712552e+03 1.014147e+00 1.779498e+06 1.416116e+02 2.325845e-02 3.050111e+00 4.124641e-05 4.893243e-02
