#./underdamped_3d_var --dev=0 --amp=8.91 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-2:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp8.91.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
2.238715e-01 3.122455e-04 1.083851e+01 2.055354e-05 9.911053e-01 2.868962e+08 3.630025e+01 1.479828e-02 -4.481625e-01 8.225441e-06 2.098114e+02
2.398826e-01 2.776537e-04 1.096356e+01 2.231282e-05 1.002470e+00 3.150882e+08 3.986753e+01 2.511990e-02 -4.451683e-01 6.079674e-06 2.884326e+02
2.570388e-01 3.051134e-04 1.109255e+01 2.368097e-05 9.942214e-01 3.323122e+08 4.204688e+01 1.290560e-03 -4.406770e-01 4.410744e-06 2.533763e+02
2.754220e-01 3.033489e-04 1.122610e+01 2.597189e-05 1.001316e+00 3.663572e+08 4.635440e+01 7.652879e-03 -4.415969e-01 5.245209e-06 2.812402e+02
2.951200e-01 3.056640e-04 1.136420e+01 2.770687e-05 1.010163e+00 3.869269e+08 4.895716e+01 -5.075276e-03 -4.367719e-01 4.649162e-06 2.955506e+02
3.162267e-01 3.699966e-04 1.150792e+01 2.993819e-05 1.010955e+00 4.168431e+08 5.274250e+01 7.098317e-03 -4.307894e-01 2.622604e-06 2.176905e+02
3.388430e-01 3.588486e-04 1.165688e+01 3.160448e-05 9.957460e-01 4.404890e+08 5.573405e+01 1.304448e-02 -4.209337e-01 -3.576279e-07 2.444291e+02
3.630769e-01 3.672151e-04 1.181197e+01 3.430714e-05 9.977109e-01 4.795399e+08 6.067508e+01 5.183220e-03 -4.111004e-01 8.940697e-06 2.534155e+02
3.890439e-01 4.971700e-04 1.193609e+01 3.802172e-05 1.006594e+00 5.278626e+08 6.678928e+01 6.523252e-03 -4.090345e-01 8.344650e-06 1.528232e+02
4.168680e-01 3.870324e-04 1.196109e+01 3.929645e-05 9.907364e-01 5.498140e+08 6.956680e+01 -1.770192e-02 -4.143233e-01 9.417534e-06 2.613365e+02
4.466821e-01 3.747758e-04 1.199168e+01 4.414487e-05 1.009282e+00 6.166726e+08 7.802682e+01 -5.687356e-03 -3.914632e-01 6.556511e-06 3.132948e+02
4.786285e-01 4.535314e-04 1.202781e+01 4.657360e-05 1.003113e+00 6.480168e+08 8.199244e+01 -3.293753e-03 -3.925692e-01 9.298325e-06 2.254254e+02
5.128597e-01 4.939890e-04 1.207008e+01 5.000155e-05 9.886597e-01 7.029847e+08 8.894714e+01 -3.093362e-03 -3.921951e-01 8.821487e-06 2.039032e+02
5.495391e-01 5.403298e-04 1.211869e+01 5.521367e-05 1.012929e+00 7.691029e+08 9.731319e+01 -8.410037e-03 -3.833343e-01 5.483627e-06 1.881162e+02
5.888417e-01 4.648505e-04 1.217426e+01 5.775022e-05 9.994122e-01 8.094892e+08 1.024227e+02 -9.232938e-03 -3.807359e-01 8.583069e-06 2.662558e+02
