#./underdamped_3d_var --dev=3 --amp=14 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp14.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
7.943276e-01 -3.312055e-04 2.444972e+01 8.427328e-05 1.010924e+00 1.181902e+09 1.495440e+02 -4.788220e-03 -4.556928e-01 -4.887581e-06 7.672364e+02
8.317630e-01 -3.007794e-04 2.448590e+01 8.157107e-05 1.017672e+00 1.147307e+09 1.451668e+02 -3.345472e-02 -4.561451e-01 1.430511e-06 9.006541e+02
8.709628e-01 -3.692401e-04 2.452403e+01 8.189873e-05 1.024386e+00 1.161084e+09 1.469100e+02 -2.934343e-02 -4.546399e-01 6.437302e-06 5.997026e+02
9.120100e-01 -3.680269e-04 2.456366e+01 8.076302e-05 1.020381e+00 1.136269e+09 1.437704e+02 -3.661913e-02 -4.571999e-01 7.152557e-07 5.952844e+02
9.549918e-01 -3.680194e-04 2.460612e+01 8.088378e-05 1.020987e+00 1.136185e+09 1.437598e+02 -2.890396e-02 -4.586491e-01 4.291534e-06 5.962002e+02
9.999991e-01 -3.504426e-04 2.465158e+01 7.980682e-05 1.025001e+00 1.111122e+09 1.405878e+02 -1.853496e-02 -4.524226e-01 -6.377697e-06 6.488396e+02
1.047128e+00 -3.350910e-04 2.469928e+01 7.871184e-05 1.017401e+00 1.108913e+09 1.403091e+02 -7.732213e-03 -4.518500e-01 -4.351139e-06 6.999945e+02
1.096477e+00 -2.809326e-04 2.475025e+01 7.712068e-05 1.011578e+00 1.094106e+09 1.384354e+02 -4.657990e-02 -4.506910e-01 1.192093e-06 9.761624e+02
1.148153e+00 -2.142218e-04 2.480427e+01 7.906454e-05 1.038092e+00 1.105372e+09 1.398607e+02 -1.398236e-02 -4.502134e-01 2.264977e-06 1.721877e+03
1.202263e+00 -1.993686e-04 2.486145e+01 7.845061e-05 1.027476e+00 1.094812e+09 1.385246e+02 -1.885819e-02 -4.469336e-01 -1.538396e-04 1.972707e+03
1.258924e+00 -1.787491e-04 2.492233e+01 7.917065e-05 1.021706e+00 1.111437e+09 1.406277e+02 -3.158516e-02 -4.540892e-01 -2.242923e-04 2.476859e+03
1.318256e+00 -1.467723e-04 2.498672e+01 7.776655e-05 1.007473e+00 1.097964e+09 1.389235e+02 -2.770883e-02 -4.484034e-01 -1.989603e-04 3.608977e+03
1.380383e+00 -1.353656e-04 2.505540e+01 7.721805e-05 1.009913e+00 1.086617e+09 1.374875e+02 -3.007454e-02 -4.392379e-01 -1.661777e-04 4.213076e+03
1.445438e+00 3.112816e-05 2.512789e+01 7.932849e-05 1.011409e+00 1.108234e+09 1.402225e+02 -3.121853e-02 -4.406144e-01 -2.478361e-04 8.186852e+04
1.513560e+00 -1.407346e-04 2.520503e+01 7.882471e-05 9.990179e-01 1.108700e+09 1.402817e+02 -2.873600e-02 -4.397535e-01 -9.816885e-05 3.978797e+03
1.584892e+00 8.302762e-05 2.528665e+01 8.002709e-05 1.007382e+00 1.126337e+09 1.425133e+02 -2.205783e-02 -4.443720e-01 1.049042e-05 1.160792e+04
1.659585e+00 -5.071974e-05 2.537282e+01 8.183582e-05 1.018882e+00 1.150858e+09 1.456162e+02 -1.040363e-02 -4.383699e-01 1.871586e-04 3.181088e+04
1.737799e+00 3.014542e-05 2.546478e+01 8.349734e-05 1.020257e+00 1.168538e+09 1.478529e+02 -1.744878e-02 -4.367169e-01 1.734495e-04 9.188088e+04
1.819699e+00 1.777945e-04 2.556240e+01 8.322847e-05 1.007152e+00 1.169122e+09 1.479264e+02 -3.845388e-02 -4.383664e-01 -1.162887e-04 2.631905e+03
1.905459e+00 1.355499e-04 2.566537e+01 8.547448e-05 1.012352e+00 1.202239e+09 1.521169e+02 -2.716136e-02 -4.338780e-01 -1.607537e-04 4.650985e+03
1.995260e+00 1.497009e-04 2.577434e+01 8.726161e-05 1.025760e+00 1.218485e+09 1.541730e+02 -2.190399e-02 -4.298794e-01 1.945496e-04 3.892807e+03
2.089294e+00 2.749303e-04 2.589018e+01 8.835063e-05 1.004324e+00 1.243890e+09 1.573873e+02 -3.481865e-02 -4.306920e-01 -9.918213e-05 1.167865e+03
2.187760e+00 1.018396e-04 2.601216e+01 9.007397e-05 1.005926e+00 1.264240e+09 1.599620e+02 -4.107094e-02 -4.278572e-01 4.184246e-05 8.683916e+03
2.290866e+00 -1.649828e-05 2.614105e+01 9.383595e-05 1.017051e+00 1.309439e+09 1.656808e+02 -4.083288e-02 -4.242675e-01 -4.106760e-05 3.447393e+05
2.398831e+00 3.120430e-04 2.627707e+01 9.802254e-05 1.019501e+00 1.373751e+09 1.738184e+02 -3.587425e-02 -4.278634e-01 9.834766e-05 1.005693e+03
2.511884e+00 2.053162e-04 2.642106e+01 9.867540e-05 1.015939e+00 1.389073e+09 1.757575e+02 -3.286546e-02 -4.194198e-01 -5.280972e-05 2.339791e+03
