#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=1 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg1.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
1.715001e+01 4.921339e-04 3.463654e+01 3.203452e-05 9.880985e-01 4.441239e+08 5.619443e+01 -3.547508e-02 -4.846998e-01 5.006790e-06 1.312671e+02
1.750001e+01 6.310361e-04 3.702844e+01 2.572906e-05 9.889311e-01 3.538420e+08 4.477092e+01 -5.984205e-02 -4.838068e-01 -1.132488e-06 6.361233e+01
1.785001e+01 6.300394e-04 4.067138e+01 2.349415e-05 9.701060e-01 3.218218e+08 4.071958e+01 -4.910690e-02 -4.830375e-01 -2.503395e-06 5.818671e+01
1.820001e+01 5.418447e-04 4.534070e+01 2.620000e-05 9.697331e-01 3.611862e+08 4.570026e+01 -3.601146e-02 -4.867193e-01 -7.748604e-07 8.823838e+01
1.855001e+01 4.311057e-04 4.773354e+01 3.111698e-05 9.737779e-01 4.305041e+08 5.447108e+01 -1.428682e-02 -4.863135e-01 2.622604e-06 1.664287e+02
1.890001e+01 4.147283e-04 4.775468e+01 3.627650e-05 9.855596e-01 5.044262e+08 6.382401e+01 -1.636934e-02 -4.854175e-01 3.099442e-06 2.099104e+02
1.925001e+01 4.371513e-04 4.781057e+01 3.986121e-05 9.960878e-01 5.514842e+08 6.977844e+01 -2.649152e-02 -4.865097e-01 -3.159046e-06 2.075869e+02
1.960001e+01 3.484388e-04 4.785823e+01 3.973074e-05 1.006518e+00 5.565576e+08 7.042025e+01 -2.679616e-02 -4.811480e-01 -8.463860e-06 3.262456e+02
1.995001e+01 2.738384e-04 4.788071e+01 3.986233e-05 9.973747e-01 5.543905e+08 7.014601e+01 -1.460212e-02 -4.845020e-01 -7.390976e-06 5.305866e+02
2.030001e+01 1.791579e-04 4.789423e+01 4.061108e-05 1.012070e+00 5.731680e+08 7.252163e+01 -2.091640e-02 -4.839506e-01 -1.919270e-05 1.264239e+03
2.065001e+01 3.753180e-05 4.792003e+01 4.335756e-05 1.014861e+00 6.101716e+08 7.720405e+01 -1.230907e-02 -4.868978e-01 -2.809167e-04 3.077882e+04
2.100001e+01 -8.609536e-05 4.800344e+01 4.710657e-05 1.016743e+00 6.686338e+08 8.460109e+01 -3.255332e-02 -4.883208e-01 -2.703667e-04 6.354095e+03
2.135001e+01 -1.319328e-04 4.830365e+01 5.288897e-05 1.026888e+00 7.375203e+08 9.331680e+01 -1.732349e-02 -4.876741e-01 -2.301931e-04 3.037500e+03
2.170001e+01 -2.999546e-04 4.896965e+01 5.850531e-05 1.030040e+00 8.153519e+08 1.031650e+02 1.005173e-03 -4.834699e-01 -2.183914e-04 6.492559e+02
2.205001e+01 -2.997005e-04 5.014614e+01 6.053706e-05 1.023082e+00 8.490404e+08 1.074269e+02 -2.935898e-02 -4.861987e-01 -1.502037e-04 6.729789e+02
2.240001e+01 -1.223092e-04 5.183542e+01 5.863114e-05 1.018050e+00 8.301328e+08 1.050352e+02 -2.271467e-02 -4.875426e-01 -2.098083e-05 3.918316e+03
2.275001e+01 6.948067e-05 5.391864e+01 5.568573e-05 1.011779e+00 7.853581e+08 9.936989e+01 -5.393201e-02 -4.929438e-01 -2.545118e-04 1.153396e+04
2.310001e+01 1.288872e-04 5.622223e+01 5.287235e-05 1.014566e+00 7.376574e+08 9.333469e+01 -1.423073e-02 -4.914007e-01 1.196861e-04 3.181800e+03
2.345001e+01 1.464766e-04 5.857098e+01 4.879611e-05 1.003403e+00 6.826395e+08 8.637282e+01 -1.893359e-02 -4.925560e-01 -1.311302e-04 2.273305e+03
2.380001e+01 1.881974e-04 6.086172e+01 4.544928e-05 1.005198e+00 6.353494e+08 8.038992e+01 -2.008379e-02 -4.880764e-01 2.574921e-05 1.282216e+03
2.415001e+01 3.647664e-04 6.318423e+01 4.101381e-05 1.008525e+00 5.741309e+08 7.264388e+01 -3.101224e-02 -4.944820e-01 3.218651e-06 3.072482e+02
2.450002e+01 4.716835e-04 6.585806e+01 3.486433e-05 9.853173e-01 4.840406e+08 6.124453e+01 -3.156692e-02 -4.911374e-01 -5.066395e-06 1.557039e+02
2.485002e+01 4.367282e-04 6.932285e+01 2.946062e-05 9.756434e-01 4.094957e+08 5.181281e+01 -2.895367e-02 -4.933197e-01 3.576279e-06 1.534612e+02
2.520002e+01 5.353583e-04 7.402924e+01 2.452229e-05 9.801750e-01 3.381604e+08 4.278656e+01 -4.588681e-02 -5.033208e-01 -9.298325e-06 8.456025e+01
2.555002e+01 4.960874e-04 8.025133e+01 2.074573e-05 9.522817e-01 2.855551e+08 3.613074e+01 -9.702390e-02 -4.962114e-01 4.410744e-06 8.329701e+01
2.590002e+01 5.545957e-04 8.786656e+01 2.003812e-05 9.578297e-01 2.788158e+08 3.527819e+01 -6.349438e-02 -4.967033e-01 2.861023e-06 6.414845e+01
2.625002e+01 5.470928e-04 9.545871e+01 2.247452e-05 9.622840e-01 3.114010e+08 3.940107e+01 -6.055731e-02 -4.981431e-01 5.245209e-06 7.408763e+01
2.660002e+01 4.038583e-04 9.545871e+01 2.663935e-05 9.916694e-01 3.701261e+08 4.683146e+01 -2.396339e-02 -4.975052e-01 -2.741814e-06 1.623298e+02
2.695002e+01 5.148664e-04 9.545871e+01 2.974283e-05 9.811424e-01 4.112936e+08 5.204032e+01 -3.566569e-02 -4.965653e-01 1.072884e-06 1.112001e+02
2.730002e+01 4.112478e-04 9.545872e+01 3.230146e-05 9.915668e-01 4.515694e+08 5.713607e+01 -4.417330e-02 -4.952837e-01 -6.556511e-07 1.899919e+02
2.765002e+01 2.628804e-04 9.545901e+01 3.529832e-05 1.006146e+00 4.957782e+08 6.273015e+01 -7.456481e-03 -4.923071e-01 6.914139e-06 5.097842e+02
2.800002e+01 3.382522e-04 9.546008e+01 3.765921e-05 1.015185e+00 5.249653e+08 6.642296e+01 -4.531384e-02 -5.005777e-01 4.649162e-06 3.281471e+02
2.835002e+01 1.524357e-04 9.546022e+01 3.922878e-05 1.008175e+00 5.514799e+08 6.977779e+01 -3.619450e-02 -4.987697e-01 -5.304813e-06 1.687229e+03
2.870002e+01 -5.421967e-05 9.546037e+01 4.208782e-05 1.008088e+00 5.880292e+08 7.440257e+01 -2.536500e-02 -4.980847e-01 -1.317263e-05 1.431569e+04
2.905002e+01 -1.592517e-04 9.546053e+01 4.593399e-05 1.005766e+00 6.447206e+08 8.157548e+01 -3.611368e-02 -4.955416e-01 1.062155e-04 1.810199e+03
2.940002e+01 -2.899114e-04 9.546166e+01 4.970577e-05 1.017747e+00 6.946882e+08 8.789767e+01 -2.313226e-02 -4.958057e-01 -2.797246e-04 5.903931e+02
2.975002e+01 -2.434391e-04 9.546635e+01 5.236542e-05 1.029752e+00 7.327320e+08 9.271113e+01 -1.643914e-02 -4.977569e-01 -2.797246e-04 8.826163e+02
3.010002e+01 -2.407335e-04 9.549153e+01 5.247480e-05 1.014076e+00 7.375684e+08 9.332334e+01 -3.977430e-02 -4.976426e-01 -2.797246e-04 9.044778e+02
3.045002e+01 -7.753273e-05 9.553378e+01 4.982543e-05 1.023947e+00 7.042677e+08 8.910981e+01 -3.321052e-02 -4.967582e-01 -2.797246e-04 8.287596e+03
3.080002e+01 -1.392011e-04 9.571446e+01 4.735363e-05 1.010943e+00 6.689834e+08 8.464503e+01 -3.691083e-02 -4.976168e-01 -2.797246e-04 2.442812e+03
3.115002e+01 5.817449e-05 9.601403e+01 4.338131e-05 1.003841e+00 6.104204e+08 7.723524e+01 -2.023524e-02 -4.958429e-01 -2.797246e-04 1.281751e+04
3.150002e+01 1.476189e-04 9.650689e+01 4.139971e-05 1.010961e+00 5.821548e+08 7.365878e+01 -1.434237e-02 -4.990363e-01 -2.796054e-04 1.898825e+03
3.185002e+01 3.160950e-04 9.712424e+01 3.742000e-05 9.957724e-01 5.267885e+08 6.665349e+01 -2.461094e-02 -4.992197e-01 -2.798438e-04 3.735145e+02
3.220002e+01 3.939969e-04 9.777960e+01 3.317720e-05 9.837025e-01 4.599858e+08 5.820128e+01 -4.714394e-02 -5.018777e-01 -2.798438e-04 2.127244e+02
3.255002e+01 4.046216e-04 9.840970e+01 2.941440e-05 9.900689e-01 4.128835e+08 5.224146e+01 -4.845005e-02 -5.028985e-01 -2.797246e-04 1.786643e+02
3.290002e+01 5.010323e-04 9.901133e+01 2.461377e-05 9.543679e-01 3.374298e+08 4.269442e+01 -6.785125e-02 -5.012163e-01 -2.824664e-04 9.704976e+01
3.325002e+01 5.430341e-04 9.976680e+01 2.160208e-05 9.591613e-01 2.982943e+08 3.774263e+01 -8.590615e-02 -5.027117e-01 -2.129674e-04 7.225571e+01
3.360002e+01 5.929839e-04 1.011889e+02 1.993325e-05 9.611010e-01 2.736044e+08 3.461874e+01 -7.783526e-02 -5.024328e-01 -2.651215e-04 5.568815e+01
3.395002e+01 5.519594e-04 1.040303e+02 2.014514e-05 9.611784e-01 2.772275e+08 3.507709e+01 -9.891284e-02 -5.006281e-01 -4.116893e-04 6.512354e+01
3.430001e+01 5.505783e-04 1.088111e+02 2.193649e-05 9.715676e-01 3.024210e+08 3.826479e+01 -8.003324e-02 -5.012639e-01 1.444817e-04 7.136507e+01
3.465001e+01 4.585182e-04 1.154853e+02 2.481693e-05 9.677430e-01 3.421248e+08 4.328827e+01 -6.428087e-02 -5.043828e-01 -3.395677e-04 1.170416e+02
