#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.1 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg0.1.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
1.750001e+01 2.388822e-05 2.667305e+01 1.707929e-08 1.587382e-01 8.920928e+05 1.128749e-01 2.738015e+00 -5.124192e-01 -2.797246e-04 2.892970e+01
1.785001e+01 2.451633e-05 3.219687e+01 1.546590e-08 2.412974e-01 5.479062e+05 6.932537e-02 1.312060e+00 -5.082415e-01 -2.801418e-04 2.473146e+01
1.820001e+01 1.642359e-05 4.046928e+01 4.999522e-08 5.743353e-01 9.415553e+05 1.191336e-01 1.478649e-01 -5.093248e-01 -4.023314e-05 1.843500e+02
1.855001e+01 3.858690e-05 4.772935e+01 3.022648e-07 8.995993e-01 4.437802e+06 5.615043e-01 3.397703e-03 -5.109297e-01 5.245209e-06 2.020056e+02
1.890001e+01 8.758288e-05 4.772935e+01 2.778141e-06 9.899588e-01 3.917361e+07 4.956564e+00 1.226056e-02 -5.053917e-01 1.549721e-06 3.611728e+02
1.925001e+01 2.030727e-04 4.772935e+01 1.539286e-05 1.013970e+00 2.156049e+08 2.728008e+01 -1.335442e-02 -5.080874e-01 2.145767e-06 3.722641e+02
1.960001e+01 2.649392e-04 4.772935e+01 4.001023e-05 9.909722e-01 5.629644e+08 7.123074e+01 -4.848182e-03 -4.974087e-01 2.026558e-06 5.690047e+02
1.995001e+01 2.843973e-04 4.772935e+01 6.852054e-05 9.994667e-01 9.626316e+08 1.218002e+02 -2.420545e-04 -4.973260e-01 1.430511e-06 8.461687e+02
2.030001e+01 5.361447e-04 4.772935e+01 1.100108e-04 1.002419e+00 1.542426e+09 1.951604e+02 -7.826567e-03 -5.005628e-01 3.576279e-07 3.817113e+02
2.065001e+01 1.323395e-03 4.772935e+01 1.824314e-04 9.798072e-01 2.546682e+09 3.222278e+02 -3.934801e-03 -4.968162e-01 -2.797246e-04 1.031647e+02
2.100001e+01 2.536289e-03 4.772935e+01 3.652651e-04 1.012442e+00 5.050477e+09 6.390298e+02 -4.335523e-03 -4.943158e-01 -2.797246e-04 5.578198e+01
2.135001e+01 3.823795e-03 4.772936e+01 5.388144e-04 9.916106e-01 7.384367e+09 9.343313e+02 -1.928169e-02 -4.978123e-01 -2.797246e-04 3.585106e+01
2.170001e+01 3.890763e-03 4.774182e+01 4.118760e-04 9.969691e-01 5.538670e+09 7.007988e+02 -4.097939e-02 -4.999525e-01 -2.797246e-04 2.620803e+01
2.205001e+01 3.647508e-03 4.784986e+01 2.431748e-04 9.937321e-01 3.226388e+09 4.082291e+02 -2.503175e-02 -5.015393e-01 -2.797246e-04 1.727789e+01
2.240001e+01 2.164445e-03 4.827808e+01 1.539101e-04 1.006648e+00 2.109362e+09 2.668942e+02 -1.992112e-02 -4.981067e-01 -2.797246e-04 3.185293e+01
2.275001e+01 1.240447e-03 4.914988e+01 1.104283e-04 1.002533e+00 1.528140e+09 1.933524e+02 -2.662098e-02 -5.023150e-01 -2.797246e-04 7.076691e+01
2.310001e+01 8.658224e-04 5.040316e+01 8.634395e-05 1.009466e+00 1.194213e+09 1.511021e+02 1.629472e-03 -5.016634e-01 -2.797246e-04 1.141793e+02
2.345001e+01 6.965811e-04 5.154866e+01 6.849853e-05 1.012360e+00 9.576402e+08 1.211682e+02 -2.983034e-03 -5.000066e-01 -2.799034e-04 1.401685e+02
2.380001e+01 2.815674e-04 5.109539e+01 3.619344e-05 1.012685e+00 5.083797e+08 6.432436e+01 2.431452e-02 -5.041268e-01 -2.778769e-04 4.555255e+02
